Plot,Subplot,Plant_Simple,Seeds_GF,Fruit_GF,visits_GF,ID,homo_motif,hete_motif,ME_iden,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio
1,A1,CHFU,76,1,0,None,0,0,0,1,1,0,0,0,0,0,1
1,A1,LEMA,192,3,1,Dilophus_sp.,8,0,0,0.8382755279136539,0.8655913525101072,0.15310077519379844,1,2,2,-0.02731582459645332,0.9684425860803244
1,A1,LEMA,192,3,3,Psilothrix_viridicoerulea,13,0,0,0.8382755279136539,0.8655913525101072,0.15310077519379844,1,2,2,-0.02731582459645332,0.9684425860803244
1,A2,CHFU,76,1,1,Dilophus_sp.,0,0,0,1.2440515249695827,1.2440515249695825,0.65,1,2,2,2.220446049250313e-16,1.0000000000000002
1,A2,CHFU,76,1,2,Diptera,1,0,0,1.2440515249695827,1.2440515249695825,0.65,1,2,2,2.220446049250313e-16,1.0000000000000002
1,A2,LEMA,128,2,1,Odontomyia_sp.,5,0,0,0.8249662778048932,0.8496620012366854,0.23643410852713176,1,2,2,-0.02469572343179227,0.9709346500186573
1,A2,LEMA,128,2,3,Psilothrix_viridicoerulea,13,0,0,0.8249662778048932,0.8496620012366854,0.23643410852713176,1,2,2,-0.02469572343179227,0.9709346500186573
1,A3,CHFU,152,2,1,Empididae,1,1,0,0.5118777371666573,0.5584415584415585,0.3333333333333333,1,1,1,-0.04656382127490122,0.9166182735309909
1,A3,LEMA,128,2,1,Anthaxia_semicuprea,1,0,0,0.5355337684240047,0.5455707033265135,0.3565891472868217,1,2,2,-0.010036934902508787,0.9816028704596664
1,A3,LEMA,128,2,1,Psilothrix_viridicoerulea,13,0,0,0.5355337684240047,0.5455707033265135,0.3565891472868217,1,2,2,-0.010036934902508787,0.9816028704596664
1,A4,LEMA,128,2,2,Psilothrix_viridicoerulea,13,0,0,0.7127181037785394,0.7266897815002593,0.3798449612403101,1,2,2,-0.013971677721719922,0.9807735321489244
1,A4,LEMA,128,2,1,Andrena_cinerea,0,0,0,0.7127181037785394,0.7266897815002593,0.3798449612403101,1,2,2,-0.013971677721719922,0.9807735321489244
1,A5,CHFU,152,2,0,None,0,0,0,1,1,0,0,0,0,0,1
1,A5,LEMA,256,4,1,Dilophus_sp.,1,0,0,0.34626657767282054,0.35515784145976104,0.08333333333333333,1,1,1,-0.008891263786940495,0.9749653175320702
1,A6,LEMA,128,2,1,Anthaxia_semicuprea,1,0,0,0.7184910959880645,0.7347991935128523,0.5232558139534884,1,3,3,-0.01630809752478779,0.9778060486881814
1,A6,LEMA,128,2,1,Odontomyia_sp.,5,0,0,0.7184910959880645,0.7347991935128523,0.5232558139534884,1,3,3,-0.01630809752478779,0.9778060486881814
1,A6,LEMA,128,2,1,Psilothrix_viridicoerulea,13,0,0,0.7184910959880645,0.7347991935128523,0.5232558139534884,1,3,3,-0.01630809752478779,0.9778060486881814
1,B1,CHFU,152,2,1,Eupeodes_corollae,0,0,0,0.9999999999999998,0.9999999999999998,1,1,1,1,0,1
1,B1,LEMA,128,2,1,Eupeodes_corollae,2,0,0,0.8269019372480501,0.8451421346772974,1.25,1,2,2,-0.018240197429247318,0.9784175978444004
1,B1,LEMA,128,2,1,Oedemeridae,0,0,0,0.8269019372480501,0.8451421346772974,1.25,1,2,2,-0.018240197429247318,0.9784175978444004
1,B2,CHFU,152,2,1,Sphaerophoria_scripta,0,0,0,1.3614090557749023,1.441558441558442,1.6666666666666665,1,2,2,-0.08014938578353958,0.9444008765285357
1,B2,CHFU,152,2,2,Empididae,1,1,0,1.3614090557749023,1.441558441558442,1.6666666666666665,1,2,2,-0.08014938578353958,0.9444008765285357
1,B2,LEMA,128,2,1,Psilothrix_viridicoerulea,4,0,0,0.7897319240972572,0.874823893487189,0.3798449612403101,1,3,3,-0.0850919693899318,0.9027324584714513
1,B2,LEMA,128,2,1,Sphaerophoria_scripta,1,0,0,0.7897319240972572,0.874823893487189,0.3798449612403101,1,3,3,-0.0850919693899318,0.9027324584714513
1,B2,LEMA,128,2,1,Odontomyia_sp.,5,0,0,0.7897319240972572,0.874823893487189,0.3798449612403101,1,3,3,-0.0850919693899318,0.9027324584714513
1,B2,LEMA,128,2,1,Psilothrix_viridicoerulea,13,0,0,0.7897319240972572,0.874823893487189,0.3798449612403101,1,3,3,-0.0850919693899318,0.9027324584714513
1,B3,CHFU,380,5,0,None,0,0,0,1,1,0,0,0,0,0,1
1,B3,LEMA,128,2,0,None,0,0,0,1,1,0,0,0,0,0,1
1,B4,CHFU,532,7,0,None,0,0,0,1,1,0,0,0,0,0,1
1,B4,LEMA,192,3,0,None,0,0,0,1,1,0,0,0,0,0,1
1,B5,CHFU,76,1,0,None,0,0,0,1,1,0,0,0,0,0,1
1,B5,LEMA,384,6,1,Psilothrix_viridicoerulea,3,0,0,0.314002983413611,0.32014450368344893,0.023255813953488372,1,1,1,-0.006141520269837941,0.9808164119665458
1,B6,LEMA,192,3,0,None,0,0,0,1,1,0,0,0,0,0,1
1,C1,CHFU,76,1,0,None,0,0,0,1,1,0,0,0,0,0,1
1,C1,LEMA,128,2,1,Psilothrix_viridicoerulea,13,0,0,0.6676126024448596,0.7008133130073564,1.0232558139534884,1,2,2,-0.03320071056249674,0.9526254568138488
1,C1,LEMA,128,2,1,Musca_sp.,0,1,0,0.6676126024448596,0.7008133130073564,1.0232558139534884,1,2,2,-0.03320071056249674,0.9526254568138488
1,C2,CHFU,76,1,0,None,0,0,0,1,1,0,0,0,0,0,1
