species,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio,Plot
E1 LEMA,0.012400183594683754,0.018457289216306554,0.09302325581395349,1,1,1,-0.0060571056216228,0.6718312450632513,1
E2 LEMA,0.01433553544479989,0.024134658682101427,0.4631782945736434,1,3,3,-0.009799123237301538,0.5939812795211107,1
E3 LEMA,0.016548459849570537,0.02471103421692909,0.48643410852713176,1,3,3,-0.008162574367358552,0.6696789662584612,1
E4 LEMA,0.012400183594683756,0.018457289216306554,0.09302325581395349,1,1,1,-0.0060571056216227985,0.6718312450632514,1
E5 LEMA,0.010373423761539125,0.01545437441837019,0.12984496124031009,1,2,2,-0.005080950656831066,0.6712289660336248,1
E6 LEMA,0.009877060772935892,0.014676300245563255,0.06976744186046512,1,1,1,-0.004799239472627363,0.6729939158829756,1
F1 LEMA,0.012574888674762781,0.02171114408972074,0.9166666666666666,1,3,3,-0.009136255414957958,0.5791905126140465,1
Scaeva_sp. LEMA,0.007730820878726151,0.012090501997896292,0.45,1,2,2,-0.004359681119170141,0.6394127291051512,1
F2 LEMA,0.005327178118043395,0.007892396476883577,0.08333333333333333,1,1,1,-0.0025652183588401826,0.6749759890606642,1
F3 LEMA,0.01618214545674559,0.024373826738219414,0.6531007751937985,1,3,3,-0.008191681281473823,0.663914847288676,1
F4 LEMA,0.006397305480637268,0.009316147896132748,0.25,1,1,1,-0.0029188424154954805,0.6866899873168469,1
F5 LEMA,0.007353937951188032,0.010895311274819946,0.046511627906976744,1,1,1,-0.0035413733236319142,0.674963547685292,1
F6 LEMA,0.008145419109587184,0.01350313187686837,0.41666666666666663,1,2,2,-0.005357712767281185,0.6032244359207325,1
B2 ME,0.01585364948707194,0.1550387596899225,1,1,1,1,-0.13918511020285057,0.102256039191614,1
Empididae ME,0.019123704253241836,0.1550387596899225,1.2,1.2,2,2,-0.13591505543668067,0.12334789243340982,1
D2 ME,0.009967063018762254,0.1550387596899225,1,1,1,1,-0.14507169667116027,0.06428755647101653,1
Musca_sp. ME,0.016219843858736354,0.1550387596899225,2,1.8,2,2,-0.13881891583118616,0.10461799288884946,1
E3 ME,0.014055349936420804,0.1550387596899225,1,1,1,1,-0.1409834097535017,0.09065700708991417,1
Sphaerophoria_scripta ME,0.02764154736171411,0.1550387596899225,2.2,2,3,3,-0.1273972123282084,0.17828798048305597,1
A3 CHFU,0.008482170032557527,0.0791891891891892,0.2,1,1,1,-0.07070701915663168,0.10711272737359333,2
Dilophus_sp. CHFU,0.06419262779145127,0.33976833976833987,5,1.7777777777777777,5,5,-0.27557571197688857,0.1889305749771122,2
A4 CHFU,0.014620590065115052,0.136949806949807,0.4,1,1,1,-0.12232921688469194,0.10675874899534246,2
B1 CHFU,0.008482170032557527,0.07918918918918921,0.2,1,1,1,-0.07070701915663169,0.10711272737359331,2
D1 CHFU,0.013435656342199651,0.14285714285714274,1,1,1,1,-0.1294214865149431,0.09404959439539763,2
Diptera CHFU,0.028998447953463142,0.14285714285714274,3,2.2222222222222223,3,3,-0.1138586949036796,0.20298913567424215,2
E1 CHFU,0.008482170032557527,0.0791891891891892,0.2,1,1,1,-0.07070701915663168,0.10711272737359333,2
A1 LEMA,0.01692194628089672,0.027418486742972908,1.2664141414141414,1,4,4,-0.010496540462076188,0.6171728746202104,2
Diptera LEMA,0.02401901967250793,0.012893714064039361,2.177777777777778,2.571428571428571,3,3,0.01112530560846857,1.8628472411604897,2
Eupeodes_corollae LEMA,0.034564949002268815,0.04293331747920833,4.2,1.5714285714285714,9,9,-0.008368368476939517,0.8050845131874066,2
