Plot,Subplot,Plant_Simple,Seeds_GF,Fruit_GF,visits_GF,ID,homo_motif,hete_motif,Strength,StrengthIn,StrengthOut,Degree,DegreeIn,DegreeOut,PageRank,Hub,Authority,Katz,Multiplexity,Kcore
1,A1,CHFU,76,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,A1,LEMA,192,3,1,Dilophus_sp.,8,0,1.1531007751938,0.153100775193798,1,4,2,2,0.132409636287484,0.778658582837545,0,0.0120022669730113,0.333333333333333,4
1,A1,LEMA,192,3,3,Psilothrix_viridicoerulea,13,0,1.1531007751938,0.153100775193798,1,4,2,2,0.132409636287484,0.778658582837545,0,0.0120022669730113,0.333333333333333,4
1,A2,CHFU,76,1,1,Dilophus_sp.,0,0,1.65,0.65,1,4,2,2,0.179611434841131,0,0,1.43947019144528e-5,0.333333333333333,2
1,A2,CHFU,76,1,2,Diptera,1,0,1.65,0.65,1,4,2,2,0.179611434841131,0,0,1.43947019144528e-5,0.333333333333333,2
1,A2,LEMA,128,2,1,Odontomyia_sp.,5,0,1.23643410852713,0.236434108527132,1,4,2,2,0.130861440847928,0.77148425913448,0,0.010338176220295,0.333333333333333,4
1,A2,LEMA,128,2,3,Psilothrix_viridicoerulea,13,0,1.23643410852713,0.236434108527132,1,4,2,2,0.130861440847928,0.77148425913448,0,0.010338176220295,0.333333333333333,4
1,A3,CHFU,152,2,1,Empididae,1,1,1.33333333333333,0.333333333333333,1,2,1,1,0.0944414890693349,1.51857178614443e-5,0,0.0108073695408834,0.333333333333333,2
1,A3,LEMA,128,2,1,Anthaxia_semicuprea,1,0,1.35658914728682,0.356589147286822,1,4,2,2,0.0971932714474301,0.520896475916224,0,0.00706318178516431,0.333333333333333,4
1,A3,LEMA,128,2,1,Psilothrix_viridicoerulea,13,0,1.35658914728682,0.356589147286822,1,4,2,2,0.0971932714474301,0.520896475916224,0,0.00706318178516431,0.333333333333333,4
1,A4,LEMA,128,2,2,Psilothrix_viridicoerulea,13,0,1.37984496124031,0.37984496124031,1,4,2,2,0.117804198098337,0.674026645433367,0,0.00728703856745975,0.333333333333333,2
1,A4,LEMA,128,2,1,Andrena_cinerea,0,0,1.37984496124031,0.37984496124031,1,4,2,2,0.117804198098337,0.674026645433367,0,0.00728703856745975,0.333333333333333,2
1,A5,CHFU,152,2,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,A5,LEMA,256,4,1,Dilophus_sp.,1,0,1.08333333333333,0.0833333333333333,1,2,1,1,0.0751768094783048,0.114634331350179,0,0.017398797624662,0.333333333333333,2
1,A6,LEMA,128,2,1,Anthaxia_semicuprea,1,0,1.52325581395349,0.523255813953488,1,6,3,3,0.11847574005811,0.375909996123457,0,0.00828959939470836,0.333333333333333,4
1,A6,LEMA,128,2,1,Odontomyia_sp.,5,0,1.52325581395349,0.523255813953488,1,6,3,3,0.11847574005811,0.375909996123457,0,0.00828959939470836,0.333333333333333,4
1,A6,LEMA,128,2,1,Psilothrix_viridicoerulea,13,0,1.52325581395349,0.523255813953488,1,6,3,3,0.11847574005811,0.375909996123457,0,0.00828959939470836,0.333333333333333,4
1,B1,CHFU,152,2,1,Eupeodes_corollae,0,0,2,1,1,2,1,1,0.151222197930174,0,0,1.43947019144528e-5,0.333333333333333,2
