Year,Plot,Subplot,Plant,Seeds_GF,Fruit_GF,visits_GF,ID,homo_motif,hete_motif,Strength,StrengthIn,StrengthOut,Degree,DegreeIn,DegreeOut,PageRank,Hub,Authority,Katz,Multiplexity,Kcore
2020,3,D2,LEMA,1044,18,0,None,0,0,2.05353466026081,1.05353466026081,1,6,3,3,0.12192983023121,0.666877156608482,3.24305589787333e-8,5.63117986325239e-4,0.2,4
2020,3,D2,PUPA,506,22,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,D3,LEMA,377,6.5,0,None,0,0,1.06966369251887,0.0696636925188744,1,4,2,2,0.0997677547271934,0.86921119475622,4.39634407679637e-8,7.54501117541554e-4,0.2,4
2020,3,D4,CETE,888,8,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,D4,CHFU,416,13,0,None,0,0,1.1,0.1,1,2,1,1,0.0961155503139509,0,0,1.55179782515709e-5,0.2,2
2020,3,D4,LEMA,580,10,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,D4,PUPA,172.5,7.5,2,Small bee 1_8_6,1,1,1.5,0.5,1,2,1,1,0.0911058014542029,1.83884407854133e-8,1.50979946966705e-5,9.89958204819223e-5,0.2,2
2020,3,D5,CETE,999,9,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,D5,LEMA,140,4,2,Bombilus_major,0,0,2.04255319148936,1.04255319148936,1,4,2,2,0.120552329595336,0.51255282294111,6.19448690632653e-10,9.13097325935064e-5,0.2,2
2020,3,D5,LEMA,140,4,2,Psilothrix_viridicoerulea,29,0,2.04255319148936,1.04255319148936,1,4,2,2,0.120552329595336,0.51255282294111,6.19448690632653e-10,9.13097325935064e-5,0.2,2
2020,3,D5,PUPA,3244.5,31.5,6,1_29_5,0,1,2,1,1,2,1,1,0.0937369056879736,1.25112350319209e-9,0.0012381107657761,1.18013215258049e-4,0.2,2
2020,3,D6,CETE,1887,17,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,D6,LEMA,531,9,1,Brassicogethes_sp.,17,0,1.1912517818489,0.191251781848899,1,6,3,3,0.105020962927614,0.508113108302846,1.55710538835603e-7,8.05703269866807e-4,0.2,6
2020,3,D6,LEMA,531,9,1,Psilothrix_viridicoerulea,17,0,1.1912517818489,0.191251781848899,1,6,3,3,0.105020962927614,0.508113108302846,1.55710538835603e-7,8.05703269866807e-4,0.2,6
2020,3,D6,LEMA,531,9,2,Small bee 1_8_6,6,8,1.1912517818489,0.191251781848899,1,6,3,3,0.105020962927614,0.508113108302846,1.55710538835603e-7,8.05703269866807e-4,0.2,6
2020,3,D6,PUPA,690,30,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,E1,LEMA,232,4,0,None,0,0,2.24993400559633,1.24993400559633,1,8,4,4,0.152595991185473,0.608133296407784,1.88150705153618e-7,5.79756184874103e-4,0.2,6
2020,3,E2,LEMA,116,2,0,None,0,0,1.62792480911904,0.627924809119044,1,10,5,5,0.13508994136613,0.549408371691092,7.38984063328738e-7,7.48397590026727e-4,0.2,6
2020,3,E2,PUPA,820,20.5,1,Bombyliidae,1,3,1.58333333333333,0.583333333333333,1,4,2,2,0.0968505209066842,1.80244798305879e-8,0.0014042067462644,1.02617253907172e-4,0.2,4
2020,3,E2,PUPA,820,20.5,1,Pieris_brassicae,2,0,1.58333333333333,0.583333333333333,1,4,2,2,0.0968505209066842,1.80244798305879e-8,0.0014042067462644,1.02617253907172e-4,0.2,4
2020,3,E3,CETE,888,8,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,E3,LEMA,736,16,1,Bombyliidae,0,0,1.18026277085989,0.180262770859888,1,6,3,3,0.0932308143964904,0.632959171073336,1.67837561278574e-8,4.31175727290584e-4,0.2,6
2020,3,E3,LEMA,736,16,1,Brassicogethes_sp.,12,0,1.18026277085989,0.180262770859888,1,6,3,3,0.0932308143964904,0.632959171073336,1.67837561278574e-8,4.31175727290584e-4,0.2,6
2020,3,E3,LEMA,736,16,1,Psilothrix_viridicoerulea,17,0,1.18026277085989,0.180262770859888,1,6,3,3,0.0932308143964904,0.632959171073336,1.67837561278574e-8,4.31175727290584e-4,0.2,6
2020,3,E4,CETE,1110,10,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,E4,LEMA,522,9,0,None,0,0,1.06382978723404,0.0638297872340425,1,2,1,1,0.0927577400368887,1,8.32068912523931e-10,1.38883701244567e-4,0.2,2
2020,3,E4,PUPA,138,6,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,E5,CETE,444,4,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,E5,LEMA,405,6,1,Brassicogethes_sp.,17,0,1.03740562800275,0.0374056280027454,1,4,2,2,0.0825162228278201,0.912807463170814,1.48393844722048e-8,5.49295312109225e-4,0.2,4
2020,3,E5,LEMA,405,6,1,Psilothrix_viridicoerulea,12,0,1.03740562800275,0.0374056280027454,1,4,2,2,0.0825162228278201,0.912807463170814,1.48393844722048e-8,5.49295312109225e-4,0.2,4
2020,3,E5,PUPA,506,22,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,E6,CETE,2442,22,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,E6,LEMA,146,2,1,Brassicogethes_sp.,3,0,1.51612903225806,0.516129032258065,1,4,2,2,0.0919944482751702,0.427275137876601,1.6079879792453e-8,5.73912404019697e-4,0.2,4
2020,3,E6,LEMA,146,2,1,Sphaerophoria_scripta,1,0,1.51612903225806,0.516129032258065,1,4,2,2,0.0919944482751702,0.427275137876601,1.6079879792453e-8,5.73912404019697e-4,0.2,4
2020,3,E6,PUPA,115,5,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,F1,LEMA,381.5,7,3,Brassicogethes_sp.,17,0,1.14658676944195,0.146586769441951,1,6,3,3,0.111020124777069,0.716052706491952,1.14399017948892e-7,8.16023139558122e-4,0.2,6
2020,3,F1,LEMA,381.5,7,1,Psilothrix_viridicoerulea,17,0,1.14658676944195,0.146586769441951,1,6,3,3,0.111020124777069,0.716052706491952,1.14399017948892e-7,8.16023139558122e-4,0.2,6
2020,3,F1,LEMA,381.5,7,1,Small bee 1_8_6,6,8,1.14658676944195,0.146586769441951,1,6,3,3,0.111020124777069,0.716052706491952,1.14399017948892e-7,8.16023139558122e-4,0.2,6
2020,3,F1,PUPA,902,11,3,Small bee 1_8_6,8,8,1.57692307692308,0.576923076923077,1,4,2,2,0.100228369050224,2.41614385732517e-7,5.7430643311565e-4,2.59273004131287e-4,0.2,2
2020,3,F2,LEMA,560,8,1,Brassicogethes_sp.,17,0,1.60123541523679,0.601235415236788,1,6,3,3,0.125545050733292,0.807746211904208,1.72291281845216e-8,2.72656129862608e-4,0.2,4
2020,3,F2,LEMA,560,8,1,Elateridae,1,0,1.60123541523679,0.601235415236788,1,6,3,3,0.125545050733292,0.807746211904208,1.72291281845216e-8,2.72656129862608e-4,0.2,4
2020,3,F2,LEMA,560,8,4,Psilothrix_viridicoerulea,29,0,1.60123541523679,0.601235415236788,1,6,3,3,0.125545050733292,0.807746211904208,1.72291281845216e-8,2.72656129862608e-4,0.2,4
2020,3,F3,LEMA,250,5,7,Brassicogethes_sp.,32,0,1.28802597539729,0.288025975397286,1,6,3,3,0.156775558625743,0.698614199126115,2.43082707728041e-7,8.98105461731053e-4,0.2,6
