Real_PR_Multi,Plot,Label,Plant_Simple,Real_PR_Layer,Delta,Ratio
0.0076604049510623105,1,A1 LEMA,LEMA,0.00733496332518338,3.254416258789304e-4,1.044368541661494
0.013098464317976772,1,A2 CETE,CETE,NA,NA,NA
0.011053351425498641,1,A2 LEMA,LEMA,0.00733496332518338,0.003718388100315261,1.5069402443429802
0.011582072050439112,1,A3 CETE,CETE,NA,NA,NA
0.012195598781672382,1,A3 LEMA,LEMA,0.00733496332518338,0.004860635456489001,1.6626666339013334
0.01286329588301637,1,A4 LEMA,LEMA,0.00733496332518338,0.00552833255783299,1.7536960053845638
0.016140502371227498,1,A5 LEMA,LEMA,0.00733496332518338,0.008805539046044118,2.200488489944014
0.014628944556031137,1,A6 LEMA,LEMA,0.00733496332518338,0.007293981230847757,1.9944127744722435
0.009932303789649906,1,B1 CHFU,CHFU,0.009259259259259273,6.730445303906336e-4,1.0726888092821882
0.012235328556715521,1,B1 LEMA,LEMA,0.00733496332518338,0.004900365231532141,1.668083126565548
0.01102093107684165,1,B2 LEMA,LEMA,0.00733496332518338,0.0036859677516582704,1.5025202701427438
0.011085771774155664,1,B3 LEMA,LEMA,0.00733496332518338,0.0037508084489722843,1.511360218543221
0.007676178995096293,1,B4 CHFU,CHFU,0.009259259259259273,-0.0015830802641629794,0.8290273314703984
0.013995045259674743,1,B4 LEMA,LEMA,0.00733496332518338,0.006660081934491363,1.9079911704023218
0.010493263737868777,1,B5 LEMA,LEMA,0.00733496332518338,0.0031583004126853973,1.4305816229294421
0.011223053974667139,1,B6 LEMA,LEMA,0.00733496332518338,0.0038880906494837587,1.5300763585462853
0.013144608678843497,1,C1 CHFU,CHFU,0.009259259259259273,0.0038853494195842248,1.4196177373150958
0.010236400772583714,1,C1 LEMA,LEMA,0.00733496332518338,0.0029014374474003336,1.395562638662245
0.012330641287545964,1,C2 LEMA,LEMA,0.00733496332518338,0.004995677962362584,1.681077428868765
0.006299337758314966,1,C2 PUPA,PUPA,NA,NA,NA
0.00878058032632207,1,C3 LEMA,LEMA,0.00733496332518338,0.0014456170011386896,1.1970857844885745
0.008252912987349165,1,C4 LEMA,LEMA,0.00733496332518338,9.179496621657852e-4,1.1251471372752686
0.008866391343759642,1,C5 LEMA,LEMA,0.00733496332518338,0.0015314280185762617,1.2087846865325635
0.009214646727353672,1,C6 LEMA,LEMA,0.00733496332518338,0.001879683402170292,1.2562635038292163
0.009932303789649889,1,D1 CHFU,CHFU,0.009259259259259273,6.730445303906162e-4,1.0726888092821865
0.008845421023636115,1,D1 LEMA,LEMA,0.00733496332518338,0.0015104576984527347,1.205925732889056
0.0105256840865258,1,D2 LEMA,LEMA,0.00733496332518338,0.0031907207613424207,1.435001597129683
0.008285333336006187,1,D3 LEMA,LEMA,0.00733496332518338,9.503700108228069e-4,1.1295671114755093
0.014007543424892287,1,D4 LEMA,LEMA,0.00733496332518338,0.006672580099708907,1.9096950869269802
0.01145383719381454,1,D5 LEMA,LEMA,0.00733496332518338,0.00411887386863116,1.5615398040900477
0.01727915668674149,1,D6 LEMA,LEMA,0.00733496332518338,0.00994419336155811,2.3557250282924214
0.006746164172483235,1,D6 PUPA,PUPA,NA,NA,NA
0.007692825299719302,1,E1 LEMA,LEMA,0.00733496332518338,3.578619745359217e-4,1.0487885158617307
0.01845275251121468,1,E2 LEMA,LEMA,0.00733496332518338,0.011117789186031301,2.5157252590289327
0.012188428584203454,1,E3 CHFU,CHFU,0.009259259259259273,0.0029291693249441815,1.3163502870939712
0.01213675741688093,1,E3 LEMA,LEMA,0.00733496332518338,0.0048017940916975504,1.654644594501432
0.008220492638692175,1,E4 LEMA,LEMA,0.00733496332518338,8.855293135087948e-4,1.1207271630750322
0.009599302051507984,1,E5 LEMA,LEMA,0.00733496332518338,0.002264338726324604,1.3087048463555875
0.00881300067497906,1,E6 LEMA,LEMA,0.00733496332518338,0.00147803734979568,1.201505758688811
0.009373088362608955,1,F1 LEMA,LEMA,0.00733496332518338,0.002038125037425575,1.277864380102353
0.013098464317976595,1,F2 CHFU,CHFU,0.009259259259259273,0.0038392050587173227,1.4146341463414702
0.011634170064966295,1,F2 LEMA,LEMA,0.00733496332518338,0.004299206739782915,1.586125185523737
0.00767617899509631,1,F3 CHFU,CHFU,0.009259259259259273,-0.001583080264162963,0.8290273314704002
0.010927608041470568,1,F3 LEMA,LEMA,0.00733496332518338,0.0035926447162871883,1.4897972296538196
0.009213624768721847,1,F4 CETE,CETE,NA,NA,NA
0.0182709782514325,1,F4 LEMA,LEMA,0.00733496332518338,0.01093601492624912,2.4909433682786286
0.009932303789649906,1,F5 CHFU,CHFU,0.009259259259259273,6.730445303906336e-4,1.0726888092821882
0.009867390235084266,1,F5 LEMA,LEMA,0.00733496332518338,0.0025324269099008864,1.3452542020498206
0.017820002720061366,1,F6 LEMA,LEMA,0.00733496332518338,0.010485039394877986,2.429460370835031
0.008504731288027692,1,F6 PUPA,PUPA,NA,NA,NA
0.006902634626855347,2,A1 LEMA,LEMA,0.005617977528089888,0.0012846570987654583,1.2286689635802515
0.011297056751602143,2,A2 CHFU,CHFU,0.009584664536741214,0.0017123922148609295,1.1786595877504904
0.009864902729527667,2,A2 LEMA,LEMA,0.005617977528089888,0.004246925201437779,1.7559526858559247
0.005749126085657891,2,A2 PUPA,PUPA,NA,NA,NA
0.0061349041245306,2,A3 CETE,CETE,NA,NA,NA
0.00640023367296099,2,A3 CHFU,CHFU,0.009584664536741214,-0.003184430863780224,0.6677577132122633
