Real_PR_Multi,Plot,Label,Plant_Simple,Real_PR_Layer,Delta,Ratio,module,pecentage_same_plants,abs_CHFU,abs_CHMI,abs_LEMA,abs_ME,abs_PUPA,total,CHFU,CHMI,LEMA,ME,PUPA,entropy
0.013992323637435636,1,A1 LEMA,LEMA,0.018436450532696637,-0.004444126895261,0.7589488883785174,1,1,0,0,13,0,0,13,0,0,1,0,0,0
0.0189803506432473,1,A2 CHFU,CHFU,0.06039085072667876,-0.04141050008343146,0.31429182425579544,3,1,6,0,0,0,0,6,1,0,0,0,0,0
0.013828718840597167,1,A2 LEMA,LEMA,0.018097167225488507,-0.00426844838489134,0.7641372082322614,1,1,0,0,13,0,0,13,0,0,1,0,0,0
0.009980058226203167,1,A3 CHFU,CHFU,0.027108813516580548,-0.01712875529037738,0.3681481013582195,4,0.6666666666666666,2,0,0,1,0,3,0.6666666666666666,0,0,0.3333333333333333,0,0.6365141682948128
0.010270851484863753,1,A3 LEMA,LEMA,0.01162024927213022,-0.0013493977872664677,0.8838753149209254,6,1,0,0,4,0,0,4,0,0,1,0,0,0
0.01244890109101766,1,A4 LEMA,LEMA,0.015477950617683905,-0.0030290495266662443,0.8042990573179961,1,1,0,0,13,0,0,13,0,0,1,0,0,0
0.007944272620509495,1,A5 LEMA,LEMA,0.007564597262188727,3.7967535832076835e-4,1.0501910868696946,5,1,0,0,4,0,0,4,0,0,1,0,0,0
0.012519865959593087,1,A6 LEMA,LEMA,0.01565067504819707,-0.0031308090886039835,0.7999569297194854,6,1,0,0,4,0,0,4,0,0,1,0,0,0
0.01598033189978148,1,B1 CHFU,CHFU,0.048543689320388314,-0.032563357420606835,0.3291948371354987,10,1,1,0,0,0,0,1,1,0,0,0,0,0
0.013852513064096978,1,B1 LEMA,LEMA,0.01800089743721614,-0.004148384373119162,0.7695456913974443,8,1,0,0,3,0,0,3,0,0,1,0,0,0
0.020422975480588218,1,B2 CHFU,CHFU,0.06997856512419619,-0.04955558964360797,0.2918461595253066,4,0.6666666666666666,2,0,0,1,0,3,0.6666666666666666,0,0,0.3333333333333333,0,0.6365141682948128
0.013395598329624963,1,B2 LEMA,LEMA,0.01863309677289017,-0.005237498443265208,0.7189142252035424,1,1,0,0,13,0,0,13,0,0,1,0,0,0
0.01635509793470693,1,B2 ME,ME,0.07246376811594203,-0.0561086701812351,0.22570035149895562,4,0.3333333333333333,2,0,0,1,0,3,0.6666666666666666,0,0,0.3333333333333333,0,0.6365141682948128
