Plot,Subplot,Plant_Simple,Seeds_GF,Fruit_GF,visits_GF,ID,homo_motif,hete_motif,ME_iden,Strength,StrengthIn,StrengthOut,Degree,DegreeIn,DegreeOut,PageRank,Hub,Authority,Katz,Multiplexity,Kcore,individuals,individuals_plot,total_individuals_subplot,total_individuals_plot,prop_individuals_sub,prop_individuals_plot,prop_indiviudals_sub,prop_indiviudals_plot
1,A1,CHFU,76,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,192,395,15182,0.007594936708860759,0.012730407107810635,0.007594936708860759,1.976024239230668e-4
1,A1,LEMA,192,3,1,Small_flies,8,0,0,1.11607142857143,0.116071428571429,1,4,2,2,0.0947816323643919,0.789660090346215,0,0.0796526520637094,0.333333333333333,4,12,926,395,15182,0.030379746835443037,0.06139769261371171,0.030379746835443037,7.904096956922672e-4
1,A1,LEMA,192,3,3,Flower_beetles,16,0,0,1.11607142857143,0.116071428571429,1,4,2,2,0.0947816323643919,0.789660090346215,0,0.0796526520637094,0.333333333333333,4,12,926,395,15182,0.030379746835443037,0.06139769261371171,0.030379746835443037,7.904096956922672e-4
1,A2,CHFU,76,1,1,Small_flies,0,0,0,1.54285714285714,0.542857142857143,1,4,2,2,0.144097568171886,7.71102505873435e-4,0,0.0209546335103686,0.333333333333333,2,1,192,431,15182,0.002320185614849188,0.012730407107810635,0.002320185614849188,6.586747464102226e-5
1,A2,CHFU,76,1,2,Flies,1,0,0,1.54285714285714,0.542857142857143,1,4,2,2,0.144097568171886,7.71102505873435e-4,0,0.0209546335103686,0.333333333333333,2,1,192,431,15182,0.002320185614849188,0.012730407107810635,0.002320185614849188,6.586747464102226e-5
1,A2,LEMA,128,2,3,Flower_beetles,16,0,0,1.11607142857143,0.116071428571429,1,4,2,2,0.0947816323543581,0.789660090346215,0,0.0796526520637094,0.333333333333333,4,20,926,431,15182,0.04640371229698376,0.06139769261371171,0.04640371229698376,0.0013173494928204453
1,A2,LEMA,128,2,1,Small_flies,5,0,0,1.11607142857143,0.116071428571429,1,4,2,2,0.0947816323543581,0.789660090346215,0,0.0796526520637094,0.333333333333333,4,20,926,431,15182,0.04640371229698376,0.06139769261371171,0.04640371229698376,0.0013173494928204453
1,A3,CHFU,152,2,1,Small_flies,2,1,0,1.14285714285714,0.142857142857143,1,2,1,1,0.0731168428756865,0.00223321621727695,0,0.052492227902025,0.333333333333333,2,7,192,452,15182,0.015486725663716814,0.012730407107810635,0.015486725663716814,4.6107232248715583e-4
1,A3,LEMA,128,2,2,Flower_beetles,16,0,0,1.03571428571429,0.0357142857142857,1,2,1,1,0.0717227356590755,1,0,0.0340642476748427,0.333333333333333,2,25,926,452,15182,0.05530973451327434,0.06139769261371171,0.05530973451327434,0.0016466868660255567
1,A4,LEMA,128,2,2,Flower_beetles,16,0,0,1.36904761904762,0.369047619047619,1,4,2,2,0.090291135086840807,0.676837766870452,0,0.0262663895165985,0.333333333333333,4,15,926,465,15182,0.03225806451612903,0.06139769261371171,0.03225806451612903,9.88012119615334e-4
