"","Bees","Flies","Flower_beetles","House_flies","Hoverflies","Small_flies"
"A5 ME",0,0,0,0,1,0
"B1 ME",0,5,0,0,0,0
"B5 ME",0,0,1,2,0,0
"C1 ME",0,0,1,0,0,0
"D2 ME",1,0,0,0,0,0
"D3 ME",0,0,0,2,0,0
"E2 ME",0,1,0,0,0,1
"E4 ME",1,1,1,0,0,0
