node_id,module,layer_id,type,species,layer_name,Line
1,12,2,plant,4 A1 LEMA,LEMA,2
2,8,1,plant,4 A2 CHFU,CHFU,2
3,5,2,plant,4 A2 LEMA,LEMA,2
4,3,1,plant,4 A5 CHFU,CHFU,2
5,3,1,plant,4 A6 CHFU,CHFU,2
6,2,1,plant,4 B1 CHFU,CHFU,2
7,8,1,plant,4 B2 CHFU,CHFU,2
8,2,2,plant,4 B2 LEMA,LEMA,2
9,6,2,plant,4 B4 LEMA,LEMA,2
10,6,3,plant,4 B4 ME,ME,2
11,2,1,plant,4 B5 CHFU,CHFU,2
12,8,1,plant,4 B6 CHFU,CHFU,2
13,2,2,plant,4 B6 LEMA,LEMA,2
14,1,2,plant,4 C1 LEMA,LEMA,2
15,4,1,plant,4 C2 CHFU,CHFU,2
16,15,2,plant,4 C2 LEMA,LEMA,2
17,2,2,plant,4 C3 LEMA,LEMA,2
18,7,2,plant,4 C4 LEMA,LEMA,2
19,4,1,plant,4 C5 CHFU,CHFU,2
20,7,2,plant,4 C5 LEMA,LEMA,2
21,1,2,plant,4 C6 LEMA,LEMA,2
22,2,2,plant,4 D2 LEMA,LEMA,2
23,12,2,plant,4 D5 LEMA,LEMA,2
24,8,1,plant,4 D6 CHFU,CHFU,2
25,1,2,plant,4 E1 LEMA,LEMA,2
26,7,2,plant,4 E2 LEMA,LEMA,2
27,5,2,plant,4 E4 LEMA,LEMA,2
28,8,1,plant,4 E5 CHFU,CHFU,2
29,12,2,plant,4 E5 LEMA,LEMA,2
30,6,2,plant,4 F1 LEMA,LEMA,2
31,4,2,plant,4 F2 LEMA,LEMA,2
32,2,2,plant,4 F3 LEMA,LEMA,2
33,2,1,plant,4 F4 CHFU,CHFU,2
34,2,2,plant,4 F4 LEMA,LEMA,2
35,8,1,plant,4 F5 CHFU,CHFU,2
36,18,2,plant,4 F6 LEMA,LEMA,2
37,1,1,plant,5 A1 CHFU,CHFU,2
38,12,2,plant,5 A1 LEMA,LEMA,2
39,7,2,plant,5 A2 LEMA,LEMA,2
40,7,1,plant,5 A3 CHFU,CHFU,2
41,4,2,plant,5 A3 LEMA,LEMA,2
42,1,1,plant,5 A4 CHFU,CHFU,2
43,5,2,plant,5 A4 LEMA,LEMA,2
44,1,1,plant,5 A5 CHFU,CHFU,2
45,2,2,plant,5 A6 LEMA,LEMA,2
46,1,1,plant,5 B1 CHFU,CHFU,2
47,3,1,plant,5 B2 CHFU,CHFU,2
48,2,2,plant,5 B2 LEMA,LEMA,2
49,3,1,plant,5 B3 CHFU,CHFU,2
50,2,2,plant,5 B4 LEMA,LEMA,2
51,2,2,plant,5 B5 LEMA,LEMA,2
52,7,2,plant,5 C1 LEMA,LEMA,2
53,13,1,plant,5 C3 CHFU,CHFU,2
54,2,2,plant,5 C3 LEMA,LEMA,2
