Plot,L,m
1_100_intralinks20_interlinks50_individuals,3.67481,15
1_200_intralinks20_interlinks50_individuals,4.344909999999999,7
1_300_intralinks20_interlinks50_individuals,4.8758799999999995,10
10_100_intralinks20_interlinks50_individuals,3.71581,19
10_200_intralinks20_interlinks50_individuals,4.42859,9
10_300_intralinks20_interlinks50_individuals,4.6874899999999995,9
100_100_intralinks20_interlinks50_individuals,3.67788,17
100_200_intralinks20_interlinks50_individuals,4.03898,7
100_300_intralinks20_interlinks50_individuals,5.011690000000001,11
11_100_intralinks20_interlinks50_individuals,3.75894,18
11_200_intralinks20_interlinks50_individuals,5.00475,11
11_300_intralinks20_interlinks50_individuals,4.855929999999999,10
12_100_intralinks20_interlinks50_individuals,3.79816,15
12_200_intralinks20_interlinks50_individuals,4.59042,10
12_300_intralinks20_interlinks50_individuals,4.478940000000001,8
13_100_intralinks20_interlinks50_individuals,3.6626499999999997,16
13_200_intralinks20_interlinks50_individuals,4.50707,10
13_300_intralinks20_interlinks50_individuals,4.387579999999999,7
14_100_intralinks20_interlinks50_individuals,3.6177900000000003,14
14_200_intralinks20_interlinks50_individuals,4.4184600000000005,8
14_300_intralinks20_interlinks50_individuals,5.1315,10
15_100_intralinks20_interlinks50_individuals,3.70885,18
15_200_intralinks20_interlinks50_individuals,4.17659,7
15_300_intralinks20_interlinks50_individuals,5.24583,8
16_100_intralinks20_interlinks50_individuals,3.75616,17
16_200_intralinks20_interlinks50_individuals,4.52826,12
16_300_intralinks20_interlinks50_individuals,4.72539,10
17_100_intralinks20_interlinks50_individuals,3.72922,17
17_200_intralinks20_interlinks50_individuals,4.807009999999999,10
17_300_intralinks20_interlinks50_individuals,4.72389,8
18_100_intralinks20_interlinks50_individuals,3.66468,18
18_200_intralinks20_interlinks50_individuals,4.82823,11
18_300_intralinks20_interlinks50_individuals,5.00409,10
19_100_intralinks20_interlinks50_individuals,3.56149,14
19_200_intralinks20_interlinks50_individuals,4.08103,7
19_300_intralinks20_interlinks50_individuals,5.224179999999999,8
2_100_intralinks20_interlinks50_individuals,3.59096,15
2_200_intralinks20_interlinks50_individuals,4.67775,9
2_300_intralinks20_interlinks50_individuals,5.147889999999999,9
20_100_intralinks20_interlinks50_individuals,3.54972,12
20_200_intralinks20_interlinks50_individuals,4.257579999999999,8
