name,Plot,consp_prob,heter_prob,type,layer,number_plant_nodes_with_visits
ind_1 plant_sp_1,1_100_intralinks20_interlinks50_individuals,8.754880062243074e-4,0.0027723786863769737,plant,plant_sp_1,50
ind_1 plant_sp_2,1_100_intralinks20_interlinks50_individuals,0.0040554171422622475,0.012842154283830454,plant,plant_sp_2,50
ind_1 plant_sp_3,1_100_intralinks20_interlinks50_individuals,0.0023007764804813613,0.010481315077748425,plant,plant_sp_3,50
ind_1 plant_sp_4,1_100_intralinks20_interlinks50_individuals,0.001057720634675791,0.005553033332047902,plant,plant_sp_4,50
ind_1 plant_sp_5,1_100_intralinks20_interlinks50_individuals,0.0021481591992579454,0.009786058574397306,plant,plant_sp_5,50
ind_10 plant_sp_1,1_100_intralinks20_interlinks50_individuals,8.590778307186428e-4,0.0027204131306090363,plant,plant_sp_1,50
ind_10 plant_sp_2,1_100_intralinks20_interlinks50_individuals,0.0036446939312626157,0.01154153078233162,plant,plant_sp_2,50
ind_11 plant_sp_1,1_100_intralinks20_interlinks50_individuals,0.001125627436574109,0.0035644868824846795,plant,plant_sp_1,50
ind_11 plant_sp_2,1_100_intralinks20_interlinks50_individuals,0.004835654919756108,0.015312907245894342,plant,plant_sp_2,50
ind_12 plant_sp_1,1_100_intralinks20_interlinks50_individuals,0.0011472118758735462,0.0036328376069328966,plant,plant_sp_1,50
ind_12 plant_sp_2,1_100_intralinks20_interlinks50_individuals,0.002417827459878054,0.007656453622947171,plant,plant_sp_2,50
ind_2 plant_sp_1,1_100_intralinks20_interlinks50_individuals,0.001375766866923912,0.004356595078592388,plant,plant_sp_1,50
ind_2 plant_sp_2,1_100_intralinks20_interlinks50_individuals,0.0031086353055574997,0.009844011800932084,plant,plant_sp_2,50
ind_2 plant_sp_3,1_100_intralinks20_interlinks50_individuals,0.002297017195438865,0.010464189445888165,plant,plant_sp_3,50
ind_2 plant_sp_4,1_100_intralinks20_interlinks50_individuals,4.977079623419614e-4,0.0026129668022952966,plant,plant_sp_4,50
ind_2 plant_sp_5,1_100_intralinks20_interlinks50_individuals,0.00244392636065434,0.011133442309647546,plant,plant_sp_5,50
ind_3 plant_sp_1,1_100_intralinks20_interlinks50_individuals,5.002788606996047e-4,0.0015842163922154154,plant,plant_sp_1,50
ind_3 plant_sp_2,1_100_intralinks20_interlinks50_individuals,0.0037994431512369457,0.012031569978916997,plant,plant_sp_2,50
ind_3 plant_sp_3,1_100_intralinks20_interlinks50_individuals,0.0011503882402406807,0.005240657538874213,plant,plant_sp_3,50
ind_3 plant_sp_4,1_100_intralinks20_interlinks50_individuals,8.71526263453698e-4,0.0045755128831319125,plant,plant_sp_4,50
ind_3 plant_sp_5,1_100_intralinks20_interlinks50_individuals,0.0016413838278894787,0.007477415215940958,plant,plant_sp_5,50
ind_4 plant_sp_1,1_100_intralinks20_interlinks50_individuals,8.969974250475958e-4,0.0028404918459840538,plant,plant_sp_1,50
ind_4 plant_sp_2,1_100_intralinks20_interlinks50_individuals,0.0034155235615953177,0.010815824611718509,plant,plant_sp_2,50
ind_4 plant_sp_3,1_100_intralinks20_interlinks50_individuals,0.002300776480481361,0.01048131507774842,plant,plant_sp_3,50
ind_4 plant_sp_4,1_100_intralinks20_interlinks50_individuals,6.847691519973722e-4,0.0035950380479862027,plant,plant_sp_4,50
ind_4 plant_sp_5,1_100_intralinks20_interlinks50_individuals,0.0013102772666800811,0.005969040881542591,plant,plant_sp_5,50
ind_5 plant_sp_1,1_100_intralinks20_interlinks50_individuals,7.50418291049406e-4,0.002376324588323119,plant,plant_sp_1,50
ind_5 plant_sp_2,1_100_intralinks20_interlinks50_individuals,0.002101616078259427,0.006655117581154852,plant,plant_sp_2,50
ind_5 plant_sp_3,1_100_intralinks20_interlinks50_individuals,0.0016595395848210154,0.007560124775295738,plant,plant_sp_3,50
ind_5 plant_sp_4,1_100_intralinks20_interlinks50_individuals,4.980189638835355e-4,0.0026145995603885606,plant,plant_sp_4,50
ind_5 plant_sp_5,1_100_intralinks20_interlinks50_individuals,0.001810474353033554,0.008247716497152856,plant,plant_sp_5,50
ind_6 plant_sp_1,1_100_intralinks20_interlinks50_individuals,9.62713147546404e-4,0.0030485916338969465,plant,plant_sp_1,50
ind_6 plant_sp_2,1_100_intralinks20_interlinks50_individuals,0.0030769820560172943,0.009743776510721433,plant,plant_sp_2,50
ind_6 plant_sp_3,1_100_intralinks20_interlinks50_individuals,0.0014426704918808811,0.006572165574124014,plant,plant_sp_3,50
ind_6 plant_sp_4,1_100_intralinks20_interlinks50_individuals,6.854627650077702e-4,0.0035986795162907927,plant,plant_sp_4,50
ind_6 plant_sp_5,1_100_intralinks20_interlinks50_individuals,0.002201738642870847,0.010030142706411633,plant,plant_sp_5,50
ind_7 plant_sp_1,1_100_intralinks20_interlinks50_individuals,0.0015008365820988118,0.004752649176646238,plant,plant_sp_1,50
ind_7 plant_sp_2,1_100_intralinks20_interlinks50_individuals,0.0023645932349506084,0.007487878577343593,plant,plant_sp_2,50
ind_7 plant_sp_3,1_100_intralinks20_interlinks50_individuals,0.001026999740546622,0.004678554373601279,plant,plant_sp_3,50
ind_7 plant_sp_4,1_100_intralinks20_interlinks50_individuals,6.855096214195036e-4,0.0035989255124523924,plant,plant_sp_4,50
ind_7 plant_sp_5,1_100_intralinks20_interlinks50_individuals,0.0016282139475719889,0.007417419094494615,plant,plant_sp_5,50
ind_8 plant_sp_1,1_100_intralinks20_interlinks50_individuals,6.573815700630215e-4,0.002081708305199568,plant,plant_sp_1,50
