Plot,L,m
42_200_intralinks20_interlinks100_individuals,3.97571,14
42_200_intralinks20_interlinks27_individuals,4.23047,5
42_200_intralinks20_interlinks50_individuals,4.80567,14
43_200_intralinks20_interlinks100_individuals,4.036240000000001,21
43_200_intralinks20_interlinks27_individuals,4.681109999999999,9
43_200_intralinks20_interlinks50_individuals,4.05617,7
44_200_intralinks20_interlinks100_individuals,4.18577,19
44_200_intralinks20_interlinks27_individuals,4.162029999999999,4
44_200_intralinks20_interlinks50_individuals,4.80304,10
45_200_intralinks20_interlinks100_individuals,3.94699,18
45_200_intralinks20_interlinks27_individuals,4.20279,7
45_200_intralinks20_interlinks50_individuals,4.15232,9
46_200_intralinks20_interlinks100_individuals,3.9790099999999997,19
46_200_intralinks20_interlinks27_individuals,4.116499999999999,6
46_200_intralinks20_interlinks50_individuals,4.409370000000001,11
47_200_intralinks20_interlinks100_individuals,4.0715,17
47_200_intralinks20_interlinks27_individuals,4.41525,8
47_200_intralinks20_interlinks50_individuals,4.50142,8
48_200_intralinks20_interlinks100_individuals,4.1656699999999995,17
48_200_intralinks20_interlinks27_individuals,4.746250000000001,9
48_200_intralinks20_interlinks50_individuals,4.50199,11
49_200_intralinks20_interlinks100_individuals,4.120119999999999,17
49_200_intralinks20_interlinks27_individuals,4.5357,7
49_200_intralinks20_interlinks50_individuals,4.55123,11
5_200_intralinks20_interlinks100_individuals,4.114139999999999,21
5_200_intralinks20_interlinks27_individuals,4.70199,8
5_200_intralinks20_interlinks50_individuals,4.76075,13
50_200_intralinks20_interlinks100_individuals,4.20191,22
50_200_intralinks20_interlinks27_individuals,4.387949999999999,7
50_200_intralinks20_interlinks50_individuals,4.317179999999999,10
51_200_intralinks20_interlinks100_individuals,4.14522,17
51_200_intralinks20_interlinks27_individuals,4.647349999999999,9
51_200_intralinks20_interlinks50_individuals,4.610399999999999,11
52_200_intralinks20_interlinks100_individuals,4.14805,16
52_200_intralinks20_interlinks27_individuals,4.09997,5
52_200_intralinks20_interlinks50_individuals,4.2678199999999995,10
53_200_intralinks20_interlinks100_individuals,4.113589999999999,17
53_200_intralinks20_interlinks27_individuals,4.72529,9
53_200_intralinks20_interlinks50_individuals,4.352329999999999,10
54_200_intralinks20_interlinks100_individuals,4.0815600000000005,15
54_200_intralinks20_interlinks27_individuals,4.08081,5
54_200_intralinks20_interlinks50_individuals,4.49449,10
55_200_intralinks20_interlinks100_individuals,4.00234,14
55_200_intralinks20_interlinks27_individuals,4.67188,8
55_200_intralinks20_interlinks50_individuals,4.13197,9
56_200_intralinks20_interlinks100_individuals,4.07913,13
56_200_intralinks20_interlinks27_individuals,4.5693,7
56_200_intralinks20_interlinks50_individuals,4.739800000000001,10
57_200_intralinks20_interlinks100_individuals,4.064959999999999,20
57_200_intralinks20_interlinks27_individuals,4.95742,8
57_200_intralinks20_interlinks50_individuals,4.31566,10
58_200_intralinks20_interlinks100_individuals,4.152349999999999,18
58_200_intralinks20_interlinks27_individuals,4.15806,4
58_200_intralinks20_interlinks50_individuals,4.38484,10
59_200_intralinks20_interlinks100_individuals,4.104879999999999,14
59_200_intralinks20_interlinks27_individuals,4.260879999999999,6
59_200_intralinks20_interlinks50_individuals,4.164779999999999,7
6_200_intralinks20_interlinks100_individuals,4.134579999999999,15
6_200_intralinks20_interlinks27_individuals,4.568409999999999,8
6_200_intralinks20_interlinks50_individuals,4.948390000000001,11
60_200_intralinks20_interlinks100_individuals,4.0193200000000004,17
60_200_intralinks20_interlinks27_individuals,4.554469999999999,8
60_200_intralinks20_interlinks50_individuals,4.771260000000002,10
61_200_intralinks20_interlinks100_individuals,4.08079,14
61_200_intralinks20_interlinks27_individuals,4.123209999999999,4
