"","Bees","Flower_beetles","Hoverflies","Small_beetles","Small_flies"
"A1 LEMA 1",0,0,0,0,0.5
"A1 LEMA 2",0,0,0,0,0.5
"A5 LEMA 1",0,0.1,0,0,0
"A5 LEMA 10",0,0.1,0,0,0
"A5 LEMA 2",0,0.1,0,0,0
"A5 LEMA 3",0,0.1,0,0,0
"A5 LEMA 4",0,0.1,0,0,0
"A5 LEMA 5",0,0.1,0,0,0
"A5 LEMA 6",0,0.1,0,0,0
"A5 LEMA 7",0,0.1,0,0,0
"A5 LEMA 8",0,0.1,0,0,0
"A5 LEMA 9",0,0.1,0,0,0
"B1 LEMA 1",0,0.333333333333333,0.333333333333333,0,0
"B1 LEMA 2",0,0.333333333333333,0.333333333333333,0,0
"B1 LEMA 3",0,0.333333333333333,0.333333333333333,0,0
"B1 LEMA 4",0,0.333333333333333,0.333333333333333,0,0
"B1 LEMA 5",0,0.333333333333333,0.333333333333333,0,0
"B1 LEMA 6",0,0.333333333333333,0.333333333333333,0,0
"B2 LEMA 1",0,0.2,0,0,0
"B2 LEMA 10",0,0.2,0,0,0
"B2 LEMA 2",0,0.2,0,0,0
"B2 LEMA 3",0,0.2,0,0,0
"B2 LEMA 4",0,0.2,0,0,0
"B2 LEMA 5",0,0.2,0,0,0
"B2 LEMA 6",0,0.2,0,0,0
"B2 LEMA 7",0,0.2,0,0,0
"B2 LEMA 8",0,0.2,0,0,0
"B2 LEMA 9",0,0.2,0,0,0
"B3 LEMA 1",0,0.181818181818182,0.0909090909090909,0,0
"B3 LEMA 10",0,0.181818181818182,0.0909090909090909,0,0
"B3 LEMA 11",0,0.181818181818182,0.0909090909090909,0,0
"B3 LEMA 2",0,0.181818181818182,0.0909090909090909,0,0
"B3 LEMA 3",0,0.181818181818182,0.0909090909090909,0,0
"B3 LEMA 4",0,0.181818181818182,0.0909090909090909,0,0
"B3 LEMA 5",0,0.181818181818182,0.0909090909090909,0,0
"B3 LEMA 6",0,0.181818181818182,0.0909090909090909,0,0
"B3 LEMA 7",0,0.181818181818182,0.0909090909090909,0,0
"B3 LEMA 8",0,0.181818181818182,0.0909090909090909,0,0
"B3 LEMA 9",0,0.181818181818182,0.0909090909090909,0,0
"B5 LEMA 1",0,0.1,0,0,0
"B5 LEMA 10",0,0.1,0,0,0
"B5 LEMA 11",0,0.1,0,0,0
"B5 LEMA 12",0,0.1,0,0,0
"B5 LEMA 13",0,0.1,0,0,0
"B5 LEMA 14",0,0.1,0,0,0
"B5 LEMA 15",0,0.1,0,0,0
"B5 LEMA 16",0,0.1,0,0,0
"B5 LEMA 17",0,0.1,0,0,0
"B5 LEMA 18",0,0.1,0,0,0
"B5 LEMA 19",0,0.1,0,0,0
"B5 LEMA 2",0,0.1,0,0,0
"B5 LEMA 20",0,0.1,0,0,0
"B5 LEMA 3",0,0.1,0,0,0
"B5 LEMA 4",0,0.1,0,0,0
"B5 LEMA 5",0,0.1,0,0,0
"B5 LEMA 6",0,0.1,0,0,0
"B5 LEMA 7",0,0.1,0,0,0
"B5 LEMA 8",0,0.1,0,0,0
"B5 LEMA 9",0,0.1,0,0,0
"B6 LEMA 1",0,0.1,0,0,0
"B6 LEMA 10",0,0.1,0,0,0
"B6 LEMA 11",0,0.1,0,0,0
"B6 LEMA 12",0,0.1,0,0,0
"B6 LEMA 13",0,0.1,0,0,0
"B6 LEMA 14",0,0.1,0,0,0
"B6 LEMA 15",0,0.1,0,0,0
"B6 LEMA 16",0,0.1,0,0,0
"B6 LEMA 17",0,0.1,0,0,0
"B6 LEMA 18",0,0.1,0,0,0
"B6 LEMA 19",0,0.1,0,0,0
"B6 LEMA 2",0,0.1,0,0,0
"B6 LEMA 20",0,0.1,0,0,0
"B6 LEMA 3",0,0.1,0,0,0
"B6 LEMA 4",0,0.1,0,0,0
"B6 LEMA 5",0,0.1,0,0,0
"B6 LEMA 6",0,0.1,0,0,0
"B6 LEMA 7",0,0.1,0,0,0
"B6 LEMA 8",0,0.1,0,0,0
"B6 LEMA 9",0,0.1,0,0,0
"C1 LEMA 1",0,0.285714285714286,0,0,0
"C1 LEMA 2",0,0.285714285714286,0,0,0
"C1 LEMA 3",0,0.285714285714286,0,0,0
"C1 LEMA 4",0,0.285714285714286,0,0,0
"C1 LEMA 5",0,0.285714285714286,0,0,0
"C1 LEMA 6",0,0.285714285714286,0,0,0
"C1 LEMA 7",0,0.285714285714286,0,0,0
"C3 LEMA 1",0.2,0,0,0,0
"C3 LEMA 2",0.2,0,0,0,0
"C3 LEMA 3",0.2,0,0,0,0
"C3 LEMA 4",0.2,0,0,0,0
"C3 LEMA 5",0.2,0,0,0,0
"C4 LEMA 1",0,0,0.111111111111111,0,0
"C4 LEMA 2",0,0,0.111111111111111,0,0
"C4 LEMA 3",0,0,0.111111111111111,0,0
"C4 LEMA 4",0,0,0.111111111111111,0,0
"C4 LEMA 5",0,0,0.111111111111111,0,0
"C4 LEMA 6",0,0,0.111111111111111,0,0
"C4 LEMA 7",0,0,0.111111111111111,0,0
"C4 LEMA 8",0,0,0.111111111111111,0,0
"C4 LEMA 9",0,0,0.111111111111111,0,0
"C5 LEMA 1",0,0.125,0,0,0
"C5 LEMA 2",0,0.125,0,0,0
"C5 LEMA 3",0,0.125,0,0,0
"C5 LEMA 4",0,0.125,0,0,0
"C5 LEMA 5",0,0.125,0,0,0
"C5 LEMA 6",0,0.125,0,0,0
"C5 LEMA 7",0,0.125,0,0,0
"C5 LEMA 8",0,0.125,0,0,0
"C6 LEMA 1",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 10",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 11",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 12",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 13",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 14",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 15",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 16",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 17",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 18",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 19",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 2",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 20",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 21",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 22",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 23",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 24",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 25",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 26",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 27",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 28",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 29",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 3",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 30",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 4",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 5",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 6",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 7",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 8",0,0.133333333333333,0,0.0333333333333333,0
"C6 LEMA 9",0,0.133333333333333,0,0.0333333333333333,0
"D1 LEMA 1",0,0.75,0,0,0
"D1 LEMA 2",0,0.75,0,0,0
"D1 LEMA 3",0,0.75,0,0,0
"D1 LEMA 4",0,0.75,0,0,0
"D2 LEMA 1",2.5,1.5,0.5,0,1
"D2 LEMA 2",2.5,1.5,0.5,0,1
"D3 LEMA 1",0,0.5,0.125,0,0.125
"D3 LEMA 2",0,0.5,0.125,0,0.125
"D3 LEMA 3",0,0.5,0.125,0,0.125
"D3 LEMA 4",0,0.5,0.125,0,0.125
"D3 LEMA 5",0,0.5,0.125,0,0.125
"D3 LEMA 6",0,0.5,0.125,0,0.125
"D3 LEMA 7",0,0.5,0.125,0,0.125
"D3 LEMA 8",0,0.5,0.125,0,0.125
"D5 LEMA 1",0,0.133333333333333,0,0,0.0666666666666667
"D5 LEMA 10",0,0.133333333333333,0,0,0.0666666666666667
"D5 LEMA 11",0,0.133333333333333,0,0,0.0666666666666667
"D5 LEMA 12",0,0.133333333333333,0,0,0.0666666666666667
"D5 LEMA 13",0,0.133333333333333,0,0,0.0666666666666667
"D5 LEMA 14",0,0.133333333333333,0,0,0.0666666666666667
"D5 LEMA 15",0,0.133333333333333,0,0,0.0666666666666667
"D5 LEMA 2",0,0.133333333333333,0,0,0.0666666666666667
"D5 LEMA 3",0,0.133333333333333,0,0,0.0666666666666667
"D5 LEMA 4",0,0.133333333333333,0,0,0.0666666666666667
"D5 LEMA 5",0,0.133333333333333,0,0,0.0666666666666667
"D5 LEMA 6",0,0.133333333333333,0,0,0.0666666666666667
"D5 LEMA 7",0,0.133333333333333,0,0,0.0666666666666667
"D5 LEMA 8",0,0.133333333333333,0,0,0.0666666666666667
"D5 LEMA 9",0,0.133333333333333,0,0,0.0666666666666667
"D6 LEMA 1",0,0.2,0.12,0,0
"D6 LEMA 10",0,0.2,0.12,0,0
"D6 LEMA 11",0,0.2,0.12,0,0
"D6 LEMA 12",0,0.2,0.12,0,0
"D6 LEMA 13",0,0.2,0.12,0,0
"D6 LEMA 14",0,0.2,0.12,0,0
"D6 LEMA 15",0,0.2,0.12,0,0
"D6 LEMA 16",0,0.2,0.12,0,0
"D6 LEMA 17",0,0.2,0.12,0,0
"D6 LEMA 18",0,0.2,0.12,0,0
"D6 LEMA 19",0,0.2,0.12,0,0
"D6 LEMA 2",0,0.2,0.12,0,0
"D6 LEMA 20",0,0.2,0.12,0,0
"D6 LEMA 21",0,0.2,0.12,0,0
"D6 LEMA 22",0,0.2,0.12,0,0
"D6 LEMA 23",0,0.2,0.12,0,0
"D6 LEMA 24",0,0.2,0.12,0,0
"D6 LEMA 25",0,0.2,0.12,0,0
"D6 LEMA 3",0,0.2,0.12,0,0
"D6 LEMA 4",0,0.2,0.12,0,0
"D6 LEMA 5",0,0.2,0.12,0,0
"D6 LEMA 6",0,0.2,0.12,0,0
"D6 LEMA 7",0,0.2,0.12,0,0
"D6 LEMA 8",0,0.2,0.12,0,0
"D6 LEMA 9",0,0.2,0.12,0,0
"E1 LEMA 1",0,2,0,0.333333333333333,0
"E1 LEMA 2",0,2,0,0.333333333333333,0
"E1 LEMA 3",0,2,0,0.333333333333333,0
"E2 LEMA 1",0,0.294117647058824,0,0,0
"E2 LEMA 10",0,0.294117647058824,0,0,0
"E2 LEMA 11",0,0.294117647058824,0,0,0
"E2 LEMA 12",0,0.294117647058824,0,0,0
"E2 LEMA 13",0,0.294117647058824,0,0,0
"E2 LEMA 14",0,0.294117647058824,0,0,0
"E2 LEMA 15",0,0.294117647058824,0,0,0
"E2 LEMA 16",0,0.294117647058824,0,0,0
"E2 LEMA 17",0,0.294117647058824,0,0,0
"E2 LEMA 2",0,0.294117647058824,0,0,0
"E2 LEMA 3",0,0.294117647058824,0,0,0
"E2 LEMA 4",0,0.294117647058824,0,0,0
"E2 LEMA 5",0,0.294117647058824,0,0,0
"E2 LEMA 6",0,0.294117647058824,0,0,0
"E2 LEMA 7",0,0.294117647058824,0,0,0
"E2 LEMA 8",0,0.294117647058824,0,0,0
"E2 LEMA 9",0,0.294117647058824,0,0,0
"E3 LEMA 1",0,0,0.0714285714285714,0.0714285714285714,0
"E3 LEMA 10",0,0,0.0714285714285714,0.0714285714285714,0
"E3 LEMA 11",0,0,0.0714285714285714,0.0714285714285714,0
"E3 LEMA 12",0,0,0.0714285714285714,0.0714285714285714,0
"E3 LEMA 13",0,0,0.0714285714285714,0.0714285714285714,0
"E3 LEMA 14",0,0,0.0714285714285714,0.0714285714285714,0
"E3 LEMA 2",0,0,0.0714285714285714,0.0714285714285714,0
"E3 LEMA 3",0,0,0.0714285714285714,0.0714285714285714,0
"E3 LEMA 4",0,0,0.0714285714285714,0.0714285714285714,0
"E3 LEMA 5",0,0,0.0714285714285714,0.0714285714285714,0
"E3 LEMA 6",0,0,0.0714285714285714,0.0714285714285714,0
"E3 LEMA 7",0,0,0.0714285714285714,0.0714285714285714,0
"E3 LEMA 8",0,0,0.0714285714285714,0.0714285714285714,0
"E3 LEMA 9",0,0,0.0714285714285714,0.0714285714285714,0
"E4 LEMA 1",0,0,0,0,0.05
"E4 LEMA 10",0,0,0,0,0.05
"E4 LEMA 11",0,0,0,0,0.05
"E4 LEMA 12",0,0,0,0,0.05
"E4 LEMA 13",0,0,0,0,0.05
"E4 LEMA 14",0,0,0,0,0.05
"E4 LEMA 15",0,0,0,0,0.05
"E4 LEMA 16",0,0,0,0,0.05
"E4 LEMA 17",0,0,0,0,0.05
"E4 LEMA 18",0,0,0,0,0.05
"E4 LEMA 19",0,0,0,0,0.05
"E4 LEMA 2",0,0,0,0,0.05
"E4 LEMA 20",0,0,0,0,0.05
"E4 LEMA 3",0,0,0,0,0.05
"E4 LEMA 4",0,0,0,0,0.05
"E4 LEMA 5",0,0,0,0,0.05
"E4 LEMA 6",0,0,0,0,0.05
"E4 LEMA 7",0,0,0,0,0.05
"E4 LEMA 8",0,0,0,0,0.05
"E4 LEMA 9",0,0,0,0,0.05
