"","Bees","House_flies","Hoverflies","Small_flies"
"A1 CHFU 1",0,0,0,1
"A5 CHFU 1",0,0.333333333333333,0,2.33333333333333
"A5 CHFU 2",0,0.333333333333333,0,2.33333333333333
"A5 CHFU 3",0,0.333333333333333,0,2.33333333333333
"B1 CHFU 1",0,0,0,1
"B2 CHFU 1",0,0,0.5,1.5
"B2 CHFU 2",0,0,0.5,1.5
"B3 CHFU 1",0,0,0,2
"B4 CHFU 1",0,0,0,0.0625
"B4 CHFU 10",0,0,0,0.0625
"B4 CHFU 11",0,0,0,0.0625
"B4 CHFU 12",0,0,0,0.0625
"B4 CHFU 13",0,0,0,0.0625
"B4 CHFU 14",0,0,0,0.0625
"B4 CHFU 15",0,0,0,0.0625
"B4 CHFU 16",0,0,0,0.0625
"B4 CHFU 2",0,0,0,0.0625
"B4 CHFU 3",0,0,0,0.0625
"B4 CHFU 4",0,0,0,0.0625
"B4 CHFU 5",0,0,0,0.0625
"B4 CHFU 6",0,0,0,0.0625
"B4 CHFU 7",0,0,0,0.0625
"B4 CHFU 8",0,0,0,0.0625
"B4 CHFU 9",0,0,0,0.0625
"B5 CHFU 1",0,0,0,0.0625
"B5 CHFU 10",0,0,0,0.0625
"B5 CHFU 11",0,0,0,0.0625
"B5 CHFU 12",0,0,0,0.0625
"B5 CHFU 13",0,0,0,0.0625
"B5 CHFU 14",0,0,0,0.0625
"B5 CHFU 15",0,0,0,0.0625
"B5 CHFU 16",0,0,0,0.0625
"B5 CHFU 17",0,0,0,0.0625
"B5 CHFU 18",0,0,0,0.0625
"B5 CHFU 19",0,0,0,0.0625
"B5 CHFU 2",0,0,0,0.0625
"B5 CHFU 20",0,0,0,0.0625
"B5 CHFU 21",0,0,0,0.0625
"B5 CHFU 22",0,0,0,0.0625
"B5 CHFU 23",0,0,0,0.0625
"B5 CHFU 24",0,0,0,0.0625
"B5 CHFU 25",0,0,0,0.0625
"B5 CHFU 26",0,0,0,0.0625
"B5 CHFU 27",0,0,0,0.0625
"B5 CHFU 28",0,0,0,0.0625
"B5 CHFU 29",0,0,0,0.0625
"B5 CHFU 3",0,0,0,0.0625
"B5 CHFU 30",0,0,0,0.0625
"B5 CHFU 31",0,0,0,0.0625
