"","Bees","Butterflies","Flower_beetles","House_flies","Hoverflies","Humbleflies","Small_beetles","Small_flies"
"C5 PUPA 2",0,0.466666666666667,0,0,0,0,0,0
"C5 PUPA 3",0,0.466666666666667,0,0,0,0,0,0
"C5 PUPA 4",0,0.466666666666667,0,0,0,0,0,0
"C5 PUPA 5",0,0.466666666666667,0,0,0,0,0,0
"C5 PUPA 6",0,0.466666666666667,0,0,0,0,0,0
"C5 PUPA 7",0,0.466666666666667,0,0,0,0,0,0
"C5 PUPA 8",0,0.466666666666667,0,0,0,0,0,0
"C5 PUPA 9",0,0.466666666666667,0,0,0,0,0,0
"C6 PUPA 1",0,0,0,0,0,0.05,0,0
"C6 PUPA 10",0,0,0,0,0,0.05,0,0
"C6 PUPA 11",0,0,0,0,0,0.05,0,0
"C6 PUPA 12",0,0,0,0,0,0.05,0,0
"C6 PUPA 13",0,0,0,0,0,0.05,0,0
"C6 PUPA 14",0,0,0,0,0,0.05,0,0
"C6 PUPA 15",0,0,0,0,0,0.05,0,0
"C6 PUPA 16",0,0,0,0,0,0.05,0,0
"C6 PUPA 17",0,0,0,0,0,0.05,0,0
"C6 PUPA 18",0,0,0,0,0,0.05,0,0
"C6 PUPA 19",0,0,0,0,0,0.05,0,0
"C6 PUPA 2",0,0,0,0,0,0.05,0,0
"C6 PUPA 20",0,0,0,0,0,0.05,0,0
"C6 PUPA 3",0,0,0,0,0,0.05,0,0
"C6 PUPA 4",0,0,0,0,0,0.05,0,0
"C6 PUPA 5",0,0,0,0,0,0.05,0,0
"C6 PUPA 6",0,0,0,0,0,0.05,0,0
"C6 PUPA 7",0,0,0,0,0,0.05,0,0
"C6 PUPA 8",0,0,0,0,0,0.05,0,0
"C6 PUPA 9",0,0,0,0,0,0.05,0,0
"D2 PUPA 1",0,0.285714285714286,0,0,0,0.428571428571429,0,0
"D2 PUPA 2",0,0.285714285714286,0,0,0,0.428571428571429,0,0
"D2 PUPA 3",0,0.285714285714286,0,0,0,0.428571428571429,0,0
"D2 PUPA 4",0,0.285714285714286,0,0,0,0.428571428571429,0,0
"D2 PUPA 5",0,0.285714285714286,0,0,0,0.428571428571429,0,0
"D2 PUPA 6",0,0.285714285714286,0,0,0,0.428571428571429,0,0
"D2 PUPA 7",0,0.285714285714286,0,0,0,0.428571428571429,0,0
"D3 PUPA 1",0.175,0.05,0.025,0,0,0.05,0,0
"D3 PUPA 10",0.175,0.05,0.025,0,0,0.05,0,0
"D3 PUPA 11",0.175,0.05,0.025,0,0,0.05,0,0
"D3 PUPA 12",0.175,0.05,0.025,0,0,0.05,0,0
"D3 PUPA 13",0.175,0.05,0.025,0,0,0.05,0,0
"D3 PUPA 14",0.175,0.05,0.025,0,0,0.05,0,0
"D3 PUPA 15",0.175,0.05,0.025,0,0,0.05,0,0
"D3 PUPA 16",0.175,0.05,0.025,0,0,0.05,0,0
