"","Bees","Butterflies","Flower_beetles","House_flies","Hoverflies","Humbleflies","Small_beetles","Small_flies"
"E3 PUPA 7",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 8",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 9",0,0.0333333333333333,0,0,0,0.1,0,0
"E5 PUPA 1",0.025,0,0,0,0,0,0,0
"E5 PUPA 10",0.025,0,0,0,0,0,0,0
"E5 PUPA 11",0.025,0,0,0,0,0,0,0
"E5 PUPA 12",0.025,0,0,0,0,0,0,0
"E5 PUPA 13",0.025,0,0,0,0,0,0,0
"E5 PUPA 14",0.025,0,0,0,0,0,0,0
"E5 PUPA 15",0.025,0,0,0,0,0,0,0
"E5 PUPA 16",0.025,0,0,0,0,0,0,0
"E5 PUPA 17",0.025,0,0,0,0,0,0,0
"E5 PUPA 18",0.025,0,0,0,0,0,0,0
"E5 PUPA 19",0.025,0,0,0,0,0,0,0
"E5 PUPA 2",0.025,0,0,0,0,0,0,0
"E5 PUPA 20",0.025,0,0,0,0,0,0,0
"E5 PUPA 21",0.025,0,0,0,0,0,0,0
"E5 PUPA 22",0.025,0,0,0,0,0,0,0
"E5 PUPA 23",0.025,0,0,0,0,0,0,0
"E5 PUPA 24",0.025,0,0,0,0,0,0,0
"E5 PUPA 25",0.025,0,0,0,0,0,0,0
"E5 PUPA 26",0.025,0,0,0,0,0,0,0
"E5 PUPA 27",0.025,0,0,0,0,0,0,0
"E5 PUPA 28",0.025,0,0,0,0,0,0,0
"E5 PUPA 29",0.025,0,0,0,0,0,0,0
"E5 PUPA 3",0.025,0,0,0,0,0,0,0
"E5 PUPA 30",0.025,0,0,0,0,0,0,0
"E5 PUPA 31",0.025,0,0,0,0,0,0,0
"E5 PUPA 32",0.025,0,0,0,0,0,0,0
"E5 PUPA 33",0.025,0,0,0,0,0,0,0
"E5 PUPA 34",0.025,0,0,0,0,0,0,0
"E5 PUPA 35",0.025,0,0,0,0,0,0,0
"E5 PUPA 36",0.025,0,0,0,0,0,0,0
"E5 PUPA 37",0.025,0,0,0,0,0,0,0
"E5 PUPA 38",0.025,0,0,0,0,0,0,0
"E5 PUPA 39",0.025,0,0,0,0,0,0,0
"E5 PUPA 4",0.025,0,0,0,0,0,0,0
"E5 PUPA 40",0.025,0,0,0,0,0,0,0
"E5 PUPA 5",0.025,0,0,0,0,0,0,0
"E5 PUPA 6",0.025,0,0,0,0,0,0,0
"E5 PUPA 7",0.025,0,0,0,0,0,0,0
"E5 PUPA 8",0.025,0,0,0,0,0,0,0
"E5 PUPA 9",0.025,0,0,0,0,0,0,0
"E6 PUPA 1",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 10",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 11",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 12",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 13",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 14",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 15",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 16",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 17",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 18",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 19",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 2",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 20",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 21",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 22",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 23",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 24",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 25",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 26",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 27",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 28",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 29",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 3",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 30",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 4",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 5",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 6",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 7",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 8",0,0.0333333333333333,0,0,0,0,0,0
"E6 PUPA 9",0,0.0333333333333333,0,0,0,0,0,0
"F1 PUPA 1",0,0,0,0,0,3,0,0
"F2 PUPA 1",0,0,1,0,0,2,0,0
"F3 PUPA 1",2,1,0,0,0,0,0,1
"F4 PUPA 1",1,0,0,0,0,3,0,0
"F5 PUPA 1",0,0.166666666666667,0,0,0,0,0,0
"F5 PUPA 10",0,0.166666666666667,0,0,0,0,0,0
"F5 PUPA 11",0,0.166666666666667,0,0,0,0,0,0
"F5 PUPA 12",0,0.166666666666667,0,0,0,0,0,0
"F5 PUPA 2",0,0.166666666666667,0,0,0,0,0,0
"F5 PUPA 3",0,0.166666666666667,0,0,0,0,0,0
"F5 PUPA 4",0,0.166666666666667,0,0,0,0,0,0
"F5 PUPA 5",0,0.166666666666667,0,0,0,0,0,0
"F5 PUPA 6",0,0.166666666666667,0,0,0,0,0,0
"F5 PUPA 7",0,0.166666666666667,0,0,0,0,0,0
"F5 PUPA 8",0,0.166666666666667,0,0,0,0,0,0
"F5 PUPA 9",0,0.166666666666667,0,0,0,0,0,0
