"","Bees","Flower_beetles","Hoverflies","Small_flies"
"A2 CHFU 1",0.05,0,0,0.1
"A2 CHFU 10",0.05,0,0,0.1
"A2 CHFU 11",0.05,0,0,0.1
"A2 CHFU 12",0.05,0,0,0.1
"A2 CHFU 13",0.05,0,0,0.1
"A2 CHFU 14",0.05,0,0,0.1
"A2 CHFU 15",0.05,0,0,0.1
"A2 CHFU 16",0.05,0,0,0.1
"A2 CHFU 17",0.05,0,0,0.1
"A2 CHFU 18",0.05,0,0,0.1
"A2 CHFU 19",0.05,0,0,0.1
"A2 CHFU 2",0.05,0,0,0.1
"A2 CHFU 20",0.05,0,0,0.1
"A2 CHFU 3",0.05,0,0,0.1
"A2 CHFU 4",0.05,0,0,0.1
"A2 CHFU 5",0.05,0,0,0.1
"A2 CHFU 6",0.05,0,0,0.1
"A2 CHFU 7",0.05,0,0,0.1
"A2 CHFU 8",0.05,0,0,0.1
"A2 CHFU 9",0.05,0,0,0.1
"A5 CHFU 1",0,0,0.2,0
"A5 CHFU 2",0,0,0.2,0
"A5 CHFU 3",0,0,0.2,0
"A5 CHFU 4",0,0,0.2,0
"A5 CHFU 5",0,0,0.2,0
"A6 CHFU 1",0,0,0.333333333333333,0
"A6 CHFU 2",0,0,0.333333333333333,0
"A6 CHFU 3",0,0,0.333333333333333,0
"B1 CHFU 1",0,1,0,0.5
"B1 CHFU 2",0,1,0,0.5
"B2 CHFU 1",0,0,0,0.0909090909090909
"B2 CHFU 10",0,0,0,0.0909090909090909
"B2 CHFU 11",0,0,0,0.0909090909090909
"B2 CHFU 2",0,0,0,0.0909090909090909
"B2 CHFU 3",0,0,0,0.0909090909090909
"B2 CHFU 4",0,0,0,0.0909090909090909
"B2 CHFU 5",0,0,0,0.0909090909090909
"B2 CHFU 6",0,0,0,0.0909090909090909
"B2 CHFU 7",0,0,0,0.0909090909090909
"B2 CHFU 8",0,0,0,0.0909090909090909
"B2 CHFU 9",0,0,0,0.0909090909090909
"B5 CHFU 1",0,0.4,0,0.2
"B5 CHFU 2",0,0.4,0,0.2
"B5 CHFU 3",0,0.4,0,0.2
"B5 CHFU 4",0,0.4,0,0.2
"B5 CHFU 5",0,0.4,0,0.2
"B6 CHFU 1",0,0,0,0.4
"B6 CHFU 2",0,0,0,0.4
"B6 CHFU 3",0,0,0,0.4
"B6 CHFU 4",0,0,0,0.4
"B6 CHFU 5",0,0,0,0.4
"C2 CHFU 1",0,0,0,0.2
"C2 CHFU 2",0,0,0,0.2
"C2 CHFU 3",0,0,0,0.2
"C2 CHFU 4",0,0,0,0.2
"C2 CHFU 5",0,0,0,0.2
"D6 CHFU 1",0,0,0,0.2
"D6 CHFU 2",0,0,0,0.2
"D6 CHFU 3",0,0,0,0.2
"D6 CHFU 4",0,0,0,0.2
"D6 CHFU 5",0,0,0,0.2
"E5 CHFU 1",0,0,0,0.5
"E5 CHFU 2",0,0,0,0.5
"F4 CHFU 1",0,0.142857142857143,0,0
"F4 CHFU 2",0,0.142857142857143,0,0
"F4 CHFU 3",0,0.142857142857143,0,0
"F4 CHFU 4",0,0.142857142857143,0,0
"F4 CHFU 5",0,0.142857142857143,0,0
"F4 CHFU 6",0,0.142857142857143,0,0
"F4 CHFU 7",0,0.142857142857143,0,0
"F5 CHFU 1",0,0,0,0.75
"F5 CHFU 2",0,0,0,0.75
"F5 CHFU 3",0,0,0,0.75
"F5 CHFU 4",0,0,0,0.75
