"","Bees","Flower_beetles","Hoverflies","Small_beetles","Small_flies"
"A1 LEMA 1",0,1,1,2,0
"A2 LEMA 1",0,0.333333333333333,0.666666666666667,0,0
"A2 LEMA 2",0,0.333333333333333,0.666666666666667,0,0
"A2 LEMA 3",0,0.333333333333333,0.666666666666667,0,0
"A3 LEMA 1",0,0,0.5,0,0.5
"A3 LEMA 2",0,0,0.5,0,0.5
"A4 LEMA 1",0.5,0.5,0,0,0
"A4 LEMA 2",0.5,0.5,0,0,0
"A5 LEMA 1",0,0.666666666666667,0.666666666666667,0,0
"A5 LEMA 2",0,0.666666666666667,0.666666666666667,0,0
"A5 LEMA 3",0,0.666666666666667,0.666666666666667,0,0
"B2 LEMA 1",0,0,0.25,0.5,0.25
"B2 LEMA 2",0,0,0.25,0.5,0.25
"B2 LEMA 3",0,0,0.25,0.5,0.25
"B2 LEMA 4",0,0,0.25,0.5,0.25
"B3 LEMA 1",0,1.66666666666667,0,0.333333333333333,0.333333333333333
"B3 LEMA 2",0,1.66666666666667,0,0.333333333333333,0.333333333333333
"B3 LEMA 3",0,1.66666666666667,0,0.333333333333333,0.333333333333333
"B4 LEMA 1",0.5,0,0,0,1.5
"B4 LEMA 2",0.5,0,0,0,1.5
"B5 LEMA 1",2,5,0,1,3
"B6 LEMA 1",0,0.333333333333333,0,0,0
"B6 LEMA 2",0,0.333333333333333,0,0,0
"B6 LEMA 3",0,0.333333333333333,0,0,0
"C1 LEMA 1",0,0,0,1,0
"C2 LEMA 1",0.2,0.8,0.2,0.2,0.2
"C2 LEMA 2",0.2,0.8,0.2,0.2,0.2
"C2 LEMA 3",0.2,0.8,0.2,0.2,0.2
"C2 LEMA 4",0.2,0.8,0.2,0.2,0.2
"C2 LEMA 5",0.2,0.8,0.2,0.2,0.2
"C3 LEMA 1",0,0.666666666666667,0,0,0
"C3 LEMA 2",0,0.666666666666667,0,0,0
"C3 LEMA 3",0,0.666666666666667,0,0,0
"C3 LEMA 4",0,0.666666666666667,0,0,0
"C3 LEMA 5",0,0.666666666666667,0,0,0
"C3 LEMA 6",0,0.666666666666667,0,0,0
"C3 LEMA 7",0,0.666666666666667,0,0,0
"C3 LEMA 8",0,0.666666666666667,0,0,0
"C3 LEMA 9",0,0.666666666666667,0,0,0
"C4 LEMA 1",0.25,0.75,0,0.25,0.75
"C4 LEMA 2",0.25,0.75,0,0.25,0.75
"C4 LEMA 3",0.25,0.75,0,0.25,0.75
"C4 LEMA 4",0.25,0.75,0,0.25,0.75
"D1 LEMA 1",0,0.4,0,0,0.4
"D1 LEMA 2",0,0.4,0,0,0.4
"D1 LEMA 3",0,0.4,0,0,0.4
"D1 LEMA 4",0,0.4,0,0,0.4
"D1 LEMA 5",0,0.4,0,0,0.4
"D2 LEMA 1",0,0.333333333333333,0.333333333333333,0,0
"D2 LEMA 2",0,0.333333333333333,0.333333333333333,0,0
"D2 LEMA 3",0,0.333333333333333,0.333333333333333,0,0
"D2 LEMA 4",0,0.333333333333333,0.333333333333333,0,0
"D2 LEMA 5",0,0.333333333333333,0.333333333333333,0,0
"D2 LEMA 6",0,0.333333333333333,0.333333333333333,0,0
"D2 LEMA 7",0,0.333333333333333,0.333333333333333,0,0
"D2 LEMA 8",0,0.333333333333333,0.333333333333333,0,0
"D2 LEMA 9",0,0.333333333333333,0.333333333333333,0,0
"D3 LEMA 1",0,0.2,0,0,0
"D3 LEMA 2",0,0.2,0,0,0
"D3 LEMA 3",0,0.2,0,0,0
"D3 LEMA 4",0,0.2,0,0,0
"D3 LEMA 5",0,0.2,0,0,0
"D4 LEMA 1",0,0.5,0.5,0,0
"D4 LEMA 2",0,0.5,0.5,0,0
"D5 LEMA 1",0,0.25,0,0,0
"D5 LEMA 2",0,0.25,0,0,0
"D5 LEMA 3",0,0.25,0,0,0
"D5 LEMA 4",0,0.25,0,0,0
"D6 LEMA 1",0,0.333333333333333,0,0,0
"D6 LEMA 2",0,0.333333333333333,0,0,0
"D6 LEMA 3",0,0.333333333333333,0,0,0
"E1 LEMA 1",0,0.0833333333333333,0,0,0
"E1 LEMA 10",0,0.0833333333333333,0,0,0
"E1 LEMA 11",0,0.0833333333333333,0,0,0
"E1 LEMA 12",0,0.0833333333333333,0,0,0
"E1 LEMA 2",0,0.0833333333333333,0,0,0
"E1 LEMA 3",0,0.0833333333333333,0,0,0
"E1 LEMA 4",0,0.0833333333333333,0,0,0
"E1 LEMA 5",0,0.0833333333333333,0,0,0
"E1 LEMA 6",0,0.0833333333333333,0,0,0
"E1 LEMA 7",0,0.0833333333333333,0,0,0
"E1 LEMA 8",0,0.0833333333333333,0,0,0
"E1 LEMA 9",0,0.0833333333333333,0,0,0
"E2 LEMA 1",0,0.1,0,0,0.1
"E2 LEMA 10",0,0.1,0,0,0.1
"E2 LEMA 2",0,0.1,0,0,0.1
"E2 LEMA 3",0,0.1,0,0,0.1
"E2 LEMA 4",0,0.1,0,0,0.1
"E2 LEMA 5",0,0.1,0,0,0.1
"E2 LEMA 6",0,0.1,0,0,0.1
"E2 LEMA 7",0,0.1,0,0,0.1
"E2 LEMA 8",0,0.1,0,0,0.1
"E2 LEMA 9",0,0.1,0,0,0.1
"E3 LEMA 1",0,0.333333333333333,0,0,0
"E3 LEMA 2",0,0.333333333333333,0,0,0
"E3 LEMA 3",0,0.333333333333333,0,0,0
"E4 LEMA 1",0.333333333333333,0,0,0,0.333333333333333
"E4 LEMA 2",0.333333333333333,0,0,0,0.333333333333333
"E4 LEMA 3",0.333333333333333,0,0,0,0.333333333333333
"E5 LEMA 1",0,0.333333333333333,0,0,0
"E5 LEMA 2",0,0.333333333333333,0,0,0
"E5 LEMA 3",0,0.333333333333333,0,0,0
"E6 LEMA 1",0,0.5,0,0,0
"E6 LEMA 2",0,0.5,0,0,0
"F1 LEMA 1",0,0,0,0.111111111111111,0
"F1 LEMA 2",0,0,0,0.111111111111111,0
"F1 LEMA 3",0,0,0,0.111111111111111,0
"F1 LEMA 4",0,0,0,0.111111111111111,0
"F1 LEMA 5",0,0,0,0.111111111111111,0
"F1 LEMA 6",0,0,0,0.111111111111111,0
"F1 LEMA 7",0,0,0,0.111111111111111,0
"F1 LEMA 8",0,0,0,0.111111111111111,0
"F1 LEMA 9",0,0,0,0.111111111111111,0
"F2 LEMA 1",0,1,1,0,0
"F3 LEMA 1",0,0,0,0,1
"F4 LEMA 1",0,2,0,0.333333333333333,0
"F4 LEMA 2",0,2,0,0.333333333333333,0
"F4 LEMA 3",0,2,0,0.333333333333333,0
"F6 LEMA 1",0,0,0,0,0.166666666666667
"F6 LEMA 2",0,0,0,0,0.166666666666667
"F6 LEMA 3",0,0,0,0,0.166666666666667
"F6 LEMA 4",0,0,0,0,0.166666666666667
"F6 LEMA 5",0,0,0,0,0.166666666666667
"F6 LEMA 6",0,0,0,0,0.166666666666667
