"","House_flies","Hoverflies","Small_flies"
"A5 ME 1",0,2,0
"B3 ME 1",0,1,0
"B5 ME 1",0,0.333333333333333,0
"B5 ME 2",0,0.333333333333333,0
"B5 ME 3",0,0.333333333333333,0
"D2 ME 1",0,0,1
"E2 ME 1",3,0,0
