"","Hoverflies","Small_beetles","Small_flies"
"A6 CHFU 1",0.75,0,0
"A6 CHFU 2",0.75,0,0
"A6 CHFU 3",0.75,0,0
"A6 CHFU 4",0.75,0,0
"C3 CHFU 1",0.25,0,0
"C3 CHFU 2",0.25,0,0
"C3 CHFU 3",0.25,0,0
"C3 CHFU 4",0.25,0,0
"D2 CHFU 1",0,0.333333333333333,0
"D2 CHFU 2",0,0.333333333333333,0
"D2 CHFU 3",0,0.333333333333333,0
"D3 CHFU 1",2,0,0
"E2 CHFU 1",0,0,1
"F2 CHFU 1",0.2,0,0
"F2 CHFU 2",0.2,0,0
"F2 CHFU 3",0.2,0,0
"F2 CHFU 4",0.2,0,0
"F2 CHFU 5",0.2,0,0
