Plot;Subplot;Plant;Plant_Simple;Fruit;Seed
1;A1;CHFU;CHFU;1;76
1;A2;CHFU;CHFU;1;76
1;A3;CHFU;CHFU;2;152
1;A4;CHFU;CHFU;0;0
1;A5;CHFU;CHFU;2;152
1;A6;CHFU;CHFU;0;0
1;B1;CHFU;CHFU;2;152
1;B2;CHFU;CHFU;2;152
1;B3;CHFU;CHFU;5;380
1;B4;CHFU;CHFU;7;532
1;B5;CHFU;CHFU;1;76
1;B6;CHFU;CHFU;0;0
1;C1;CHFU;CHFU;1;76
1;C2;CHFU;CHFU;1;76
1;C3;CHFU;CHFU;3;228
1;C4;CHFU;CHFU;1;76
1;C5;CHFU;CHFU;2;152
1;C6;CHFU;CHFU;2;152
1;D1;CHFU;CHFU;3;228
1;D2;CHFU;CHFU;3;228
1;D3;CHFU;CHFU;3;228
1;D4;CHFU;CHFU;1;76
1;D5;CHFU;CHFU;2;152
1;D6;CHFU;CHFU;2;152
1;E1;CHFU;CHFU;2;152
1;E2;CHFU;CHFU;1;76
1;E3;CHFU;CHFU;2;152
1;E4;CHFU;CHFU;1;76
1;E5;CHFU;CHFU;9;684
1;E6;CHFU;CHFU;3;228
1;F1;CHFU;CHFU;1;76
1;F2;CHFU;CHFU;1;76
1;F3;CHFU;CHFU;1;76
1;F4;CHFU;CHFU;2;152
1;F5;CHFU;CHFU;2;152
1;F6;CHFU;CHFU;5;380
2;A1;CHFU;CHFU;1;76
2;A2;CHFU;CHFU;5;380
2;A3;CHFU;CHFU;2;152
2;A4;CHFU;CHFU;4;304
2;A5;CHFU;CHFU;5;380
2;A6;CHFU;CHFU;3;228
2;B1;CHFU;CHFU;2;152
2;B2;CHFU;CHFU;2;152
2;B3;CHFU;CHFU;5;380
2;B4;CHFU;CHFU;1;76
2;B5;CHFU;CHFU;0;0
2;B6;CHFU;CHFU;0;0
2;C1;CHFU;CHFU;6;456
2;C2;CHFU;CHFU;2;152
2;C3;CHFU;CHFU;3;228
2;C4;CHFU;CHFU;2;152
2;C5;CHFU;CHFU;0;0
2;C6;CHFU;CHFU;0;0
2;D1;CHFU;CHFU;3;228
2;D2;CHFU;CHFU;2;152
2;D3;CHFU;CHFU;2;152
2;D4;CHFU;CHFU;4;304
2;D5;CHFU;CHFU;0;0
2;D6;CHFU;CHFU;0;0
2;E1;CHFU;CHFU;1;76
2;E2;CHFU;CHFU;3;228
2;E3;CHFU;CHFU;2;152
2;E4;CHFU;CHFU;3;228
2;E5;CHFU;CHFU;0;0
2;E6;CHFU;CHFU;2;152
2;F1;CHFU;CHFU;1;76
2;F2;CHFU;CHFU;2;152
2;F3;CHFU;CHFU;2;152
2;F4;CHFU;CHFU;5;380
2;F5;CHFU;CHFU;4;304
2;F6;CHFU;CHFU;1;76
3;A1;CHFU;CHFU;4;304
3;A2;CHFU;CHFU;6;456
3;A3;CHFU;CHFU;7;532
3;A4;CHFU;CHFU;2;152
3;A5;CHFU;CHFU;0;0
3;A6;CHFU;CHFU;1;76
3;B1;CHFU;CHFU;2;152
3;B2;CHFU;CHFU;2;152
3;B3;CHFU;CHFU;1;76
3;B4;CHFU;CHFU;1;76
3;B5;CHFU;CHFU;1;76
3;B6;CHFU;CHFU;2;152
3;C1;CHFU;CHFU;0;0
3;C2;CHFU;CHFU;0;0
3;C3;CHFU;CHFU;1;76
3;C4;CHFU;CHFU;1;76
3;C5;CHFU;CHFU;2;152
3;C6;CHFU;CHFU;2;152
3;D1;CHFU;CHFU;0;0
3;D2;CHFU;CHFU;1;76
3;D3;CHFU;CHFU;0;0
3;D4;CHFU;CHFU;1;76
3;D5;CHFU;CHFU;1;76
3;D6;CHFU;CHFU;0;0
3;E1;CHFU;CHFU;1;76
3;E2;CHFU;CHFU;1;76
3;E3;CHFU;CHFU;1;76
