"Plot";"Subplot";"Order";"Family";"Species";"ID";"ID_Simple";"G_F";"num.visits";"ID2";"Plant_Simple";"num.plantas";"Fruit";"Seed"
1;"D2";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";1;"LEMA";"LEMA";"35";3;192
1;"D2";"Diptera";"Muscidae";NA;"Muscidae";"Musca_sp.";"House_flies";1;"ME";"ME";"1";0;0
1;"D3";"Coleoptera";"Chrysomelidae";NA;"Chrysomelidae";"Chrysomelidae";"Flower_beetles";1;"LEMA";"LEMA";"50";2;128
1;"D3";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";3;"LEMA";"LEMA";"50";2;128
1;"D3";"Coleoptera";"Mordellidae";NA;"Mordellidae";"Mordellidae";"Flower_beetles";1;"LEMA";"LEMA";"50";2;128
1;"D3";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";2;"LEMA";"LEMA";"50";2;128
1;"D4";"Coleoptera";"Mordellidae";NA;"Mordellidae";"Mordellidae";"Flower_beetles";1;"LEMA";"LEMA";"40";3;192
1;"D5";"Coleoptera";"Buprestidae";"Anthaxia_semicuprea";"Anthaxia_semicuprea";"Anthaxia_semicuprea";"Flower_beetles";1;"LEMA";"LEMA";"15";2;128
1;"D5";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";1;"LEMA";"LEMA";"15";2;128
1;"D5";"Coleoptera";"Mordellidae";NA;"Mordellidae";"Mordellidae";"Flower_beetles";1;"LEMA";"LEMA";"15";2;128
1;"D5";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";1;"LEMA";"LEMA";"15";2;128
1;"D5";"Diptera";"Syrphidae";"Odontomyia_sp.";"Odontomyia_sp.";"Odontomyia_sp.";"Hoverflies";1;"LEMA";"LEMA";"15";2;128
1;"E1";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";4;"LEMA";"LEMA";"30";3;192
1;"E2";"Diptera";NA;NA;"Diptera";"Diptera";"Flies";1;"CHFU";"CHFU";"8";1;76
1;"E2";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";2;"LEMA";"LEMA";"40";4;256
1;"E2";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";1;"LEMA";"LEMA";"40";4;256
1;"E2";"Diptera";"Syrphidae";"Sphaerophoria_scripta";"Sphaerophoria_scripta";"Sphaerophoria_scripta";"Hoverflies";1;"LEMA";"LEMA";"40";4;256
1;"E2";"Diptera";"Syrphidae";NA;"Syrphidae";"Sphaerophoria_scripta";"Hoverflies";1;"LEMA";"LEMA";"40";4;256
1;"E3";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";3;"LEMA";"LEMA";"30";3;192
1;"E3";"Diptera";"Syrphidae";"Eupeodes_sp.";"Eupeodes_sp.";"Eupeodes_corollae";"Hoverflies";1;"LEMA";"LEMA";"30";3;192
1;"E3";"Diptera";"Syrphidae";"Odontomyia_sp.";"Odontomyia_sp.";"Odontomyia_sp.";"Hoverflies";1;"LEMA";"LEMA";"30";3;192
1;"E3";"Diptera";"Syrphidae";"Sphaerophoria_scripta";"Sphaerophoria_scripta";"Sphaerophoria_scripta";"Hoverflies";1;"ME";"ME";"1";100;100
1;"E4";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";4;"LEMA";"LEMA";"30";4;256
1;"E5";"Diptera";NA;NA;"Diptera";"Diptera";"Flies";1;"CHFU";"CHFU";"17";9;684
1;"E5";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";2;"LEMA";"LEMA";"50";3;192
1;"E5";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";1;"LEMA";"LEMA";"50";3;192
1;"E6";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";3;"LEMA";"LEMA";"30";4;256
1;"F1";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";1;"LEMA";"LEMA";"15";2;128
1;"F1";"Diptera";"Syrphidae";"Scaeva_sp.";"Scaeva_sp.";"Scaeva_sp.";"Hoverflies";1;"LEMA";"LEMA";"15";2;128
1;"F1";"Diptera";"Syrphidae";"Sphaerophoria_sp.";"Sphaerophoria_sp.";"Sphaerophoria_scripta";"Hoverflies";2;"LEMA";"LEMA";"15";2;128
1;"F2";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";1;"LEMA";"LEMA";"20";2;128
1;"F3";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";3;"LEMA";"LEMA";"25";2;128
1;"F3";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";1;"LEMA";"LEMA";"25";2;128
1;"F3";"Diptera";"Syrphidae";"Scaeva_sp.";"Scaeva_sp.";"Scaeva_sp.";"Hoverflies";1;"LEMA";"LEMA";"25";2;128
1;"F4";"Diptera";NA;NA;"Diptera";"Diptera";"Flies";1;"CHFU";"CHFU";"12";2;152
1;"F4";"Coleoptera";"Mordellidae";NA;"Mordellidae";"Mordellidae";"Flower_beetles";1;"LEMA";"LEMA";"30";3;192
1;"F5";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";2;"LEMA";"LEMA";"35";4;256
1;"F6";"Diptera";"Syrphidae";NA;"Syrphidae";"Eupeodes_corollae";"Hoverflies";1;"LEMA";"LEMA";"20";3;192
1;"F6";"Diptera";"Syrphidae";NA;"Syrphidae";"Sphaerophoria_scripta";"Hoverflies";1;"LEMA";"LEMA";"20";3;192
2;"A1";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";1;"LEMA";"LEMA";"30";2;128
2;"A1";"Diptera";"Stratiomyidae";"Nemotelus_sp.";"Nemotelus_sp.";"Nemotelus_sp.";"Small_flies";1;"LEMA";"LEMA";"30";2;128
2;"A1";"Diptera";"Syrphidae";"Eupeodes_corollae";"Eupeodes_corollae";"Eupeodes_corollae";"Hoverflies";1;"LEMA";"LEMA";"30";2;128
2;"A1";"Diptera";NA;NA;"Diptera";"Diptera";"Flies";2;"LEMA";"LEMA";"30";2;128
2;"A3";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";1;"CHFU";"CHFU";"7";2;152
2;"A3";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";2;"LEMA";"LEMA";"12";1;64
2;"A4";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";2;"CHFU";"CHFU";"6";4;304
2;"A4";"Diptera";"Stratiomyidae";"Nemotelus_sp.";"Nemotelus_sp.";"Nemotelus_sp.";"Small_flies";2;"LEMA";"LEMA";"40";3;192
2;"A5";"Diptera";"Syrphidae";"Episyrphus_balteatus";"Episyrphus_balteatus";"Episyrphus_balteatus";"Hoverflies";1;"LEMA";"LEMA";"50";3;192
2;"A5";"Diptera";"Syrphidae";"Eupeodes_corollae";"Eupeodes_corollae";"Eupeodes_corollae";"Hoverflies";1;"ME";"ME";"3";90;90
2;"B1";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";1;"CHFU";"CHFU";"3";2;152
2;"B1";"Coleoptera";"Cantharidae";NA;"Cantharidae";"Cantharidae";"Flower_beetles";1;"LEMA";"LEMA";"10";3;192
2;"B1";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";2;"LEMA";"LEMA";"10";3;192
2;"B1";"Diptera";NA;NA;"Diptera";"Diptera";"Flies";5;"ME";"ME";"30";70;70
2;"B2";"Coleoptera";"Nitidulidae";"Meligethes_sp.";"Meligethes_sp.";"Meligethes_sp.";"Small_beetles";1;"LEMA";"LEMA";"25";2;128
2;"B3";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";1;"LEMA";"LEMA";"30";2;128
2;"B4";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";1;"LEMA";"LEMA";"30";3;192
2;"B5";"Coleoptera";"Cantharidae";NA;"Cantharidae";"Cantharidae";"Flower_beetles";1;"ME";"ME";"2";0;0
2;"B5";"Diptera";"Calliphoridae ";NA;"Calliphoridae ";"Calliphoridae ";"House_flies";2;"ME";"ME";"2";0;0
2;"B6";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";1;"LEMA";"LEMA";"25";4;256
2;"C1";"Coleoptera";"Cantharidae";NA;"Cantharidae";"Cantharidae";"Flower_beetles";1;"LEMA";"LEMA";"10";5;320
2;"C1";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";2;"LEMA";"LEMA";"10";5;320
2;"C1";"Diptera";"Syrphidae";"Eupeodes_corollae";"Eupeodes_corollae";"Eupeodes_corollae";"Hoverflies";1;"LEMA";"LEMA";"10";5;320
2;"C1";"Coleoptera";"Cantharidae";NA;"Cantharidae";"Cantharidae";"Flower_beetles";1;"ME";"ME";"3";0;0
2;"C3";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";2;"LEMA";"LEMA";"20";6;384
2;"C3";"Diptera";"Stratiomyidae";"Nemotelus_sp.";"Nemotelus_sp.";"Nemotelus_sp.";"Small_flies";1;"LEMA";"LEMA";"20";6;384
2;"C5";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";1;"LEMA";"LEMA";"30";8;512
2;"C5";"Diptera";"Syrphidae";"Eupeodes_corollae";"Eupeodes_corollae";"Eupeodes_corollae";"Hoverflies";1;"LEMA";"LEMA";"30";8;512
2;"C6";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";1;"LEMA";"LEMA";"25";6;384
2;"C6";"Coleoptera";"Nitidulidae";"Meligethes_sp.";"Meligethes_sp.";"Meligethes_sp.";"Small_beetles";1;"LEMA";"LEMA";"25";6;384
2;"D1";"Diptera";NA;NA;"Diptera";"Diptera";"Flies";3;"CHFU";"CHFU";"4";3;228
2;"D1";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";2;"LEMA";"LEMA";"20";6;384
2;"D1";"Coleoptera";"Nitidulidae";"Brassicogethes_sp.";"Brassicogethes_sp.";"Brassicogethes_sp.";"Small_beetles";1;"LEMA";"LEMA";"20";6;384
2;"D1";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";3;"LEMA";"LEMA";"20";6;384
2;"D1";"Diptera";"Muscidae";NA;"Muscidae";"Musca_sp.";"House_flies";1;"LEMA";"LEMA";"20";6;384
2;"D1";"Diptera";"Syrphidae";NA;"Syrphidae";"Eupeodes_corollae";"Hoverflies";1;"LEMA";"LEMA";"20";6;384
2;"D2";"Hymenoptera";NA;NA;"Apoidea";"Andrena_cinerea";"Bees";1;"ME";"ME";"9";75;75
2;"D3";"Diptera";"Calliphoridae ";NA;"Calliphoridae ";"Calliphoridae ";"House_flies";2;"ME";"ME";"20";120;120
2;"D4";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";1;"LEMA";"LEMA";"4";2;128
2;"D4";"Diptera";"Stratiomyidae";"Nemotelus_sp.";"Nemotelus_sp.";"Nemotelus_sp.";"Small_flies";2;"LEMA";"LEMA";"4";2;128
2;"D5";"Diptera";"Syrphidae";"Eupeodes_corollae";"Eupeodes_corollae";"Eupeodes_corollae";"Hoverflies";1;"LEMA";"LEMA";"15";3;192
2;"D6";"Diptera";"Stratiomyidae";"Nemotelus_sp.";"Nemotelus_sp.";"Nemotelus_sp.";"Small_flies";1;"LEMA";"LEMA";"25";6;384
2;"D6";"Diptera";"Syrphidae";NA;"Syrphidae";"Eupeodes_corollae";"Hoverflies";1;"LEMA";"LEMA";"25";6;384
2;"E1";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";1;"CHFU";"CHFU";"14";1;76
2;"E1";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";2;"LEMA";"LEMA";"20";3;192
2;"E1";"Coleoptera";"Mordellidae";NA;"Mordellidae";"Mordellidae";"Flower_beetles";1;"LEMA";"LEMA";"20";3;192
2;"E1";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";5;"LEMA";"LEMA";"20";3;192
2;"E2";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";1;"LEMA";"LEMA";"30";4;256
2;"E2";"Diptera";"Syrphidae";"Eupeodes_corollae";"Eupeodes_corollae";"Eupeodes_corollae";"Hoverflies";1;"LEMA";"LEMA";"30";4;256
2;"E2";"Diptera";"Stratiomyidae";"Nemotelus_sp.";"Nemotelus_sp.";"Nemotelus_sp.";"Small_flies";1;"ME";"ME";"30";130;130
2;"E2";"Diptera";NA;NA;"Diptera";"Diptera";"Flies";1;"ME";"ME";"30";130;130
2;"E3";"Coleoptera";"Nitidulidae";"Meligethes_sp.";"Meligethes_sp.";"Meligethes_sp.";"Small_beetles";1;"LEMA";"LEMA";"12";2;128
2;"E4";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";3;"LEMA";"LEMA";"20";2;128
2;"E4";"Hymenoptera";NA;NA;"Apoidea";"Andrena_cinerea";"Bees";1;"LEMA";"LEMA";"20";2;128
2;"E4";"Coleoptera";"Cantharidae";NA;"Cantharidae";"Cantharidae";"Flower_beetles";1;"ME";"ME";"90";120;120
2;"E4";"Diptera";NA;NA;"Diptera";"Diptera";"Flies";1;"ME";"ME";"90";120;120
2;"E4";"Hymenoptera";"Halictidae";"Lassioglosum_ immunitum";"Lassioglosum_ immunitum";"Lassioglosum_ immunitum";"Bees";1;"ME";"ME";"90";120;120
2;"E5";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";1;"LEMA";"LEMA";"10";2;128
2;"E5";"Diptera";"Stratiomyidae";"Nemotelus_sp.";"Nemotelus_sp.";"Nemotelus_sp.";"Small_flies";1;"LEMA";"LEMA";"10";2;128
2;"E6";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";5;"LEMA";"LEMA";"25";6;384
2;"E6";"Coleoptera";"Nitidulidae";"Meligethes_sp.";"Meligethes_sp.";"Meligethes_sp.";"Small_beetles";1;"LEMA";"LEMA";"25";6;384
2;"E6";"Diptera";"Syrphidae";NA;"Syrphidae";"Eupeodes_corollae";"Hoverflies";1;"LEMA";"LEMA";"25";6;384
2;"E6";"Hymenoptera";NA;NA;"Apoidea";"Andrena_cinerea";"Bees";1;"LEMA";"LEMA";"25";6;384
2;"F1";"Coleoptera";"Cantharidae";NA;"Cantharidae";"Cantharidae";"Flower_beetles";1;"LEMA";"LEMA";"20";3;192
2;"F1";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";1;"LEMA";"LEMA";"20";3;192
2;"F1";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";2;"LEMA";"LEMA";"20";3;192
2;"F2";"Coleoptera";"Melyridae";"Malachius_sp.";"Malachius_sp.";"Malachius_bipustulatus";"Flower_beetles";1;"LEMA";"LEMA";"10";2;128
2;"F2";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";1;"LEMA";"LEMA";"10";2;128
2;"F3";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";4;"LEMA";"LEMA";"35";4;256
2;"F3";"Coleoptera";"Nitidulidae";"Brassicogethes_sp.";"Brassicogethes_sp.";"Brassicogethes_sp.";"Small_beetles";3;"LEMA";"LEMA";"35";4;256
2;"F3";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";2;"LEMA";"LEMA";"35";4;256
2;"F3";"Diptera";"Stratiomyidae";"Nemotelus_sp.";"Nemotelus_sp.";"Nemotelus_sp.";"Small_flies";1;"LEMA";"LEMA";"35";4;256
2;"F3";"Hymenoptera";NA;NA;"Apoidea";"Andrena_cinerea";"Bees";1;"LEMA";"LEMA";"35";4;256
2;"F4";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";1;"LEMA";"LEMA";"30";6;384
2;"F6";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";1;"LEMA";"LEMA";"20";4;256
2;"F6";"Coleoptera";"Nitidulidae";"Meligethes_sp.";"Meligethes_sp.";"Meligethes_sp.";"Small_beetles";3;"LEMA";"LEMA";"20";4;256
2;"F6";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";1;"LEMA";"LEMA";"20";4;256
3;"A1";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";1;"LEMA";"LEMA";"2";2;128
3;"A5";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";1;"LEMA";"LEMA";"10";1;64
3;"A6";"Diptera";"Syrphidae";"Scaeva_sp.";"Scaeva_sp.";"Scaeva_sp.";"Hoverflies";3;"CHFU";"CHFU";"4";1;76
3;"B1";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";2;"LEMA";"LEMA";"6";2;128
3;"B1";"Diptera";"Syrphidae";"Sphaerophoria_sp.";"Sphaerophoria_sp.";"Sphaerophoria_scripta";"Hoverflies";1;"LEMA";"LEMA";"6";2;128
3;"B1";"Diptera";"Syrphidae";NA;"Syrphidae";"Eupeodes_corollae";"Hoverflies";1;"LEMA";"LEMA";"6";2;128
3;"B2";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";2;"LEMA";"LEMA";"10";1;64
3;"B3";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";2;"LEMA";"LEMA";"11";1;64
3;"B3";"Diptera";"Syrphidae";"Scaeva_sp.";"Scaeva_sp.";"Scaeva_sp.";"Hoverflies";1;"LEMA";"LEMA";"11";1;64
3;"B5";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";2;"LEMA";"LEMA";"20";2;128
3;"B6";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";2;"LEMA";"LEMA";"20";1;64
3;"C1";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";2;"LEMA";"LEMA";"7";1;64
3;"C3";"Diptera";"Syrphidae";NA;"Syrphidae";"Eupeodes_corollae";"Hoverflies";1;"CHFU";"CHFU";"4";1;76
3;"C3";"Hymenoptera";NA;NA;"Apoidea";"Andrena_cinerea";"Bees";1;"LEMA";"LEMA";"5";1;64
