Day;Month;Year;Plot ;Subplot;Group;Order;Superfamily;Family;Species;ID;ID_Simple;G_F;Sex; Visits;ID2;Plant_Simple;Jar;YESNO_jar;Time;Obs.comments;Weather;Input_by;
8;2;2019;3;A6;Fly;Diptera;Syrphoidea;Syrphidae;Scaeva_sp.;Scaeva_sp.;Scaeva_sp.;Hoverflies;NA;3;CHFU;CHFU;0;NO;12.38;;sun/ soft wind;María;
8;2;2019;3;D3;Fly;Diptera;Syrphoidea;Syrphidae;Scaeva_sp.;Scaeva_sp.;Scaeva_sp.;Hoverflies;NA;2;CHFU;CHFU;0;NO;12.38;;sun/ soft wind;María;
8;2;2019;3;F2;Fly;Diptera;Syrphoidea;Syrphidae;Scaeva_sp.;Scaeva_sp.;Scaeva_sp.;Hoverflies;NA;1;CHFU;CHFU;0;NO;12.38;;sun/ soft wind;María;
8;2;2019;5;A3;Fly;Diptera;Syrphoidea;Syrphidae;Sphaerophoria_sp.;Sphaerophoria_sp.;Sphaerophoria_scripta;Hoverflies;NA;2;CHFU;CHFU;1/8/28/19;YES;13.11;;sun/ soft wind;María;
8;2;2019;5;C3;Fly;Diptera;Syrphoidea;Syrphidae;Episyrphus_balteatus;Episyrphus_balteatus;Episyrphus_balteatus;Hoverflies;NA;2;CHFU;CHFU;0;NO;13.11;;sun/ soft wind;María;
8;2;2019;5;C4;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Dilophus_sp.;Small_flies;NA;1;CHFU;CHFU;0;NO;13.11;;sun/ soft wind;María;
8;2;2019;5;F5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Dilophus_sp.;Small_flies;NA;1;CHFU;CHFU;0;NO;13.11;;sun/ soft wind;María;
8;2;2019;5;F6;Fly;Diptera;Syrphoidea;Syrphidae;Scaeva_sp.;Scaeva_sp.;Scaeva_sp.;Hoverflies;NA;3;CHFU;CHFU;8/8/2/19;YES;13.11;;sun/ soft wind;María;
8;2;2019;5;F6;Fly;Diptera;Syrphoidea;Syrphidae;Scaeva_sp.;Scaeva_sp.;Scaeva_sp.;Hoverflies;NA;1;CHFU;CHFU;8/8/2/19;YES;13.11;ESTABA EN EL MISMO BOTE QUE EL ANTERIOR;;;
8;2;2019;5;F6;Fly;Diptera;NA;NA;NA;Diptera;Diptera;Flies;NA;1;CHFU;CHFU;8/8/2/19_1;YES;NA;;;;
