year,plot,subplot,focal,fruit,seed
2019,1,E6,CHFU,3,252
2019,1,E6,HOMA,1,12
2019,1,E6,LEMA,4,192
2019,1,E6,PAIN,1,1
2019,1,F1,CHFU,1,84
2019,1,F1,HOMA,1,12
2019,1,F1,LEMA,2,96
2019,1,F1,MESU,120,240
2019,1,F1,PAIN,1,1
2019,1,F2,CHFU,1,84
2019,1,F2,HOMA,1,12
2019,1,F2,LEMA,2,96
2019,1,F2,PAIN,1,1
2019,1,F3,CHFU,1,84
2019,1,F3,HOMA,1,12
2019,1,F3,LEMA,2,96
2019,1,F3,PAIN,1,1
2019,1,F4,CHFU,2,168
2019,1,F4,HOMA,1,12
2019,1,F4,LEMA,3,144
2019,1,F4,MESU,180,360
2019,1,F4,PAIN,1,1
2019,1,F5,CHFU,2,168
2019,1,F5,HOMA,1,12
2019,1,F5,LEMA,4,192
2019,1,F5,MESU,220,440
2019,1,F5,PAIN,1,1
2019,1,F6,CHFU,5,420
2019,1,F6,HOMA,1,12
2019,1,F6,LEMA,3,144
2019,1,F6,MESU,110,220
2019,1,F6,PAIN,1,1
2019,2,A1,CHFU,1,84
2019,2,A1,HOMA,1,12
2019,2,A1,LEMA,2,96
2019,2,A1,PAIN,1,1
2019,2,A1,SASO,10,20
2019,2,A2,CHFU,5,420
2019,2,A2,HOMA,1,12
2019,2,A2,LEMA,3,144
2019,2,A2,PAIN,1,1
2019,2,A3,CHFU,2,168
2019,2,A3,HOMA,1,12
2019,2,A3,LEMA,1,48
2019,2,A3,PAIN,1,1
2019,2,A3,SASO,15,30
2019,2,A4,CHFU,4,336
2019,2,A4,HOMA,1,12
2019,2,A4,LEMA,3,144
2019,2,A4,MESU,120,240
2019,2,A4,PAIN,1,1
2019,2,A5,CETE,10,3380
2019,2,A5,CHFU,5,420
2019,2,A5,HOMA,1,12
2019,2,A5,LEMA,3,144
2019,2,A5,MESU,220,440
2019,2,A5,PAIN,1,1
2019,2,A6,CETE,8,2704
2019,2,A6,CHFU,3,252
2019,2,A6,HOMA,1,12
2019,2,A6,LEMA,5,240
2019,2,A6,MESU,180,360
2019,2,A6,PAIN,1,1
2019,2,A6,SASO,25,50
2019,2,B1,CHFU,2,168
2019,2,B1,HOMA,1,12
2019,2,B1,LEMA,3,144
2019,2,B1,MESU,200,400
2019,2,B1,PAIN,1,1
2019,2,B2,CHFU,2,168
2019,2,B2,HOMA,1,12
2019,2,B2,LEMA,2,96
2019,2,B2,MESU,140,280
2019,2,B2,PAIN,1,1
2019,2,B3,CHFU,5,420
2019,2,B3,HOMA,1,12
2019,2,B3,LEMA,2,96
2019,2,B3,PAIN,1,1
2019,2,B3,SASO,20,40
2019,2,B4,CETE,8,2704
2019,2,B4,CHFU,1,84
2019,2,B4,HOMA,1,12
2019,2,B4,LEMA,3,144
2019,2,B4,MESU,160,320
2019,2,B4,PAIN,1,1
2019,2,B4,SASO,15,30
2019,2,B5,HOMA,1,12
2019,2,B5,LEMA,3,144
2019,2,B5,MESU,120,240
2019,2,B5,PAIN,1,1
2019,2,B5,SASO,10,20
2019,2,B6,BEMA,7,28
2019,2,B6,BEMA,9,36
2019,2,B6,BEMA,10,40
2019,2,B6,BEMA,11,44
2019,2,B6,BEMA,20,80
2019,2,B6,HOMA,1,12
2019,2,B6,LEMA,4,192
2019,2,B6,PAIN,1,1
2019,2,B6,POMA,1,86
2019,2,B6,SASO,20,40
2019,2,C1,CHFU,6,504
2019,2,C1,HOMA,1,12
2019,2,C1,LEMA,5,240
2019,2,C1,MESU,180,360
2019,2,C1,PAIN,1,1
2019,2,C1,SASO,5,10
2019,2,C2,CETE,10,3380
2019,2,C2,CHFU,2,168
2019,2,C2,HOMA,1,12
2019,2,C2,LEMA,4,192
2019,2,C2,PAIN,1,1
2019,2,C2,SASO,15,30
2019,2,C3,CHFU,3,252
2019,2,C3,HOMA,1,12
2019,2,C3,LEMA,6,288
2019,2,C3,PAIN,1,1
2019,2,C3,SASO,10,20
2019,2,C4,CETE,12,4056
2019,2,C4,CHFU,2,168
2019,2,C4,HOMA,1,12
2019,2,C4,LEMA,3,144
2019,2,C4,MESU,140,280
2019,2,C4,PAIN,1,1
2019,2,C4,SASO,5,10
2019,2,C5,HOMA,1,12
2019,2,C5,LEMA,8,384
2019,2,C5,MESU,250,500
2019,2,C5,PAIN,1,1
2019,2,C5,PUPA,12,1080
2019,2,C5,SASO,15,30
2019,2,C6,CETE,6,2028
2019,2,C6,HOMA,1,12
2019,2,C6,LEMA,6,288
2019,2,C6,PAIN,1,1
2019,2,C6,POMA,1,86
2019,2,D1,CHFU,3,252
2019,2,D1,HOMA,1,12
2019,2,D1,LEMA,6,288
2019,2,D1,MESU,300,600
2019,2,D1,PAIN,1,1
2019,2,D1,SASO,5,10
2019,2,D2,CHFU,2,168
2019,2,D2,HOMA,1,12
2019,2,D2,LEMA,3,144
2019,2,D2,MESU,140,280
2019,2,D2,PAIN,1,1
2019,2,D2,SASO,30,60
2019,2,D3,CHFU,2,168
2019,2,D3,HOMA,1,12
2019,2,D3,LEMA,3,144
2019,2,D3,MESU,150,300
2019,2,D3,PAIN,1,1
2019,2,D4,CHFU,4,336
2019,2,D4,HOMA,1,12
2019,2,D4,LEMA,2,96
2019,2,D4,MESU,240,480
2019,2,D4,PAIN,1,1
2019,2,D5,HOMA,1,12
2019,2,D5,LEMA,3,144
2019,2,D5,MESU,260,520
