Line,Plot,Subplot,Plant,ID,type_seed_per_fruit,Seeds_GF,visits_GF,homo_motif,hete_motif,Year,Fruit_GF,type_fruit,seed_per_fruit,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio
1,1,A1,LEMA,Brassicogethes_sp,Individual,612,3,30,0,2020,12,Individual,51,0.007713536278413309,0.007658959337510232,1.0128755364806867,1,2,2,5.457694090307656e-5,1.007125895111596
1,1,A1,LEMA,Phaedon_sp,Individual,612,1,0,0,2020,12,Individual,51,0.007713536278413309,0.007658959337510232,1.0128755364806867,1,2,2,5.457694090307656e-5,1.007125895111596
1,1,A2,CETE,Bombilus_major,Individual,1189.5,1,0,0,2020,13,Individual,91.5,0.013888888888888888,0.013888888888888886,1,1,1,1,1.734723475976807e-18,1.0000000000000002
1,1,A2,LEMA,Brassicogethes_sp,Individual,810,9,30,0,2020,15,Individual,54,0.010350000457500848,0.010193655174341402,0.05680842762387827,1,2,2,1.5634528315944599e-4,1.0153375095081678
1,1,A2,LEMA,Psilothrix_viridicoerulea,Individual,810,1,26,0,2020,15,Individual,54,0.010350000457500848,0.010193655174341402,0.05680842762387827,1,2,2,1.5634528315944599e-4,1.0153375095081678
1,1,A3,CETE,Lasioglossum_malachurum,Individual,1372.5,1,0,3,2020,15,Individual,91.5,0.008081445259736825,0.013888888888888886,1,1,1,1,-0.005807443629152061,0.5818640587010515
1,1,A3,LEMA,Brassicogethes_sp,Individual,511,10,58,0,2020,7,Individual,73,0.01201489070444392,0.011855407542534243,0.5429184549356223,1,2,2,1.5948316190967683e-4,1.0134523559259765
1,1,A3,LEMA,Malachius_bipustulatus,Individual,511,1,1,0,2020,7,Individual,73,0.01201489070444392,0.011855407542534243,0.5429184549356223,1,2,2,1.5948316190967683e-4,1.0134523559259765
1,1,A4,LEMA,Brassicogethes_sp,Individual,923,8,58,0,2020,13,Individual,71,0.013001286122852642,0.012771093805469069,0.12524385485758877,1,2,2,2.3019231738357314e-4,1.0180244794134232
1,1,A4,LEMA,Psilothrix_viridicoerulea,Individual,923,5,26,0,2020,13,Individual,71,0.013001286122852642,0.012771093805469069,0.12524385485758877,1,2,2,2.3019231738357314e-4,1.0180244794134232
1,1,A5,LEMA,Brassicogethes_sp,Individual,441,15,58,0,2020,7,Individual,63,0.017667593819803547,0.01731180590441825,0.48255950058525166,1,3,3,3.557879153852951e-4,1.0205517504845922
1,1,A5,LEMA,Elateridae,Individual,441,2,3,0,2020,7,Individual,63,0.017667593819803547,0.01731180590441825,0.48255950058525166,1,3,3,3.557879153852951e-4,1.0205517504845922
1,1,A5,LEMA,Psilothrix_viridicoerulea,Individual,441,1,26,0,2020,7,Individual,63,0.017667593819803547,0.01731180590441825,0.48255950058525166,1,3,3,3.557879153852951e-4,1.0205517504845922
1,1,A6,LEMA,Brassicogethes_sp,Individual,2231,9,58,0,2020,23,Individual,97,0.012972918676640816,0.01280558244557744,1.0568084276238783,1,3,3,1.673362310633756e-4,1.0130674439662968
1,1,A6,LEMA,Oedemeridae,Individual,2231,1,0,0,2020,23,Individual,97,0.012972918676640816,0.01280558244557744,1.0568084276238783,1,3,3,1.673362310633756e-4,1.0130674439662968
1,1,A6,LEMA,Psilothrix_viridicoerulea,Individual,2231,1,26,0,2020,23,Individual,97,0.012972918676640816,0.01280558244557744,1.0568084276238783,1,3,3,1.673362310633756e-4,1.0130674439662968
1,1,B1,CHFU,Ulidiidae,Individual,4608,2,6,0,2020,64,Individual,72,0.008684672091381079,0.009085950232496406,0.15384615384615385,1,1,1,-4.0127814111532746e-4,0.9558353137704702
1,1,B1,LEMA,Brassicogethes_sp,Individual,406,8,58,0,2020,7,Individual,58,0.012178708075467271,0.012026254336663407,1.052516582130316,1,3,3,1.5245373880386388e-4,1.0126767432765071
1,1,B1,LEMA,Mordellidae,Individual,406,1,0,0,2020,7,Individual,58,0.012178708075467271,0.012026254336663407,1.052516582130316,1,3,3,1.5245373880386388e-4,1.0126767432765071
1,1,B1,LEMA,Psilothrix_viridicoerulea,Individual,406,1,2,0,2020,7,Individual,58,0.012178708075467271,0.012026254336663407,1.052516582130316,1,3,3,1.5245373880386388e-4,1.0126767432765071
1,1,B2,LEMA,Brassicogethes_sp,Individual,2576,10,58,0,2020,32,Individual,80.5,0.010303707071527456,0.010154643801685936,0.04291845493562232,1,1,1,1.4906326984152028e-4,1.0146793203929785
1,1,B4,CHFU,Ulidiidae,Individual,1230.25,1,6,0,2020,19,Individual,64.75,0.005384002712357207,0.0055846417829148705,0.07692307692307693,1,1,1,-2.0063907055766373e-4,0.964073063527283
1,1,B4,LEMA,Brassicogethes_sp,Individual,2470,9,65,0,2020,38,Individual,65,0.015280597503955518,0.014460440114561652,1.0931720639875147,1,3,3,8.201573893938663e-4,1.056717318622133
1,1,B4,LEMA,Empis_sp,Individual,2470,1,0,1,2020,38,Individual,65,0.015280597503955518,0.014460440114561652,1.0931720639875147,1,3,3,8.201573893938663e-4,1.056717318622133
1,1,B4,LEMA,Psilothrix_viridicoerulea,Individual,2470,3,27,0,2020,38,Individual,65,0.015280597503955518,0.014460440114561652,1.0931720639875147,1,3,3,8.201573893938663e-4,1.056717318622133
1,1,B5,LEMA,Brassicogethes_sp,Individual,1248,8,58,0,2020,18,Individual,69.33333333333333,0.009527963083681434,0.009386524127506147,0.052516582130316035,1,2,2,1.414389561752872e-4,1.0150682994316091
1,1,B5,LEMA,Psilothrix_viridicoerulea,Individual,1248,1,26,0,2020,18,Individual,69.33333333333333,0.009527963083681434,0.009386524127506147,0.052516582130316035,1,2,2,1.414389561752872e-4,1.0150682994316091
1,1,B6,LEMA,Andrena_sp,Individual,2232,1,1,0,2020,36,Individual,62,0.010626505651806525,0.010475477100389607,0.252516582130316,1,3,3,1.510285514169183e-4,1.0144173434746282
1,1,B6,LEMA,Brassicogethes_sp,Individual,2232,8,65,0,2020,36,Individual,62,0.010626505651806525,0.010475477100389607,0.252516582130316,1,3,3,1.510285514169183e-4,1.0144173434746282
1,1,B6,LEMA,Psilothrix_viridicoerulea,Individual,2232,1,26,0,2020,36,Individual,62,0.010626505651806525,0.010475477100389607,0.252516582130316,1,3,3,1.510285514169183e-4,1.0144173434746282
1,1,C1,CHFU,Empis_sp,Individual,448,1,0,1,2020,7,Individual,64,0.01219629488758086,0.014300922369918428,1.1538461538461537,1,2,2,-0.0021046274823375687,0.8528327454762924
1,1,C1,CHFU,Ulidiidae,Individual,448,2,6,0,2020,7,Individual,64,0.01219629488758086,0.014300922369918428,1.1538461538461537,1,2,2,-0.0021046274823375687,0.8528327454762924
1,1,C1,LEMA,Brassicogethes_sp,Individual,216,6,30,0,2020,3,Individual,72,0.009076572895735725,0.00890994425836827,0.24393289114319158,1,3,3,1.6662863736745422e-4,1.0187014230993596
1,1,C1,LEMA,Elateridae,Individual,216,1,3,0,2020,3,Individual,72,0.009076572895735725,0.00890994425836827,0.24393289114319158,1,3,3,1.6662863736745422e-4,1.0187014230993596
1,1,C1,LEMA,Psilothrix_viridicoerulea,Individual,216,1,26,0,2020,3,Individual,72,0.009076572895735725,0.00890994425836827,0.24393289114319158,1,3,3,1.6662863736745422e-4,1.0187014230993596
1,1,C2,LEMA,Brassicogethes_sp,Individual,3848.5,7,65,0,2020,43,Individual,89.5,0.009548778582985687,0.009434014402028464,0.5300429184549357,1,2,2,1.14764180957223e-4,1.012164935950548
1,1,C2,LEMA,Malachius_bipustulatus,Individual,3848.5,1,1,0,2020,43,Individual,89.5,0.009548778582985687,0.009434014402028464,0.5300429184549357,1,2,2,1.14764180957223e-4,1.012164935950548
1,1,C2,PUPA,Lasioglossum_malachurum,Individual,217.5,1,1,2,2020,7.5,Individual,29,0.0032010923421306697,0.006614114114114117,0.2,1,1,1,-0.0034130217719834477,0.48397900110307035
1,1,C3,LEMA,Brassicogethes_sp,Individual,812,6,58,0,2020,14,Individual,58,0.007015557576249806,0.006926119614344891,0.02575107296137339,1,1,1,8.943796190491547e-5,1.0129131413958947
1,1,C4,LEMA,Brassicogethes_sp,Individual,236,4,28,0,2020,4,Individual,59,0.006239813588403786,0.006157999940165106,0.03534920015606711,1,2,2,8.181364823867977e-5,1.0132857500866566
1,1,C4,LEMA,Psilothrix_viridicoerulea,Individual,236,1,26,0,2020,4,Individual,59,0.006239813588403786,0.006157999940165106,0.03534920015606711,1,2,2,8.181364823867977e-5,1.0132857500866566
1,1,C5,LEMA,Brassicogethes_sp,Individual,1541,1,28,0,2020,23,Individual,67,0.0040476290225371185,0.004023110709828987,0.14714898835070508,1,2,2,2.4518312708131373e-5,1.0060943668908315
1,1,C5,LEMA,Musca_sp,Individual,1541,1,1,0,2020,23,Individual,67,0.0040476290225371185,0.004023110709828987,0.14714898835070508,1,2,2,2.4518312708131373e-5,1.0060943668908315
1,1,C6,LEMA,Brassicogethes_sp,Individual,984,2,28,0,2020,16,Individual,61.5,0.007770034689975033,0.007706570471185865,1.0267655091689427,1,3,3,6.346421878916826e-5,1.0082350792776702
1,1,C6,LEMA,Psilothrix_viridicoerulea,Individual,984,1,26,0,2020,16,Individual,61.5,0.007770034689975033,0.007706570471185865,1.0267655091689427,1,3,3,6.346421878916826e-5,1.0082350792776702
1,1,C6,LEMA,Sphaerophoria_scripta,Individual,984,1,0,0,2020,16,Individual,61.5,0.007770034689975033,0.007706570471185865,1.0267655091689427,1,3,3,6.346421878916826e-5,1.0082350792776702
1,1,D1,CHFU,Ulidiidae,Individual,64.75,2,6,0,2020,1,Individual,64.75,0.00868467209138108,0.009085950232496408,0.15384615384615385,1,1,1,-4.0127814111532746e-4,0.9558353137704702
1,1,D1,LEMA,Brassicogethes_sp,Individual,832,4,30,0,2020,16,Individual,52,0.007108144348196586,0.007004142359655838,0.05353101833788529,1,2,2,1.0400198854074866e-4,1.0148486400190557
1,1,D1,LEMA,Psilothrix_viridicoerulea,Individual,832,2,26,0,2020,16,Individual,52,0.007108144348196586,0.007004142359655838,0.05353101833788529,1,2,2,1.0400198854074866e-4,1.0148486400190557
1,1,D2,LEMA,Brassicogethes_sp,Individual,900,7,58,0,2020,12,Individual,75,0.009574256469654822,0.009425535500161617,0.06640655481857198,1,2,2,1.4872096949320422e-4,1.0157785167209497
1,1,D2,LEMA,Psilothrix_viridicoerulea,Individual,900,2,26,0,2020,12,Individual,75,0.009574256469654822,0.009425535500161617,0.06640655481857198,1,2,2,1.4872096949320422e-4,1.0157785167209497
1,1,D3,LEMA,Brassicogethes_sp,Individual,248,3,58,0,2020,4,Individual,62,0.006286106974377176,0.006197011312820574,0.049239172844323054,1,2,2,8.909566155660201e-5,1.0143771984686034
1,1,D3,LEMA,Psilothrix_viridicoerulea,Individual,248,2,26,0,2020,4,Individual,62,0.006286106974377176,0.006197011312820574,0.049239172844323054,1,2,2,8.909566155660201e-5,1.0143771984686034
1,1,D4,LEMA,Brassicogethes_sp,Individual,864.5,7,65,0,2020,13,Individual,66.5,0.014771009331766677,0.014543054302225434,1.1209520093640266,1,3,3,2.279550295412429e-4,1.0156744948347172
1,1,D4,LEMA,Geometridae,Individual,864.5,1,0,0,2020,13,Individual,66.5,0.014771009331766677,0.014543054302225434,1.1209520093640266,1,3,3,2.279550295412429e-4,1.0156744948347172
1,1,D4,LEMA,Psilothrix_viridicoerulea,Individual,864.5,5,28,0,2020,13,Individual,66.5,0.014771009331766677,0.014543054302225434,1.1209520093640266,1,3,3,2.279550295412429e-4,1.0156744948347172
1,1,D5,LEMA,Brassicogethes_sp,Individual,1235,5,65,0,2020,19,Individual,65,0.010859527801294717,0.010641240470005203,0.2941865001950839,1,3,3,2.1828733128951422e-4,1.020513335066979
1,1,D5,LEMA,Elateridae,Individual,1235,1,3,0,2020,19,Individual,65,0.010859527801294717,0.010641240470005203,0.2941865001950839,1,3,3,2.1828733128951422e-4,1.020513335066979
1,1,D5,LEMA,Psilothrix_viridicoerulea,Individual,1235,4,27,0,2020,19,Individual,65,0.010859527801294717,0.010641240470005203,0.2941865001950839,1,3,3,2.1828733128951422e-4,1.020513335066979
1,1,D6,LEMA,Brassicogethes_sp,Individual,770,18,59,0,2020,14,Individual,55,0.01948499834146115,0.01915011943484021,0.13179867342957471,1,2,2,3.348789066209418e-4,1.0174870401075249
1,1,D6,LEMA,Psilothrix_viridicoerulea,Individual,770,3,26,0,2020,14,Individual,55,0.01948499834146115,0.01915011943484021,0.13179867342957471,1,2,2,3.348789066209418e-4,1.0174870401075249
1,1,D6,PUPA,Lasioglossum_malachurum,Individual,515,1,1,2,2020,25,Individual,20.6,0.0032010923421306693,0.0066141141141141165,0.2,1,1,1,-0.0034130217719834472,0.48397900110307035
1,1,E1,LEMA,Brassicogethes_sp,Individual,1200,3,58,0,2020,15,Individual,80,0.005417776214584374,0.005350868893329847,0.031057354662504876,1,2,2,6.690732125452705e-5,1.0125040105800258
1,1,E1,LEMA,Psilothrix_viridicoerulea,Individual,1200,1,0,0,2020,15,Individual,80,0.005417776214584374,0.005350868893329847,0.031057354662504876,1,2,2,6.690732125452705e-5,1.0125040105800258
1,1,E2,LEMA,Andrena_sp,Individual,994.5,4,1,0,2020,13,Individual,76.5,0.021465883720737478,0.021196762810448935,1.6484761780899122,1,4,4,2.691209102885436e-4,1.0126963212588236
1,1,E2,LEMA,Brassicogethes_sp,Individual,994.5,8,65,0,2020,13,Individual,76.5,0.021465883720737478,0.021196762810448935,1.6484761780899122,1,4,4,2.691209102885436e-4,1.0126963212588236
1,1,E2,LEMA,Episyrphus_balteatus,Individual,994.5,7,1,0,2020,13,Individual,76.5,0.021465883720737478,0.021196762810448935,1.6484761780899122,1,4,4,2.691209102885436e-4,1.0126963212588236
1,1,E2,LEMA,Psilothrix_viridicoerulea,Individual,994.5,2,26,0,2020,13,Individual,76.5,0.021465883720737478,0.021196762810448935,1.6484761780899122,1,4,4,2.691209102885436e-4,1.0126963212588236
1,1,E3,CHFU,Ulidiidae,Individual,25,3,6,0,2020,1,Individual,25,0.011985341470404951,0.012587258682077941,0.23076923076923078,1,1,1,-6.019172116729903e-4,0.9521804368309348
1,1,E3,LEMA,Anastoechus_sp,Individual,875.5,2,1,0,2020,17,Individual,51.5,0.011710405456032753,0.011567345974932735,0.7105995578098583,0.9999999999999999,4,4,1.430594811000184e-4,1.0123675285074067
