Line,Plot,Subplot,Plant,ID,type_seed_per_fruit,Seeds_GF,visits_GF,Visits_tot,homo_motif,hete_motif,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio
1,1,A1,LEMA,Brassicogethes_sp,Individual,51,3,3,30,0,0.007713536278413309,0.007658959337510232,1.0128755364806867,1,2,2,5.457694090307656e-5,1.007125895111596
1,1,A1,LEMA,Phaedon_sp,Individual,51,1,1,0,0,0.007713536278413309,0.007658959337510232,1.0128755364806867,1,2,2,5.457694090307656e-5,1.007125895111596
1,1,A2,LEMA,Brassicogethes_sp,Individual,54,9,9,30,0,0.010350000457500848,0.010193655174341402,0.05680842762387827,1,2,2,1.5634528315944599e-4,1.0153375095081678
1,1,A2,LEMA,Psilothrix_viridicoerulea,Individual,54,1,1,26,0,0.010350000457500848,0.010193655174341402,0.05680842762387827,1,2,2,1.5634528315944599e-4,1.0153375095081678
1,1,A3,LEMA,Brassicogethes_sp,Individual,73,10,10,58,0,0.01201489070444392,0.011855407542534243,0.5429184549356223,1,2,2,1.5948316190967683e-4,1.0134523559259765
1,1,A3,LEMA,Malachius_bipustulatus,Individual,73,1,1,1,0,0.01201489070444392,0.011855407542534243,0.5429184549356223,1,2,2,1.5948316190967683e-4,1.0134523559259765
1,1,A4,LEMA,Brassicogethes_sp,Individual,71,8,8,58,0,0.013001286122852642,0.012771093805469069,0.12524385485758877,1,2,2,2.3019231738357314e-4,1.0180244794134232
1,1,A4,LEMA,Psilothrix_viridicoerulea,Individual,71,5,5,26,0,0.013001286122852642,0.012771093805469069,0.12524385485758877,1,2,2,2.3019231738357314e-4,1.0180244794134232
1,1,A5,LEMA,Brassicogethes_sp,Individual,63,15,15,58,0,0.017667593819803547,0.01731180590441825,0.48255950058525166,1,3,3,3.557879153852951e-4,1.0205517504845922
1,1,A5,LEMA,Elateridae,Individual,63,2,2,3,0,0.017667593819803547,0.01731180590441825,0.48255950058525166,1,3,3,3.557879153852951e-4,1.0205517504845922
1,1,A5,LEMA,Psilothrix_viridicoerulea,Individual,63,1,1,26,0,0.017667593819803547,0.01731180590441825,0.48255950058525166,1,3,3,3.557879153852951e-4,1.0205517504845922
1,1,A6,LEMA,Brassicogethes_sp,Individual,97,9,9,58,0,0.012972918676640816,0.01280558244557744,1.0568084276238783,1,3,3,1.673362310633756e-4,1.0130674439662968
1,1,A6,LEMA,Oedemeridae,Individual,97,1,1,0,0,0.012972918676640816,0.01280558244557744,1.0568084276238783,1,3,3,1.673362310633756e-4,1.0130674439662968
1,1,A6,LEMA,Psilothrix_viridicoerulea,Individual,97,1,1,26,0,0.012972918676640816,0.01280558244557744,1.0568084276238783,1,3,3,1.673362310633756e-4,1.0130674439662968
1,1,B1,CHFU,Ulidiidae,Individual,72,2,2,6,0,0.008684672091381079,0.009085950232496406,0.15384615384615385,1,1,1,-4.0127814111532746e-4,0.9558353137704702
1,1,B1,LEMA,Brassicogethes_sp,Individual,58,8,8,58,0,0.012178708075467271,0.012026254336663407,1.052516582130316,1,3,3,1.5245373880386388e-4,1.0126767432765071
1,1,B1,LEMA,Mordellidae,Individual,58,1,1,0,0,0.012178708075467271,0.012026254336663407,1.052516582130316,1,3,3,1.5245373880386388e-4,1.0126767432765071
1,1,B1,LEMA,Psilothrix_viridicoerulea,Individual,58,1,1,2,0,0.012178708075467271,0.012026254336663407,1.052516582130316,1,3,3,1.5245373880386388e-4,1.0126767432765071
1,1,B2,LEMA,Brassicogethes_sp,Individual,80.5,10,10,58,0,0.010303707071527456,0.010154643801685936,0.04291845493562232,1,1,1,1.4906326984152028e-4,1.0146793203929785
1,1,B3,LEMA,Brassicogethes_sp,Individual,71,8,8,65,0,0.010396293843474238,0.010232666546996876,0.07069840031213422,1,2,2,1.6362729647736128e-4,1.015990680017359
1,1,B3,LEMA,Psilothrix_viridicoerulea,Individual,71,2,2,26,0,0.010396293843474238,0.010232666546996876,0.07069840031213422,1,2,2,1.6362729647736128e-4,1.015990680017359
1,1,B4,LEMA,Brassicogethes_sp,Individual,65,9,9,65,0,0.015280597503955518,0.014460440114561652,1.0931720639875147,1,3,3,8.201573893938663e-4,1.056717318622133
1,1,B4,LEMA,Empis_sp,Individual,65,1,1,0,1,0.015280597503955518,0.014460440114561652,1.0931720639875147,1,3,3,8.201573893938663e-4,1.056717318622133
1,1,B4,LEMA,Psilothrix_viridicoerulea,Individual,65,3,3,27,0,0.015280597503955518,0.014460440114561652,1.0931720639875147,1,3,3,8.201573893938663e-4,1.056717318622133
