node_from,layer_from,module_to,Plot,k.is,ks.bar,SD.ks,z,k.i,sum_aux_c,c
E4 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
E5 LEMA,LEMA,8,1,0.5,0.5111111111111111,0.31681283176407227,-0.0350715311915946,1,0.25,0.75
E6 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
Elateridae LEMA,LEMA,1,1,0.8,0.9672805973235158,0.07595201289319961,-2.202451139231009,1,0.04000000000000001,0.96
Empis_sp CHFU,CHFU,3,1,1.7272727272727273,1.0227272727272727,0.2932121587933883,2.4028521103789284,1.7272727272727273,0,1
Empis_sp LEMA,LEMA,3,1,0.5,1.0227272727272727,0.2932121587933883,-1.7827612431843662,1.5,0.4444444444444444,0.5555555555555556
Episyrphus_balteatus LEMA,LEMA,4,1,0.7777777777777778,0.7005291005291006,0.15344645120394035,0.5034243323490661,1,0.04938271604938271,0.9506172839506173
Eucera_sp CHFU,CHFU,7,1,1,1,0,NaN,1,0,1
F1 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
F2 CHFU,CHFU,7,1,1,1,0,NaN,1,0,1
F2 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
F3 CHFU,CHFU,3,1,1,1.0227272727272727,0.2932121587933883,-0.0775113583993202,1,0,1
F3 LEMA,LEMA,1,1,0.6666666666666666,0.9672805973235158,0.07595201289319961,-3.957945539633812,1,0.06172839506172839,0.9382716049382716
F4 LEMA,LEMA,5,1,0.42105263157894735,0.6469298245614035,0.2566820155859567,-0.8799883874482637,1,0.33518005540166207,0.6648199445983379
F5 CHFU,CHFU,3,1,1,1.0227272727272727,0.2932121587933883,-0.0775113583993202,1,0,1
F5 LEMA,LEMA,1,1,0.8333333333333333,0.9672805973235158,0.07595201289319961,-1.7635775391303097,1,0.027777777777777776,0.9722222222222222
F6 LEMA,LEMA,2,1,0.5555555555555556,1.4816468253968254,0.8960799419743013,-1.0334917973957163,1,0.19753086419753085,0.8024691358024691
F6 PUPA,PUPA,2,1,1,1.4816468253968254,0.8960799419743013,-0.5375043038410501,1,0,1
Geometridae LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
Lasioglossum_malachurum CETE,CETE,2,1,2.7142857142857144,1.4816468253968254,0.8960799419743013,1.3755903141555197,2.7142857142857144,0,1
Lasioglossum_malachurum LEMA,LEMA,2,1,1.5833333333333335,1.4816468253968254,0.8960799419743013,0.11347928144944952,1.75,0.009070294784580497,0.9909297052154195
Lasioglossum_malachurum PUPA,PUPA,2,1,3,1.4816468253968254,0.8960799419743013,1.694439417154948,3,0,1
Malachius_bipustulatus LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
Mordellidae LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
Musca_sp LEMA,LEMA,5,1,1,0.6469298245614035,0.2566820155859567,1.3755158289239853,1,0,1
Oedemeridae LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
Phaedon_sp LEMA,LEMA,10,1,1,0.625,0.5303300858899106,0.7071067811865476,1,0,1
Psilothrix_viridicoerulea LEMA,LEMA,1,1,0.8363636363636363,0.9672805973235158,0.07595201289319961,-1.723679939121155,1,0.00628099173553719,0.9937190082644628
Sphaerophoria_scripta LEMA,LEMA,9,1,1,0.625,0.5303300858899106,0.7071067811865476,1,0,1
Ulidiidae CHFU,CHFU,3,1,1,1.0227272727272727,0.2932121587933883,-0.0775113583993202,1,0,1
A1 LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
A2 CHFU,CHFU,6,2,1,1.018939393939394,0.26536787709298476,-0.07137033369249014,1,0,1
A2 LEMA,LEMA,1,2,0.75,0.9311712488183076,0.0954117616771273,-1.898835590431605,1,0.03125,0.96875
A2 PUPA,PUPA,4,2,1,1.3830357142857144,0.79170202212495,-0.48381297960770137,1,0,1
A3 CETE,CETE,3,2,1,1.1830357142857144,0.33905067046513443,-0.5398476694784666,1,0,1
A3 CHFU,CHFU,6,2,1,1.018939393939394,0.26536787709298476,-0.07137033369249014,1,0,1
A3 LEMA,LEMA,1,2,0.8333333333333333,0.9311712488183076,0.0954117616771273,-1.0254282466354319,1,0.027777777777777776,0.9722222222222222
A4 BEMA,BEMA,9,2,1,1.0104166666666667,0.7139280685314432,-0.01459063892542273,1,0,1
A4 LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
A5 CETE,CETE,3,2,1,1.1830357142857144,0.33905067046513443,-0.5398476694784666,1,0,1
A5 CHFU,CHFU,6,2,1,1.018939393939394,0.26536787709298476,-0.07137033369249014,1,0,1
A5 LEMA,LEMA,9,2,0.3333333333333333,1.0104166666666667,0.7139280685314432,-0.9483915301524708,1,0.4444444444444444,0.5555555555555556
A5 PUPA,PUPA,4,2,1,1.3830357142857144,0.79170202212495,-0.48381297960770137,1,0,1
A6 LEMA,LEMA,2,2,0.6666666666666666,1.2492044992044993,0.8364693778429462,-0.6964245768805762,1,0.1111111111111111,0.8888888888888888
A6 PUPA,PUPA,3,2,1,1.1830357142857144,0.33905067046513443,-0.5398476694784666,1,0,1
Anastoechus_sp CETE,CETE,2,2,2.7142857142857144,1.2492044992044993,0.8364693778429462,1.751506096803338,2.7142857142857144,0,1
Anastoechus_sp LEMA,LEMA,2,2,1.4772727272727273,1.2492044992044993,0.8364693778429462,0.2726558008093031,1.75,0.01349300050598752,0.9865069994940124
Anastoechus_sp PUPA,PUPA,2,2,2.5,1.2492044992044993,0.8364693778429462,1.4953273053713003,3,0.027777777777777776,0.9722222222222222
Andrena_sp CETE,CETE,5,2,2.7142857142857144,1.4583333333333333,1.1181290556255186,1.1232624486712401,2.7142857142857144,0,1
Andrena_sp LEMA,LEMA,5,2,0.75,1.4583333333333333,1.1181290556255186,-0.6334987269757228,1.75,0.32653061224489793,0.6734693877551021
Andrena_sp PUPA,PUPA,5,2,3,1.4583333333333333,1.1181290556255186,1.3787913469471618,3,0,1
B1 CETE,CETE,2,2,1,1.2492044992044993,0.8364693778429462,-0.2979242346529623,1,0,1
B1 LEMA,LEMA,1,2,0.8571428571428571,0.9311712488183076,0.0954117616771273,-0.7758832912650961,1,0.02040816326530612,0.9795918367346939
B1 PUPA,PUPA,2,2,1,1.2492044992044993,0.8364693778429462,-0.2979242346529623,1,0,1
B2 CETE,CETE,3,2,1,1.1830357142857144,0.33905067046513443,-0.5398476694784666,1,0,1
B2 CHFU,CHFU,6,2,1,1.018939393939394,0.26536787709298476,-0.07137033369249014,1,0,1
B2 LEMA,LEMA,2,2,0.38461538461538464,1.2492044992044993,0.8364693778429462,-1.0336171741500957,1,0.37869822485207105,0.621301775147929
B3 CHFU,CHFU,6,2,1,1.018939393939394,0.26536787709298476,-0.07137033369249014,1,0,1
B3 LEMA,LEMA,1,2,0.7692307692307693,0.9311712488183076,0.0954117616771273,-1.6972800495555644,1,0.029585798816568053,0.9704142011834319
B4 LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
B5 LEMA,LEMA,1,2,0.9333333333333333,0.9311712488183076,0.0954117616771273,0.02266056591997778,1,0.0044444444444444444,0.9955555555555555
B6 LEMA,LEMA,7,2,0.36363636363636365,0.6818181818181818,0.2399853645675327,-1.325838426669059,1,0.4049586776859504,0.5950413223140496
Bombilus_major CETE,CETE,3,2,1.7142857142857144,1.1830357142857144,0.33905067046513443,1.5668749431204265,1.7142857142857144,0,1
Bombilus_major PUPA,PUPA,3,2,1.75,1.1830357142857144,0.33905067046513443,1.6722110737503708,2,0.015625,0.984375
Braconidae BEMA,BEMA,9,2,2,1.0104166666666667,0.7139280685314432,1.3861106979151494,2,0,1
Braconidae LEMA,LEMA,9,2,0.7083333333333333,1.0104166666666667,0.7139280685314432,-0.4231285288372563,1.375,0.2350780532598714,0.7649219467401286
Brassicogethes_sp LEMA,LEMA,1,2,0.8496732026143791,0.9311712488183076,0.0954117616771273,-0.8541719047146129,1,0.007475757187406553,0.9925242428125934
C1 CHFU,CHFU,6,2,1,1.018939393939394,0.26536787709298476,-0.07137033369249014,1,0,1
C2 CHFU,CHFU,6,2,1,1.018939393939394,0.26536787709298476,-0.07137033369249014,1,0,1
C2 LEMA,LEMA,1,2,0.8,0.9311712488183076,0.0954117616771273,-1.3747911841539002,1,0.04000000000000001,0.96
C2 PUPA,PUPA,11,2,1,1,0,NaN,1,0,1
C3 LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
C4 LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
C5 LEMA,LEMA,1,2,0.75,0.9311712488183076,0.0954117616771273,-1.898835590431605,1,0.0625,0.9375
C5 PUPA,PUPA,5,2,1,1.4583333333333333,1.1181290556255186,-0.40991094098429126,1,0,1
C6 CETE,CETE,5,2,1,1.4583333333333333,1.1181290556255186,-0.40991094098429126,1,0,1
C6 LEMA,LEMA,1,2,0.8,0.9311712488183076,0.0954117616771273,-1.3747911841539002,1,0.04000000000000001,0.96
C6 PUPA,PUPA,5,2,0.2857142857142857,1.4583333333333333,1.1181290556255186,-1.0487331866740959,1,0.18367346938775508,0.8163265306122449
Cerambycidae LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
Cryptocephalus_sp LEMA,LEMA,7,2,1,0.6818181818181818,0.2399853645675327,1.3258384266690597,1,0,1
D1 CHFU,CHFU,8,2,1,1,0,NaN,1,0,1
D1 LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
D2 CETE,CETE,4,2,1,1.3830357142857144,0.79170202212495,-0.48381297960770137,1,0,1
D2 LEMA,LEMA,1,2,0.8571428571428572,0.9311712488183076,0.0954117616771273,-0.775883291265095,1,0.02040816326530612,0.9795918367346939
D3 LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
D4 CHFU,CHFU,6,2,1,1.018939393939394,0.26536787709298476,-0.07137033369249014,1,0,1
D4 LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
D5 LEMA,LEMA,1,2,0.8,0.9311712488183076,0.0954117616771273,-1.3747911841539002,1,0.04000000000000001,0.96
D6 LEMA,LEMA,1,2,0.7142857142857142,0.9311712488183076,0.0954117616771273,-2.2731530234871093,1,0.08163265306122448,0.9183673469387755
Dilophus_sp LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
E1 LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
E2 CETE,CETE,4,2,1,1.3830357142857144,0.79170202212495,-0.48381297960770137,1,0,1
E2 CHFU,CHFU,8,2,1,1,0,NaN,1,0,1
E2 LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
E3 CHFU,CHFU,6,2,1,1.018939393939394,0.26536787709298476,-0.07137033369249014,1,0,1
E3 LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
E4 CETE,CETE,4,2,1,1.3830357142857144,0.79170202212495,-0.48381297960770137,1,0,1
E4 LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
E5 CETE,CETE,2,2,1,1.2492044992044993,0.8364693778429462,-0.2979242346529623,1,0,1
E5 LEMA,LEMA,1,2,0.8571428571428571,0.9311712488183076,0.0954117616771273,-0.7758832912650961,1,0.02040816326530612,0.9795918367346939
E6 LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
E6 PUPA,PUPA,3,2,1,1.1830357142857144,0.33905067046513443,-0.5398476694784666,1,0,1
Elateridae LEMA,LEMA,2,2,0.5,1.2492044992044993,0.8364693778429462,-0.8956747479943832,1,0.25,0.75
Eristalis_sp LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
Eucera_sp CHFU,CHFU,8,2,1,1,0,NaN,1,0,1
F1 LEMA,LEMA,7,2,0.5454545454545454,0.6818181818181818,0.2399853645675327,-0.568216468572454,1,0.14049586776859505,0.859504132231405
F2 CHFU,CHFU,6,2,1,1.018939393939394,0.26536787709298476,-0.07137033369249014,1,0,1
F2 LEMA,LEMA,10,2,0.4444444444444444,0.7222222222222222,0.3928371006591931,-0.7071067811865476,1,0.13580246913580246,0.8641975308641976
F3 CETE,CETE,3,2,1,1.1830357142857144,0.33905067046513443,-0.5398476694784666,1,0,1
F3 LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
F4 LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
F5 LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
F6 LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
Lasioglossum_immunitum PUPA,PUPA,11,2,1,1,0,NaN,1,0,1
Lasioglossum_malachurum CETE,CETE,4,2,2.7142857142857144,1.3830357142857144,0.79170202212495,1.6815038522029897,2.7142857142857144,0,1
Lasioglossum_malachurum LEMA,LEMA,4,2,0.75,1.3830357142857144,0.79170202212495,-0.7995883509134272,1.75,0.32653061224489793,0.6734693877551021
Lasioglossum_malachurum PUPA,PUPA,4,2,2.6,1.3830357142857144,0.79170202212495,1.5371493967489436,3,0.017777777777777778,0.9822222222222222
Mordellidae LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
Musca_sp LEMA,LEMA,1,2,0.9333333333333333,0.9311712488183076,0.0954117616771273,0.02266056591997778,1,0.0044444444444444444,0.9955555555555555
Oedemeridae LEMA,LEMA,7,2,0.75,0.6818181818181818,0.2399853645675327,0.2841082342862272,1,0.0625,0.9375
Osmia_ligurica LEMA,LEMA,10,2,1,0.7222222222222222,0.3928371006591931,0.7071067811865476,1,0,1
Psilothrix_viridicoerulea LEMA,LEMA,1,2,0.9487179487179487,0.9311712488183076,0.0954117616771273,0.1839049986208093,1,0.0013149243918474686,0.9986850756081526
Sarcophaga_sp LEMA,LEMA,7,2,0.75,0.6818181818181818,0.2399853645675327,0.2841082342862272,1,0.0625,0.9375
Sphaerophoria_scripta LEMA,LEMA,1,2,1,0.9311712488183076,0.0954117616771273,0.7213864409569167,1,0,1
Ulidiidae CHFU,CHFU,6,2,1.7272727272727273,1.018939393939394,0.26536787709298476,2.6692504800991177,1.7272727272727273,0,1
Ulidiidae LEMA,LEMA,6,2,0.5,1.018939393939394,0.26536787709298476,-1.9555471431742206,1.5,0.2222222222222222,0.7777777777777778
A1 CHFU,CHFU,4,3,1,1,0,NaN,1,0,1
A1 LEMA,LEMA,1,3,0.8,0.858049853372434,0.34949048995101056,-0.16609852067954992,1,0.04000000000000001,0.96
A2 LEMA,LEMA,2,3,0.5,0.8313532488000573,0.34672666945248914,-0.9556612686393356,1,0.25,0.75
A3 CETE,CETE,3,3,1,1.2323220258002867,0.7163759862449981,-0.3243018055616864,1,0,1
A3 LEMA,LEMA,2,3,1,0.8313532488000573,0.34672666945248914,0.48639682510217686,1,0,1
A3 PUPA,PUPA,3,3,1,1.2323220258002867,0.7163759862449981,-0.3243018055616864,1,0,1
A4 CHFU,CHFU,4,3,1,1,0,NaN,1,0,1
A4 CHMI,CHMI,10,3,1,1,0,NaN,1,0,1
A4 LEMA,LEMA,5,3,0.3333333333333333,1.5773809523809523,1.0541933865022701,-1.1800943118940161,1,0.4444444444444444,0.5555555555555556
A4 PUPA,PUPA,5,3,1,1.5773809523809523,1.0541933865022701,-0.5476992739412418,1,0,1
A5 LEMA,LEMA,9,3,0.42857142857142855,1.1639610389610389,0.5767504783673425,-1.275056784471755,1,0.32653061224489793,0.6734693877551021
A6 LEMA,LEMA,1,3,0.6,0.858049853372434,0.34949048995101056,-0.7383601579791367,1,0.16000000000000003,0.84
Anastoechus_sp LEMA,LEMA,6,3,1.2013888888888888,0.8079117063492063,0.4842297625826365,0.81258363889298,1.3125,0.0071666526692981715,0.9928333473307018
Anastoechus_sp PUPA,PUPA,6,3,1.75,0.8079117063492063,0.4842297625826365,1.945539837589023,2,0.015625,0.984375
Andrena_sp CETE,CETE,5,3,2.7142857142857144,1.5773809523809523,1.0541933865022701,1.0784593950801775,2.7142857142857144,0,1
Andrena_sp LEMA,LEMA,5,3,1.4166666666666665,1.5773809523809523,1.0541933865022701,-0.15245237522075816,1.75,0.03628117913832199,0.963718820861678
Andrena_sp PUPA,PUPA,5,3,3,1.5773809523809523,1.0541933865022701,1.3494858399170806,3,0,1
B1 LEMA,LEMA,2,3,1,0.8313532488000573,0.34672666945248914,0.48639682510217686,1,0,1
B1 PUPA,PUPA,7,3,1,0.9732142857142857,0.554171142122995,0.048334733171236426,1,0,1
B2 LEMA,LEMA,2,3,0.5,0.8313532488000573,0.34672666945248914,-0.9556612686393356,1,0.25,0.75
B3 CHFU,CHFU,4,3,1,1,0,NaN,1,0,1
B3 LEMA,LEMA,2,3,0.5,0.8313532488000573,0.34672666945248914,-0.9556612686393356,1,0.25,0.75
B4 LEMA,LEMA,1,3,1,0.858049853372434,0.34949048995101056,0.4061631166200365,1,0,1
B4 PUPA,PUPA,3,3,1,1.2323220258002867,0.7163759862449981,-0.3243018055616864,1,0,1
B5 CETE,CETE,5,3,1,1.5773809523809523,1.0541933865022701,-0.5476992739412418,1,0,1
B5 LEMA,LEMA,11,3,0.16666666666666666,0.32539682539682535,0.29578801831086066,-0.5366348496352548,1,0.25,0.75
B5 PUPA,PUPA,3,3,1,1.2323220258002867,0.7163759862449981,-0.3243018055616864,1,0,1
B6 CHFU,CHFU,1,3,1,0.858049853372434,0.34949048995101056,0.4061631166200365,1,0,1
B6 LEMA,LEMA,2,3,0.6,0.8313532488000573,0.34672666945248914,-0.6672496498910332,1,0.16000000000000003,0.84
Bombilus_major LEMA,LEMA,7,3,1.3125,0.9732142857142857,0.554171142122995,0.6122399535023277,1.3125,0,1
Bombilus_major PUPA,PUPA,7,3,2,0.9732142857142857,0.554171142122995,1.8528314382307287,2,0,1
Brassicogethes_sp CHFU,CHFU,1,3,1.7272727272727273,0.858049853372434,0.34949048995101056,2.4871145249821693,1.7272727272727273,0,1
Brassicogethes_sp LEMA,LEMA,1,3,0.9032258064516129,0.858049853372434,0.34949048995101056,0.129262324378301,1.5,0.02254595907041276,0.9774540409295872
C1 CHFU,CHFU,4,3,1,1,0,NaN,1,0,1
C1 CHMI,CHMI,8,3,1,1,0,NaN,1,0,1
C1 LEMA,LEMA,2,3,1,0.8313532488000573,0.34672666945248914,0.48639682510217686,1,0,1
C2 CHMI,CHMI,10,3,1,1,0,NaN,1,0,1
C2 LEMA,LEMA,6,3,0.5,0.8079117063492063,0.4842297625826365,-0.635879349313353,1,0.25,0.75
C3 CHFU,CHFU,4,3,1,1,0,NaN,1,0,1
C3 LEMA,LEMA,2,3,0.4444444444444444,0.8313532488000573,0.34672666945248914,-1.115889945721726,1,0.13580246913580246,0.8641975308641976
C3 PUPA,PUPA,3,3,1,1.2323220258002867,0.7163759862449981,-0.3243018055616864,1,0,1
C4 LEMA,LEMA,12,3,0.2857142857142857,0.5952380952380952,0.36654295996049174,-0.8444407432001202,1,0.26530612244897955,0.7346938775510204
C5 LEMA,LEMA,2,3,1,0.8313532488000573,0.34672666945248914,0.48639682510217686,1,0,1
C6 CHFU,CHFU,2,3,1,0.8313532488000573,0.34672666945248914,0.48639682510217686,1,0,1
Calliphoridae CHMI,CHMI,8,3,1,1,0,NaN,1,0,1
Cassida_sp LEMA,LEMA,6,3,1,0.8079117063492063,0.4842297625826365,0.39668832544759736,1,0,1
Cerambycidae LEMA,LEMA,12,3,1,0.5952380952380952,0.36654295996049174,1.1042686641847725,1,0,1
Curculionidae CHFU,CHFU,4,3,1,1,0,NaN,1,0,1
D1 CHFU,CHFU,9,3,1,1.1639610389610389,0.5767504783673425,-0.2842841837343206,1,0,1
D2 CHFU,CHFU,4,3,1,1,0,NaN,1,0,1
D2 LEMA,LEMA,1,3,0.5,0.858049853372434,0.34949048995101056,-1.0244909766289299,1,0.125,0.875
D3 LEMA,LEMA,1,3,0.75,0.858049853372434,0.34949048995101056,-0.30916393000444664,1,0.0625,0.9375
D4 CHFU,CHFU,4,3,1,1,0,NaN,1,0,1
D4 PUPA,PUPA,3,3,1,1.2323220258002867,0.7163759862449981,-0.3243018055616864,1,0,1
D5 LEMA,LEMA,7,3,0.5,0.9732142857142857,0.554171142122995,-0.8539136193585096,1,0.25,0.75
D5 PUPA,PUPA,3,3,1,1.2323220258002867,0.7163759862449981,-0.3243018055616864,1,0,1
D6 LEMA,LEMA,3,3,0.5,1.2323220258002867,0.7163759862449981,-1.02225931614329,1,0.125,0.875
Dilophus_sp CHFU,CHFU,4,3,1,1,0,NaN,1,0,1
E1 LEMA,LEMA,13,3,0.125,0.5625,0.6187184335382291,-0.7071067811865476,1,0.265625,0.734375
E1 PUPA,PUPA,7,3,0.5,0.9732142857142857,0.554171142122995,-0.8539136193585096,1,0.25,0.75
E2 LEMA,LEMA,11,3,0.14285714285714285,0.32539682539682535,0.29578801831086066,-0.617130077080543,1,0.2040816326530612,0.7959183673469388
E2 PUPA,PUPA,7,3,0.5,0.9732142857142857,0.554171142122995,-0.8539136193585096,1,0.25,0.75
E3 LEMA,LEMA,6,3,0.3333333333333333,0.8079117063492063,0.4842297625826365,-0.9800685742336698,1,0.2222222222222222,0.7777777777777778
E4 CHFU,CHFU,4,3,1,1,0,NaN,1,0,1
E4 LEMA,LEMA,2,3,1,0.8313532488000573,0.34672666945248914,0.48639682510217686,1,0,1
E5 LEMA,LEMA,2,3,0.5,0.8313532488000573,0.34672666945248914,-0.9556612686393356,1,0.25,0.75
E6 LEMA,LEMA,14,3,0.5,0.5833333333333334,0.3818813079129867,-0.21821789023599247,1,0.25,0.75
Elateridae LEMA,LEMA,12,3,0.5,0.5952380952380952,0.36654295996049174,-0.25982792098465235,1,0.25,0.75
F1 LEMA,LEMA,1,3,0.6,0.858049853372434,0.34949048995101056,-0.7383601579791367,1,0.08000000000000002,0.9199999999999999
F1 PUPA,PUPA,3,3,1,1.2323220258002867,0.7163759862449981,-0.3243018055616864,1,0,1
F2 CHFU,CHFU,4,3,1,1,0,NaN,1,0,1
F2 LEMA,LEMA,2,3,0.6666666666666666,0.8313532488000573,0.34672666945248914,-0.47497523739216485,1,0.05555555555555555,0.9444444444444444
F3 LEMA,LEMA,1,3,0.7,0.858049853372434,0.34949048995101056,-0.45222933932934345,1,0.05000000000000001,0.95
F4 CHFU,CHFU,4,3,1,1,0,NaN,1,0,1
