node_from,layer_from,module_to,Plot,k.is,ks.bar,SD.ks,z,k.i,sum_aux_c,c
A1 LEMA,LEMA,10,1,0.25,0.625,0.5303300858899106,-0.7071067811865476,1,0.5625,0.4375
A2 CETE,CETE,6,1,1,1,0,NaN,1,0,1
A2 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
A3 CETE,CETE,2,1,1,1.4816468253968254,0.8960799419743013,-0.5375043038410501,1,0,1
A3 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
A4 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
A5 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
A6 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
Anastoechus_sp LEMA,LEMA,8,1,0.8333333333333333,0.5111111111111111,0.31681283176407227,1.0170744045562468,1,0.027777777777777776,0.9722222222222222
Andrena_sp LEMA,LEMA,4,1,0.8,0.7005291005291006,0.15344645120394035,0.6482450306960581,1,0.04000000000000001,0.96
B1 CHFU,CHFU,3,1,1,1.0227272727272727,0.2932121587933883,-0.0775113583993202,1,0,1
B1 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
B2 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
B3 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
B4 CHFU,CHFU,3,1,1,1.0227272727272727,0.2932121587933883,-0.0775113583993202,1,0,1
B4 LEMA,LEMA,1,1,0.9230769230769231,0.9672805973235158,0.07595201289319961,-0.5819947696284222,1,0.00591715976331361,0.9940828402366864
B5 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
B6 LEMA,LEMA,1,1,0.9,0.9672805973235158,0.07595201289319961,-0.8858303389289075,1,0.010000000000000002,0.99
Bombilus_major CETE,CETE,6,1,1,1,0,NaN,1,0,1
Braconidae LEMA,LEMA,5,1,0.6666666666666666,0.6469298245614035,0.2566820155859567,0.0768921891945085,1,0.1111111111111111,0.8888888888888888
Brassicogethes_sp LEMA,LEMA,1,1,0.8626609442060086,0.9672805973235158,0.07595201289319961,-1.3774441141490057,1,0.004236585680340401,0.9957634143196596
C1 CHFU,CHFU,3,1,1,1.0227272727272727,0.2932121587933883,-0.0775113583993202,1,0,1
C1 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
C2 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
C2 PUPA,PUPA,2,1,1,1.4816468253968254,0.8960799419743013,-0.5375043038410501,1,0,1
C3 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
C4 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
C5 LEMA,LEMA,5,1,0.5,0.6469298245614035,0.2566820155859567,-0.5724196306702296,1,0.25,0.75
C6 LEMA,LEMA,9,1,0.25,0.625,0.5303300858899106,-0.7071067811865476,1,0.5625,0.4375
Cylindromyia_sp LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
D1 CHFU,CHFU,3,1,1,1.0227272727272727,0.2932121587933883,-0.0775113583993202,1,0,1
D1 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
D2 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
D3 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
D4 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
D5 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
D6 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
D6 PUPA,PUPA,2,1,1,1.4816468253968254,0.8960799419743013,-0.5375043038410501,1,0,1
E1 LEMA,LEMA,1,1,1,0.9672805973235158,0.07595201289319961,0.4307904613731936,1,0,1
E2 LEMA,LEMA,4,1,0.5238095238095237,0.7005291005291006,0.15344645120394035,-1.151669363045125,1,0.22675736961451246,0.7732426303854876
E3 CHFU,CHFU,3,1,1,1.0227272727272727,0.2932121587933883,-0.0775113583993202,1,0,1
E3 LEMA,LEMA,8,1,0.2,0.5111111111111111,0.31681283176407227,-0.982002873364652,1,0.49999999999999994,0.5
