node_id,module,layer_id,type,species,layer_name
1,2,3,plant,1 A1 LEMA,LEMA
2,4,1,plant,1 A2 CHFU,CHFU
3,2,3,plant,1 A2 LEMA,LEMA
4,8,1,plant,1 A3 CHFU,CHFU
5,29,3,plant,1 A3 LEMA,LEMA
6,2,3,plant,1 A4 LEMA,LEMA
7,1,3,plant,1 A5 LEMA,LEMA
8,29,3,plant,1 A6 LEMA,LEMA
9,7,1,plant,1 B1 CHFU,CHFU
10,22,3,plant,1 B1 LEMA,LEMA
11,8,1,plant,1 B2 CHFU,CHFU
12,2,3,plant,1 B2 LEMA,LEMA
13,8,4,plant,1 B2 ME,ME
14,2,3,plant,1 B5 LEMA,LEMA
15,10,3,plant,1 C1 LEMA,LEMA
16,1,3,plant,1 C2 LEMA,LEMA
17,11,3,plant,1 C3 LEMA,LEMA
18,1,1,plant,1 C4 CHFU,CHFU
19,18,3,plant,1 C4 LEMA,LEMA
20,1,1,plant,1 C5 CHFU,CHFU
21,4,3,plant,1 C5 LEMA,LEMA
22,18,3,plant,1 D1 LEMA,LEMA
23,2,3,plant,1 D2 LEMA,LEMA
24,10,4,plant,1 D2 ME,ME
25,33,3,plant,1 D3 LEMA,LEMA
26,15,3,plant,1 D4 LEMA,LEMA
27,29,3,plant,1 D5 LEMA,LEMA
28,2,3,plant,1 E1 LEMA,LEMA
29,4,1,plant,1 E2 CHFU,CHFU
30,5,3,plant,1 E2 LEMA,LEMA
31,2,3,plant,1 E3 LEMA,LEMA
32,5,4,plant,1 E3 ME,ME
33,2,3,plant,1 E4 LEMA,LEMA
34,4,1,plant,1 E5 CHFU,CHFU
35,2,3,plant,1 E5 LEMA,LEMA
36,2,3,plant,1 E6 LEMA,LEMA
37,13,3,plant,1 F1 LEMA,LEMA
38,1,3,plant,1 F2 LEMA,LEMA
39,13,3,plant,1 F3 LEMA,LEMA
40,4,1,plant,1 F4 CHFU,CHFU
41,15,3,plant,1 F4 LEMA,LEMA
42,2,3,plant,1 F5 LEMA,LEMA
43,7,3,plant,1 F6 LEMA,LEMA
44,4,3,plant,2 A1 LEMA,LEMA
45,1,1,plant,2 A3 CHFU,CHFU
46,2,3,plant,2 A3 LEMA,LEMA
47,1,1,plant,2 A4 CHFU,CHFU
48,17,3,plant,2 A4 LEMA,LEMA
49,16,3,plant,2 A5 LEMA,LEMA
50,7,4,plant,2 A5 ME,ME
51,1,1,plant,2 B1 CHFU,CHFU
52,12,3,plant,2 B1 LEMA,LEMA
53,4,4,plant,2 B1 ME,ME
54,9,3,plant,2 B2 LEMA,LEMA
55,2,3,plant,2 B3 LEMA,LEMA
56,18,3,plant,2 B4 LEMA,LEMA
57,19,4,plant,2 B5 ME,ME
58,2,3,plant,2 B6 LEMA,LEMA
59,12,3,plant,2 C1 LEMA,LEMA
60,12,4,plant,2 C1 ME,ME
61,17,3,plant,2 C3 LEMA,LEMA
62,7,3,plant,2 C5 LEMA,LEMA
63,9,3,plant,2 C6 LEMA,LEMA
64,4,1,plant,2 D1 CHFU,CHFU
65,27,3,plant,2 D1 LEMA,LEMA
66,6,4,plant,2 D2 ME,ME
67,19,4,plant,2 D3 ME,ME
68,17,3,plant,2 D4 LEMA,LEMA
69,7,3,plant,2 D5 LEMA,LEMA
70,17,3,plant,2 D6 LEMA,LEMA
71,1,1,plant,2 E1 CHFU,CHFU
72,1,3,plant,2 E1 LEMA,LEMA
73,7,3,plant,2 E2 LEMA,LEMA
74,17,4,plant,2 E2 ME,ME
75,9,3,plant,2 E3 LEMA,LEMA
76,2,3,plant,2 E4 LEMA,LEMA
77,12,4,plant,2 E4 ME,ME
78,17,3,plant,2 E5 LEMA,LEMA
79,2,3,plant,2 E6 LEMA,LEMA
80,12,3,plant,2 F1 LEMA,LEMA
81,26,3,plant,2 F2 LEMA,LEMA
82,27,3,plant,2 F3 LEMA,LEMA
83,2,3,plant,2 F4 LEMA,LEMA
84,9,3,plant,2 F6 LEMA,LEMA
85,1,3,plant,3 A1 LEMA,LEMA
86,2,3,plant,3 A5 LEMA,LEMA
87,13,1,plant,3 A6 CHFU,CHFU
88,7,3,plant,3 B1 LEMA,LEMA
89,2,3,plant,3 B2 LEMA,LEMA
90,13,3,plant,3 B3 LEMA,LEMA
91,2,3,plant,3 B5 LEMA,LEMA
92,2,3,plant,3 B6 LEMA,LEMA
93,2,3,plant,3 C1 LEMA,LEMA
94,7,1,plant,3 C3 CHFU,CHFU
95,6,3,plant,3 C3 LEMA,LEMA
96,2,4,plant,3 C3 ME,ME
97,13,3,plant,3 C4 LEMA,LEMA
98,2,3,plant,3 C5 LEMA,LEMA
99,2,3,plant,3 C6 LEMA,LEMA
100,2,3,plant,3 D1 LEMA,LEMA
101,20,1,plant,3 D2 CHFU,CHFU
102,6,3,plant,3 D2 LEMA,LEMA
103,13,1,plant,3 D3 CHFU,CHFU
104,2,3,plant,3 D3 LEMA,LEMA
105,2,4,plant,3 D4 ME,ME
106,2,3,plant,3 D5 LEMA,LEMA
107,13,3,plant,3 D6 LEMA,LEMA
108,2,3,plant,3 E1 LEMA,LEMA
109,1,1,plant,3 E2 CHFU,CHFU
110,2,3,plant,3 E2 LEMA,LEMA
111,9,3,plant,3 E3 LEMA,LEMA
112,4,4,plant,3 E3 ME,ME
113,4,3,plant,3 E4 LEMA,LEMA
114,4,4,plant,3 E4 ME,ME
115,2,3,plant,3 E5 LEMA,LEMA
116,2,3,plant,3 F1 LEMA,LEMA
117,13,1,plant,3 F2 CHFU,CHFU
118,2,3,plant,3 F2 LEMA,LEMA
119,9,3,plant,3 F3 LEMA,LEMA
120,2,3,plant,3 F4 LEMA,LEMA
121,4,4,plant,3 F4 ME,ME
122,2,3,plant,3 F5 LEMA,LEMA
123,2,3,plant,3 F6 LEMA,LEMA
124,11,3,plant,4 A1 LEMA,LEMA
125,8,1,plant,4 A2 CHFU,CHFU
126,9,3,plant,4 A2 LEMA,LEMA
127,7,1,plant,4 A5 CHFU,CHFU
128,7,1,plant,4 A6 CHFU,CHFU
129,2,1,plant,4 B1 CHFU,CHFU
130,8,1,plant,4 B2 CHFU,CHFU
131,2,3,plant,4 B2 LEMA,LEMA
132,6,3,plant,4 B4 LEMA,LEMA
133,6,4,plant,4 B4 ME,ME
134,2,1,plant,4 B5 CHFU,CHFU
135,8,1,plant,4 B6 CHFU,CHFU
136,2,3,plant,4 B6 LEMA,LEMA
137,1,3,plant,4 C1 LEMA,LEMA
138,4,1,plant,4 C2 CHFU,CHFU
139,31,3,plant,4 C2 LEMA,LEMA
140,2,3,plant,4 C3 LEMA,LEMA
141,5,3,plant,4 C4 LEMA,LEMA
142,4,1,plant,4 C5 CHFU,CHFU
143,5,3,plant,4 C5 LEMA,LEMA
144,1,3,plant,4 C6 LEMA,LEMA
145,2,3,plant,4 D2 LEMA,LEMA
146,17,3,plant,4 D5 LEMA,LEMA
147,8,1,plant,4 D6 CHFU,CHFU
148,1,3,plant,4 E1 LEMA,LEMA
149,5,3,plant,4 E2 LEMA,LEMA
150,9,3,plant,4 E4 LEMA,LEMA
151,8,1,plant,4 E5 CHFU,CHFU
152,17,3,plant,4 E5 LEMA,LEMA
153,6,3,plant,4 F1 LEMA,LEMA
154,4,3,plant,4 F2 LEMA,LEMA
155,2,3,plant,4 F3 LEMA,LEMA
156,2,1,plant,4 F4 CHFU,CHFU
157,2,3,plant,4 F4 LEMA,LEMA
158,8,1,plant,4 F5 CHFU,CHFU
159,15,3,plant,4 F6 LEMA,LEMA
160,1,1,plant,5 A1 CHFU,CHFU
161,17,3,plant,5 A1 LEMA,LEMA
162,5,3,plant,5 A2 LEMA,LEMA
163,5,1,plant,5 A3 CHFU,CHFU
164,4,3,plant,5 A3 LEMA,LEMA
165,1,1,plant,5 A4 CHFU,CHFU
166,9,3,plant,5 A4 LEMA,LEMA
167,1,1,plant,5 A5 CHFU,CHFU
168,2,3,plant,5 A6 LEMA,LEMA
169,1,1,plant,5 B1 CHFU,CHFU
170,7,1,plant,5 B2 CHFU,CHFU
171,7,3,plant,5 B2 LEMA,LEMA
172,7,1,plant,5 B3 CHFU,CHFU
173,2,3,plant,5 B4 LEMA,LEMA
174,2,3,plant,5 B5 LEMA,LEMA
175,5,3,plant,5 C1 LEMA,LEMA
176,16,1,plant,5 C3 CHFU,CHFU
177,2,3,plant,5 C3 LEMA,LEMA
178,1,1,plant,5 C4 CHFU,CHFU
179,1,3,plant,5 C4 LEMA,LEMA
180,1,3,plant,5 C5 LEMA,LEMA
181,4,1,plant,5 D1 CHFU,CHFU
182,1,3,plant,5 D1 LEMA,LEMA
183,1,1,plant,5 D2 CHFU,CHFU
184,7,3,plant,5 D2 LEMA,LEMA
185,2,3,plant,5 D4 LEMA,LEMA
186,1,1,plant,5 D5 CHFU,CHFU
187,7,3,plant,5 D5 LEMA,LEMA
188,9,1,plant,5 E1 CHFU,CHFU
189,2,3,plant,5 E1 LEMA,LEMA
190,9,3,plant,5 E5 LEMA,LEMA
191,2,3,plant,5 F1 LEMA,LEMA
192,9,3,plant,5 F4 LEMA,LEMA
193,1,1,plant,5 F5 CHFU,CHFU
194,13,1,plant,5 F6 CHFU,CHFU
195,2,3,plant,6 A1 LEMA,LEMA
196,20,1,plant,6 A2 CHFU,CHFU
197,9,1,plant,6 A3 CHFU,CHFU
198,4,3,plant,6 A3 LEMA,LEMA
199,5,3,plant,6 A4 LEMA,LEMA
200,12,1,plant,6 A5 CHFU,CHFU
201,1,1,plant,6 A6 CHFU,CHFU
202,1,3,plant,6 A6 LEMA,LEMA
203,4,3,plant,6 B1 LEMA,LEMA
204,9,3,plant,6 B2 LEMA,LEMA
205,25,1,plant,6 B3 CHFU,CHFU
206,21,3,plant,6 B3 LEMA,LEMA
207,31,3,plant,6 B4 LEMA,LEMA
208,1,3,plant,6 B5 LEMA,LEMA
209,2,3,plant,6 B6 LEMA,LEMA
210,24,3,plant,6 C1 LEMA,LEMA
