node_id,module,layer_id,type,species,layer_name,Plot
1,2,1,plant,A6 LEMA,LEMA,5
2,4,2,plant,A6 PUPA,PUPA,5
3,2,1,plant,B4 LEMA,LEMA,5
4,6,1,plant,B5 LEMA,LEMA,5
5,2,1,plant,B6 LEMA,LEMA,5
6,1,1,plant,C2 LEMA,LEMA,5
7,1,1,plant,C4 LEMA,LEMA,5
8,3,1,plant,C5 LEMA,LEMA,5
9,2,1,plant,C6 LEMA,LEMA,5
10,2,1,plant,D1 LEMA,LEMA,5
11,5,1,plant,D2 LEMA,LEMA,5
12,1,1,plant,D5 LEMA,LEMA,5
13,1,1,plant,E1 LEMA,LEMA,5
14,1,1,plant,F1 LEMA,LEMA,5
15,1,1,plant,F2 LEMA,LEMA,5
16,1,1,plant,F3 LEMA,LEMA,5
17,1,1,plant,F4 LEMA,LEMA,5
18,1,1,plant,F5 LEMA,LEMA,5
19,1,1,plant,F6 LEMA,LEMA,5
20,5,1,pollinator,bee_1_1_6,LEMA,5
21,1,1,pollinator,Brassicogethes_sp.,LEMA,5
22,3,1,pollinator,Cylindromyia_sp.,LEMA,5
23,1,1,pollinator,Elateridae,LEMA,5
24,6,1,pollinator,Musca_sp.,LEMA,5
25,2,1,pollinator,Psilothrix_viridicoerulea,LEMA,5
26,4,2,pollinator,Small.bee.1_8_6,PUPA,5
27,1,1,pollinator,Ulidiidae,LEMA,5
