node_id,module,layer_id,type,species,layer_name,Plot
1,1,1,plant,A1 CHFU,CHFU,5
2,9,2,plant,A1 LEMA,LEMA,5
3,3,2,plant,A2 LEMA,LEMA,5
4,3,1,plant,A3 CHFU,CHFU,5
5,6,2,plant,A3 LEMA,LEMA,5
6,1,1,plant,A4 CHFU,CHFU,5
7,5,2,plant,A4 LEMA,LEMA,5
8,1,1,plant,A5 CHFU,CHFU,5
9,2,2,plant,A6 LEMA,LEMA,5
10,1,1,plant,B1 CHFU,CHFU,5
11,4,1,plant,B2 CHFU,CHFU,5
12,2,2,plant,B2 LEMA,LEMA,5
13,4,1,plant,B3 CHFU,CHFU,5
14,2,2,plant,B4 LEMA,LEMA,5
15,2,2,plant,B5 LEMA,LEMA,5
16,3,2,plant,C1 LEMA,LEMA,5
17,8,1,plant,C3 CHFU,CHFU,5
18,2,2,plant,C3 LEMA,LEMA,5
19,1,1,plant,C4 CHFU,CHFU,5
20,2,2,plant,C4 LEMA,LEMA,5
21,1,2,plant,C5 LEMA,LEMA,5
22,6,1,plant,D1 CHFU,CHFU,5
23,1,2,plant,D1 LEMA,LEMA,5
24,1,1,plant,D2 CHFU,CHFU,5
25,4,2,plant,D2 LEMA,LEMA,5
26,2,2,plant,D4 LEMA,LEMA,5
27,1,1,plant,D5 CHFU,CHFU,5
28,4,2,plant,D5 LEMA,LEMA,5
29,5,1,plant,E1 CHFU,CHFU,5
30,2,2,plant,E1 LEMA,LEMA,5
31,5,2,plant,E5 LEMA,LEMA,5
32,2,2,plant,F1 LEMA,LEMA,5
33,5,2,plant,F4 LEMA,LEMA,5
34,1,1,plant,F5 CHFU,CHFU,5
35,7,1,plant,F6 CHFU,CHFU,5
36,3,2,pollinator,Coleoptera,LEMA,5
37,1,1,pollinator,Dilophus_sp.,CHFU,5
37,1,2,pollinator,Dilophus_sp.,LEMA,5
38,6,1,pollinator,Diptera,CHFU,5
38,6,2,pollinator,Diptera,LEMA,5
39,8,1,pollinator,Episyrphus_balteatus,CHFU,5
40,4,1,pollinator,Eupeodes_corollae,CHFU,5
40,4,2,pollinator,Eupeodes_corollae,LEMA,5
41,1,2,pollinator,Malachius_bipustulatus,LEMA,5
42,5,1,pollinator,Meligethes_sp.,CHFU,5
42,5,2,pollinator,Meligethes_sp.,LEMA,5
43,1,2,pollinator,Mordellidae,LEMA,5
44,9,2,pollinator,Nemotelus_sp.,LEMA,5
45,2,2,pollinator,Psilothrix_viridicoerulea,LEMA,5
46,7,1,pollinator,Scaeva_sp.,CHFU,5
47,3,1,pollinator,Sphaerophoria_scripta,CHFU,5
47,3,2,pollinator,Sphaerophoria_scripta,LEMA,5
