YEAR;PLANT;ID;VIABLES_SEEDS;NO_VIABLES_SEEDS;TOTAL_SEEDS;Input;Media;Redondeo;Obs.
2019;LEMA;1;38;56;94;Maria;63,6;64;
2019;LEMA;2;57;13;70;Maria;;;
2019;LEMA;3;45;13;58;Maria;;;
2019;LEMA;4;35;48;83;Maria;;;
2019;LEMA;5;50;2;52;Maria;;;
2019;LEMA;6;30;25;55;Maria;;;
2019;LEMA;7;38;5;43;Maria;;;
2019;LEMA;8;80;14;94;Maria;;;
2019;LEMA;9;51;17;68;Maria;;;
2019;LEMA;10;19;0;19;Maria;;;
2019;CHFU;1;82;7;89;Maria;75,8;76;
2019;CHFU;2;59;9;68;Maria;;;
2019;CHFU;3;68;4;72;Maria;;;
2019;CHFU;4;88;17;105;Maria;;;
2019;CHFU;5;50;8;58;Maria;;;
2019;CHFU;6;106;5;111;Maria;;;
2019;CHFU;7;5;0;5;Maria;;;
2019;CHFU;8;75;5;80;Maria;;;
2019;CHFU;9;59;15;74;Maria;;;
2019;CHFU;10;89;7;96;Maria;;;
2019;PUPA;1;0;37;37;Maria;34,7;35;In PUPA most of the seeds were empy and white. I checked them with the magnifying glass. 
2019;PUPA;2;3;47;50;Maria;;;
2019;PUPA;3;3;35;38;Maria;;;
2019;PUPA;4;2;56;58;Maria;;;
2019;PUPA;5;0;6;6;Maria;;;
2019;PUPA;6;11;10;21;Maria;;;
2019;PUPA;7;1;33;34;Maria;;;
2019;PUPA;8;0;32;32;Maria;;;
2019;PUPA;9;1;38;39;Maria;;;
2019;PUPA;10;4;28;32;Maria;;;
2019;PLCO;1;NA;NA;57;Maria;128,5555556;129;
2019;PLCO;2;NA;NA;132;Maria;;;
2019;PLCO;3;NA;NA;102;Maria;;;
2019;PLCO;4;NA;NA;144;Maria;;;
2019;PLCO;5;NA;NA;200;Maria;;;
2019;PLCO;6;NA;NA;152;Maria;;;
2019;PLCO;7;NA;NA;105;Maria;;;
2019;PLCO;8;NA;NA;97;Maria;;;
2019;PLCO;9;NA;NA;168;Maria;;;
2019;MESU;1;NA;NA;1;Maria;1;1;
2019;MESU;2;NA;NA;1;Maria;;;
2019;MESU;3;NA;NA;1;Maria;;;
2019;MESU;4;NA;NA;1;Maria;;;
2019;MESU;5;NA;NA;1;Maria;;;
2019;MESU;6;NA;NA;1;Maria;;;
2019;MESU;7;NA;NA;1;Maria;;;
2019;MESU;8;NA;NA;1;Maria;;;
2019;MESU;9;NA;NA;1;Maria;;;
2019;SCLA;1;34;0;34;Maria;35;35;
2019;SCLA;2;42;3;45;Maria;;;
2019;SCLA;3;38;0;38;Maria;;;
2019;SCLA;4;49;3;52;Maria;;;
2019;SCLA;5;28;0;28;Maria;;;
2019;SCLA;6;29;0;29;Maria;;;
2019;SCLA;7;18;0;18;Maria;;;
2019;SCLA;8;36;0;36;Maria;;;
2019;SPRU;1;NA;NA;32;Maria;28,75;29;
2019;SPRU;2;NA;NA;42;Maria;;;
2019;SPRU;3;NA;NA;18;Maria;;;
2019;SPRU;4;NA;NA;17;Maria;;;
2019;SPRU;5;NA;NA;27;Maria;;;
2019;SPRU;6;NA;NA;40;Maria;;;
2019;SPRU;7;NA;NA;31;Maria;;;
2019;SPRU;8;NA;NA;23;Maria;;;
2019;MEEL;1;NA;NA;1;Maria;1;1;
2019;MEEL;2;NA;NA;1;Maria;;;
2019;MEEL;3;NA;NA;1;Maria;;;
2019;MEEL;4;NA;NA;1;Maria;;;
2019;MEEL;5;NA;NA;1;Maria;;;
2019;POMO;1;NA;NA;142;Maria;124,3333333;124;
2019;POMO;2;NA;NA;134;Maria;;;
2019;POMO;3;NA;NA;90;Maria;;;
2019;POMO;4;NA;NA;142;Maria;;;
2019;POMO;5;NA;NA;244;Maria;;;
2019;POMO;6;NA;NA;108;Maria;;;
2019;POMO;7;NA;NA;83;Maria;;;
2019;POMO;8;NA;NA;62;Maria;;;
2019;POMO;9;NA;NA;114;Maria;;;
2019;BEMA;1;NA;NA;7;Maria;9,111111111;9;
2019;BEMA;2;NA;NA;5;Maria;;;
2019;BEMA;3;NA;NA;10;Maria;;;
2019;BEMA;4;NA;NA;4;Maria;;;
2019;BEMA;5;NA;NA;10;Maria;;;
2019;BEMA;6;NA;NA;26;Maria;;;
2019;BEMA;7;NA;NA;4;Maria;;;
2019;BEMA;8;NA;NA;8;Maria;;;
2019;BEMA;9;NA;NA;8;Maria;;;
2019;HOMA;1;NA;NA;25;Maria;23,33333333;23;
2019;HOMA;2;NA;NA;21;Maria;;;
2019;HOMA;3;NA;NA;36;Maria;;;
2019;HOMA;4;NA;NA;26;Maria;;;
2019;HOMA;5;NA;NA;14;Maria;;;
2019;HOMA;6;NA;NA;24;Maria;;;
2019;HOMA;7;NA;NA;24;Maria;;;
2019;HOMA;8;NA;NA;18;Maria;;;
2019;HOMA;9;NA;NA;22;Maria;;;
2019;POMA;1;NA;NA;1376;Maria;827,5;828;
2019;POMA;2;NA;NA;280;Maria;;;
2019;POMA;3;NA;NA;192;Maria;;;
2019;POMA;4;NA;NA;640;Maria;;;
2019;POMA;5;NA;NA;172;Maria;;;
2019;POMA;6;NA;NA;1040;Maria;;;
2019;POMA;7;NA;NA;320;Maria;;;
2019;POMA;8;NA;NA;2600;Maria;;;
2019;PAIN;1;NA;NA;40;Maria;29,88888889;30;
2019;PAIN;2;NA;NA;22;Maria;;;
2019;PAIN;3;NA;NA;33;Maria;;;
2019;PAIN;4;NA;NA;22;Maria;;;
2019;PAIN;5;NA;NA;31;Maria;;;
2019;PAIN;6;NA;NA;21;Maria;;;
2019;PAIN;7;NA;NA;38;Maria;;;
2019;PAIN;8;NA;NA;26;Maria;;;
2019;PAIN;9;NA;NA;36;Maria;;;
2019;SOAS;1;NA;NA;50;Maxime;43;43;
2019;SOAS;2;NA;NA;17;Maxime;;;
2019;SOAS;3;NA;NA;37;Maxime;;;
2019;SOAS;4;NA;NA;63;Maxime;;;
2019;SOAS;5;NA;NA;64;Maxime;;;
2019;SOAS;6;NA;NA;69;Maxime;;;
2019;SOAS;7;NA;NA;50;Maxime;;;
2019;SOAS;8;NA;NA;5;Maxime;;;
2019;SOAS;9;NA;NA;32;Maxime;;;
2019;CETE;1;NA;NA;550;Maxime;360;360;
2019;CETE;2;NA;NA;750;Maxime;;;
2019;CETE;3;NA;NA;340;Maxime;;;
2019;CETE;4;NA;NA;350;Maxime;;;
2019;CETE;5;NA;NA;400;Maxime;;;
2019;CETE;6;NA;NA;40;Maxime;;;
2019;CETE;7;NA;NA;100;Maxime;;;
2019;CETE;8;NA;NA;370;Maxime;;;
2019;CETE;9;NA;NA;340;Maxime;;;
