nodeID nodeLabel
234 Eristalis_sp.
235 Eucera_sp.
236 Eupeodes_corollae
237 Lagorina_sericea
238 Lasiocampa_trifolii
239 Lomatia_sp.
240 Malachius_bipustulatus
241 Melanostoma_sp.
242 Meligethes_sp.
243 Melyridae
244 Mordellidae
245 Musca_sp.
246 Nemotelus_sp.
247 Odontomyia_sp.
248 Oedemeridae
249 Psilothrix_viridicoerulea
250 Scaeva_sp.
251 Sphaerophoria_scripta
252 Thymelicus_sp.
253 Ulidiidae
