node_id,module,layer_id,type,species,layer_name
89,1,4,pollinator,Apidae,PUPA
90,1,4,pollinator,Bombyliidae,PUPA
93,1,4,pollinator,Cantharidae,PUPA
100,1,4,pollinator,Lasiocampa_trifolii,PUPA
104,1,4,pollinator,Muscidae,PUPA
95,2,1,pollinator,Dilophus_sp.,CHFU
95,2,2,pollinator,Dilophus_sp.,LEMA
95,2,3,pollinator,Dilophus_sp.,ME
95,2,4,pollinator,Dilophus_sp.,PUPA
102,3,2,pollinator,Melyridae,LEMA
103,3,2,pollinator,Mordellidae,LEMA
110,3,2,pollinator,Psilothrix_viridicoerulea,LEMA
110,3,4,pollinator,Psilothrix_viridicoerulea,PUPA
112,4,2,pollinator,Sphaerophoria_scripta,LEMA
112,4,3,pollinator,Sphaerophoria_scripta,ME
92,5,1,pollinator,Calliphoridae,CHFU
96,5,1,pollinator,Empididae,CHFU
97,5,1,pollinator,Eupeodes_corollae,CHFU
99,5,1,pollinator,Ichneumonidae,CHFU
91,6,1,pollinator,Bruchidae,CHFU
113,6,1,pollinator,Syrphidae,CHFU
113,6,5,pollinator,Syrphidae,RAPE
98,7,4,pollinator,Hesperiidae,PUPA
107,7,4,pollinator,Nitidulidae,PUPA
108,8,1,pollinator,Odontomyia_sp.,CHFU
108,8,2,pollinator,Odontomyia_sp.,LEMA
109,8,2,pollinator,Oedemeridae,LEMA
101,9,2,pollinator,Meligethes_sp.,LEMA
111,10,1,pollinator,Scaeva_sp.,CHFU
93,11,3,pollinator,Cantharidae,ME
113,12,4,pollinator,Syrphidae,PUPA
114,13,1,pollinator,Tipulidae,CHFU
94,14,1,pollinator,Chrysididae,CHFU
106,15,2,pollinator,Nemotelus_sp.,LEMA
105,16,4,pollinator,Na,PUPA
104,17,1,pollinator,Muscidae,CHFU
