"","Anastoechus_sp","Andrena_sp","Bombilus_major","Lasioglossum_malachurum"
"A3 CETE",0,0,1,0
"A5 CETE",0,0,2,0
"B1 CETE",1,0,0,0
"B2 CETE",0,0,1,0
"C6 CETE",0,1,0,0
"D2 CETE",0,0,0,2
"E2 CETE",0,0,0,2
"E4 CETE",0,0,0,2
"E5 CETE",2,0,0,0
"F3 CETE",0,0,1,0
