"","Andrena_cinerea","Bruchidae","Calliphoridae","Cantharidae","Dilophus_sp.","Diptera","Empididae","Episyrphus_balteatus","Eucera_sp.","Eupeodes_corollae","Lomatia_sp.","Meligethes_sp.","Melyridae","Musca_sp.","Odontomyia_sp.","Psilothrix_viridicoerulea","Scaeva_sp.","Sphaerophoria_scripta","Ulidiidae"
"8 F3 CHFU",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8 F4 CHFU",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8 F6 CHFU",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9 A2 CHFU",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"9 A3 CHFU",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9 A4 CHFU",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9 A6 CHFU",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9 B1 CHFU",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"9 B2 CHFU",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9 B3 CHFU",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9 C1 CHFU",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"9 C3 CHFU",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"9 C5 CHFU",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"9 C6 CHFU",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"9 D2 CHFU",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"9 D3 CHFU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"9 D4 CHFU",0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"9 E1 CHFU",0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"9 E3 CHFU",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"9 E4 CHFU",0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"9 E5 CHFU",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9 F1 CHFU",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9 F4 CHFU",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9 F5 CHFU",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9 F6 CHFU",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
