"","Andrena_argentata","Andrena_humilis","Andrena_sp","Brassicogethes_sp","Cylindromyia_sp","Eristalis_sp","Eucera_sp","Mordellidae","Musca_sp","Psilothrix_viridicoerulea","Syrphidae","Ulidiidae"
"A1 CHFU",0,0,0,0,0,0,1,0,0,5,0,0
"A2 CHFU",0,0,0,0,0,0,0,0,0,3,0,0
"A5 CHFU",0,0,0,0,0,0,0,0,0,1,0,0
"A6 CHFU",0,0,0,0,0,0,0,0,0,6,0,0
"B1 CHFU",0,0,0,0,0,0,0,1,0,8,0,0
"B2 CHFU",0,0,0,0,0,0,0,0,0,2,0,1
"B3 CHFU",0,0,0,0,0,0,0,0,0,1,0,0
"B4 CHFU",0,0,0,0,0,0,0,0,0,1,0,0
"B6 CHFU",0,0,0,0,0,0,0,0,0,1,0,0
"C1 CHFU",0,1,0,0,0,0,0,0,0,7,0,0
"C2 CHFU",0,0,0,0,0,0,0,0,0,4,0,0
"C3 CHFU",0,0,0,0,0,0,0,0,0,3,0,0
"C4 CHFU",0,0,0,0,0,0,0,0,0,1,0,0
"C5 CHFU",0,0,0,0,0,0,0,0,0,2,0,0
"D1 CHFU",0,0,1,0,0,0,0,0,0,1,0,0
"D2 CHFU",0,0,1,1,0,0,0,0,0,1,1,0
"D3 CHFU",0,0,3,0,0,0,0,0,0,0,0,2
"D4 CHFU",0,2,0,0,0,0,0,0,0,3,0,0
"D5 CHFU",0,0,0,0,0,0,0,0,0,0,0,1
"D6 CHFU",0,0,0,0,0,0,0,0,0,3,0,0
"E1 CHFU",1,0,0,0,0,0,0,0,0,4,0,0
"E2 CHFU",0,0,3,0,0,0,0,0,0,1,0,0
"E3 CHFU",0,0,3,0,0,0,0,0,0,3,0,0
"E4 CHFU",0,0,0,0,0,0,0,0,0,3,0,1
"E5 CHFU",0,0,10,0,0,0,0,0,0,1,0,0
"E6 CHFU",1,0,0,0,0,0,0,0,0,4,0,0
"F1 CHFU",0,0,0,0,0,0,0,0,1,0,0,1
"F2 CHFU",0,0,1,0,0,0,0,0,0,0,0,0
"F3 CHFU",0,0,1,0,0,0,0,0,0,0,0,0
"F4 CHFU",0,0,0,0,0,0,0,0,4,1,1,0
"F5 CHFU",2,0,4,0,0,0,0,0,1,2,0,4
"F6 CHFU",0,1,1,0,1,1,0,0,0,3,0,1
